Month,Department Family,Entity,Date,Expense Type,Supplier,Transaction Number, Amount in Sterling £
Oct-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,21-Mar-20,SALARY RECHARGE,NHS000036L01 : NHS South West London CCG,7024100964,"£59,556.73"
Oct-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,01-Apr-20,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,6472582,"£26,521.34"
Oct-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,29-May-20,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,6474487,"£35,655.66"
Oct-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,10-Jun-20,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,6474766,"£31,963.24"
Oct-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,15-Oct-20,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,6478781,"£913,904.17"
Oct-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,02-Jul-20,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,6475984,"£27,446.09"
Oct-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,30-Sep-20,CLINICAL SUPPLIES & SERVICES,UK0006253701 : Bunzl Retail & Healthcare Supplies Ltd,022/SEPTEMBER20,"£46,991.82"
Oct-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,19-Oct-20,CLINICAL SUPPLIES & SERVICES,UK0025256701 : GE Medical Systems Ltd,611736,"£26,340.00"
Oct-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,07-Oct-20,CLINICAL SUPPLIES & SERVICES,UK0085270201 : Becton Dickinson UK Ltd,210001479,"£50,190.00"
Oct-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,05-Oct-20,CLINICAL SUPPLIES & SERVICES,UK0092855501 : Boots UK Ltd,1800009862,"£288,880.82"
Oct-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,05-Oct-20,CLINICAL SUPPLIES & SERVICES,UK0092855501 : Boots UK Ltd,1800009863,"£46,466.66"
