Month,Department Family,Entity,Date,Expense Type,Supplier,Transaction Number,Amount
Jun-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,12-May-20,PREMISES & FIXED PLANT,UK0479435601 : Prime Care Solutions (Kingston) Ltd,SIN000039,"1,697,956.30"
Jun-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,09-Jun-20,CLINICAL SUPPLIES & SERVICES,NHS0000RJ701 : St Georges Healthcare NHST,162511,"852,339.00"
Jun-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,01-Jun-20,CLINICAL SUPPLIES & SERVICES,UK0092855501 : Boots UK Ltd,1800095309,"251,060.56"
Jun-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,16-Jun-20,MANAGED EQUIPMENT SERVICE,UK0956718601 : Siemens Healthcare Ltd,1051082365,"202,568.22"
Jun-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,18-May-20,MANAGED EQUIPMENT SERVICE,UK0956718601 : Siemens Healthcare Ltd,1051081204,"201,505.52"
Jun-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,17-Apr-20,MANAGED EQUIPMENT SERVICE,UK0956718601 : Siemens Healthcare Ltd,1051078810,"200,873.65"
Jun-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,09-Jun-20,IT SERVICES,UK0457165401 : Sectra Ltd,SIN002427,"175,549.20"
Jun-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,07-Apr-20,CLINICAL SUPPLIES & SERVICES,UK0519023401 : InHealth Ltd,IHLIN0023517,"168,925.68"
Jun-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,14-Jun-20,PREMISES & FIXED PLANT,UK0411321501 : M & O Building Contractors Ltd,4155,"164,955.36"
Jun-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,03-May-20,CLINICAL SUPPLIES & SERVICES,UK0093504801 : Bayer plc,824C277909,"136,868.40"
Jun-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,26-May-20,CLINICAL SUPPLIES & SERVICES,UK0093504801 : Bayer plc,824C281399,"136,868.40"
Jun-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,20-Nov-19,IT SERVICES,UK0251930501 : Cerner Ltd,101676221,"108,886.80"
Jun-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,01-May-20,IT SERVICES,UK0251930501 : Cerner Ltd,101750250,"95,314.21"
Jun-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,11-May-20,GENERAL SUPPLIES & SERVICES,UK0258575901 : Veolia Energy & Utility Services UK Plc,90238489,"93,667.70"
Jun-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,12-Jun-20,CLINICAL SUPPLIES & SERVICES,UK0093504801 : Bayer plc,824C283960,"91,245.60"
Jun-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,09-Jun-20,GENERAL SUPPLIES & SERVICES,UK0258575901 : Veolia Energy & Utility Services UK Plc,90241814,"89,832.51"
Jun-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,10-May-20,GENERAL SUPPLIES & SERVICES,UK0279833401 : Corona Energy Retail 4 Ltd,15249085,"81,916.48"
Jun-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,08-Jun-20,GENERAL SUPPLIES & SERVICES,UK0105677401 : Apogee Corporation Ltd,1139189,"78,059.59"
Jun-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,31-May-20,TRANSPORT EXPENSES,UK0496163501 : Falck UK Ambulance Service Ltd,25800,"74,225.62"
Jun-20,DEPARTMENT OF HEALTH,KINGSTON HOSPITAL NHS TRUST,09-Jun-20,GENERAL SUPPLIES & SERVICES,UK0279833401 : Corona Energy Retail 4 Ltd,15314794,"73,639.02"
