Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
30/09/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718365,"40,186.38"
30/09/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33718407,"46,495.00"
30/09/2020,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BPAS,33718454,"54,247.68"
30/09/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,NEWHAM GP CO-OPERATIVE LTD,33726237,"72,876.00"
30/09/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,NEWHAM GP CO-OPERATIVE LTD,33726241,"72,876.00"
30/09/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,NEWHAM GP CO-OPERATIVE LTD,33726243,"72,876.00"
30/09/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,NEWHAM GP CO-OPERATIVE LTD,33726246,"-101,996.75"
30/09/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,NEWHAM GP CO-OPERATIVE LTD,33726247,"-107,418.88"
30/09/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,NEWHAM GP CO-OPERATIVE LTD,33726248,"-101,996.75"
30/09/2020,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,LONDON BOROUGH OF NEWHAM,33726249,"43,107.23"
30/09/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,NEWHAM GP CO-OPERATIVE LTD,33726250,"48,137.00"
30/09/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,NEWHAM GP CO-OPERATIVE LTD,33726251,"48,137.00"
30/09/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,NEWHAM GP CO-OPERATIVE LTD,33726252,"48,137.00"
30/09/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,LONDONWIDE LMCS,33726253,"66,819.00"
30/09/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,NEWHAM GP CO-OPERATIVE LTD,33726254,"48,137.00"
30/09/2020,Clinical&Medical-Voluntary Sector,HOSPICES,ST JOSEPHS HOSPICE,33736772,"65,844.00"
30/09/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33744385,"-30,135.08"
30/09/2020,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,33744567,"35,005.38"
30/09/2020,Programme Support Costs,PROGRAMME PROJECTS,NHS PROFESSIONALS LTD,33748394,"43,750.00"
30/09/2020,Computer Software/License,PRESCRIBING,OPTUM HEALTH SOLUTIONS (UK) LTD,33753155,"66,277.58"
30/09/2020,Computer Software/License,PRESCRIBING,OPTUM HEALTH SOLUTIONS (UK) LTD,33753155,"13,255.52"
30/09/2020,Hcare Srv Rec Fdtn Trust-Non Contract,NCAS/OATS,NORTH EAST LONDON NHS FOUNDATION TRUST,33754664,"-116,000.00"
30/09/2020,Legal / Prof Fees,ESTATES AND FACILITIES,FREEMAN ANKERMAN PARTNERSHIP LTD,33769789,"27,151.00"
30/09/2020,Legal / Prof Fees,ESTATES AND FACILITIES,FREEMAN ANKERMAN PARTNERSHIP LTD,33769789,"5,430.20"
30/09/2020,Legal / Prof Fees,PROGRAMME PROJECTS,FREEMAN ANKERMAN PARTNERSHIP LTD,33769789,"7,849.00"
30/09/2020,Legal / Prof Fees,PROGRAMME PROJECTS,FREEMAN ANKERMAN PARTNERSHIP LTD,33769789,"1,569.80"
30/09/2020,Voids and Subsidies,PROGRAMME PROJECTS,COMMUNITY HEALTH PARTNERSHIPS LTD,33802225,"30,785.90"
30/09/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,LONDONWIDE LMCS,33802251,"66,819.00"
30/09/2020,Voids and Subsidies,PROGRAMME PROJECTS,COMMUNITY HEALTH PARTNERSHIPS LTD,33802276,"-36,964.80"
30/09/2020,Clinical&Medical-Independent Sector,OUT OF HOURS,NEWHAM GP CO-OPERATIVE LTD,33802280,"48,137.00"
30/09/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EAST LONDON NHS FOUNDATION TRUST,33818012,"54,166.67"
30/09/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,EAST LONDON NHS FOUNDATION TRUST,33818012,622.54
30/09/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,EAST LONDON NHS FOUNDATION TRUST,33818012,"2,575.28"
30/09/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,BALAAM STREET PRACTICE,33818014,"1,337.74"
30/09/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,BALAAM STREET PRACTICE,33818014,"7,014.61"
30/09/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BALAAM STREET PRACTICE,33818014,"46,155.86"
30/09/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BALAAM STREET PRACTICE,33818014,857.83
30/09/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BALAAM STREET PRACTICE,33818014,"3,749.18"
30/09/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BALAAM STREET PRACTICE,33818014,953.77
30/09/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BALAAM STREET PRACTICE,33818014,"3,137.66"
30/09/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,CLAREMONT CLINIC,33818016,"12,735.18"
30/09/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CLAREMONT CLINIC,33818016,"84,674.07"
30/09/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CLAREMONT CLINIC,33818016,"1,557.41"
30/09/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CLAREMONT CLINIC,33818016,"5,364.33"
30/09/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CLAREMONT CLINIC,33818016,"6,663.70"
30/09/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,CUSTOM HOUSE SURGERY,33818018,"3,736.45"
30/09/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,CUSTOM HOUSE SURGERY,33818018,"11,463.25"
30/09/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CUSTOM HOUSE SURGERY,33818018,"75,708.58"
30/09/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CUSTOM HOUSE SURGERY,33818018,"1,401.86"
30/09/2020,C&M-PMS Prem Cost Rent,PRC DELEGATED CO-COMMISSIONING,CUSTOM HOUSE SURGERY,33818018,"6,714.25"
30/09/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CUSTOM HOUSE SURGERY,33818018,"5,682.39"
30/09/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33818019,"-5,828.15"
30/09/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33818019,"-1,667.79"
30/09/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33818019,"-2,902.02"
30/09/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33818019,"-6,029.13"
30/09/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33818019,-92.33
30/09/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33818019,"-3,551.98"
30/09/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33818019,"-7,124.72"
30/09/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33818019,"-7,618.97"
30/09/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33818019,"-3,087.60"
30/09/2020,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33818020,"1,347.42"
30/09/2020,C&M-PMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33818020,"12,051.85"
30/09/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33818020,"80,141.49"
30/09/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33818020,"5,828.15"
30/09/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33818020,"2,902.02"
30/09/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33818020,"6,029.13"
30/09/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33818020,"1,473.84"
30/09/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR AMSHAH & PARTNER STRATFORD VILLAGE SURGERY,33818020,"8,994.33"
