Department Family,Entity,Date Paid,Expense Type,Expenses Area,Supplier Name,Transaction Reference,Amount
Department of Health,Imperial College Healthcare NHS Trust,04/05/2020,Cnst Contributions,Other Hq Departments,Nhs Litigation Authority,4187624,"3,580,621.90"
Department of Health,Imperial College Healthcare NHS Trust,04/05/2020,Insurance Costs,Office Of Chief Executive,Nhs Litigation Authority,4187624,"52,184.30"
Department of Health,Imperial College Healthcare NHS Trust,04/05/2020,Rates,Estates Directorate,City Of Westminster,4187621,"160,664.00"
Department of Health,Imperial College Healthcare NHS Trust,04/05/2020,Rates,Estates Directorate,London Borough Hammersmith & Fulham,4187622,"199,500.00"
Department of Health,Imperial College Healthcare NHS Trust,04/05/2020,Rates,Estates Directorate,London Borough Hammersmith & Fulham,4187623,"212,800.00"
Department of Health,Imperial College Healthcare NHS Trust,05/05/2020,Agency Estates & Maint'Nce,Estates Directorate,Reed,4187517,"35,502.21"
Department of Health,Imperial College Healthcare NHS Trust,05/05/2020,Cleaning Materials,Estates Directorate,Synergy Health Managed Services Ltd,4187275,"48,861.02"
Department of Health,Imperial College Healthcare NHS Trust,05/05/2020,Computer Maintenance,Information & Comms Technology,Cerner Ltd,4186099,"53,745.12"
Department of Health,Imperial College Healthcare NHS Trust,05/05/2020,Computer Maintenance,Information & Comms Technology,Cerner Ltd,4186100,"40,308.84"
Department of Health,Imperial College Healthcare NHS Trust,05/05/2020,Computer Maintenance,Information & Comms Technology,Mill Systems Ltd,4160299,"38,100.00"
Department of Health,Imperial College Healthcare NHS Trust,05/05/2020,Computer Software/License,"Div Of Surg, Cardiov & Cancer",Change Healthcare Uk Holdings Ltd,4186946,"98,562.58"
Department of Health,Imperial College Healthcare NHS Trust,05/05/2020,Computer Software/License,Information & Comms Technology,The Phoenix Partnership(Leed) Ltd,4181715,"74,890.88"
Department of Health,Imperial College Healthcare NHS Trust,05/05/2020,Computer Software/License,Information & Comms Technology,Wifi Spark Limited,4184520,"41,760.00"
Department of Health,Imperial College Healthcare NHS Trust,05/05/2020,Cx-Hh Consultant Load,Ichnt Balance Sheet,Dr Andrew Wright,4187313,"67,998.52"
Department of Health,Imperial College Healthcare NHS Trust,05/05/2020,Cx-Hh Consultant Load,Ichnt Balance Sheet,Zahid Rehan Salim,4187428,"36,647.35"
Department of Health,Imperial College Healthcare NHS Trust,05/05/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,Me Construction Ltd,4187088,"114,738.60"
Department of Health,Imperial College Healthcare NHS Trust,05/05/2020,Cy Auc -Addns- It Eqpt-Addns,Capital Summary,Infratech Hardware Limited,4182825,"63,597.60"
