Department Family,Entity,Date Paid,Expense Type,Expenses Area,Supplier Name,Transaction Reference,Amount
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Agency Estates & Maint'Nce,Estates Directorate,Reed Specialist Recruitment Ltd,4342233,"171,766.23"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Agency Estates & Maint'Nce,Estates Directorate,Reed Specialist Recruitment Ltd,4344376,"42,752.50"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Agency Nursing: Qualified,Div Of Med & Integrated Care,Reed Specialist Recruitment Ltd,4342233,"32,133.72"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Agency Nursing: Qualified,Div Of Med & Integrated Care,Reed Specialist Recruitment Ltd,4344376,"40,058.68"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Agency Nursing: Qualified,"Div Of Surg, Cardiov & Cancer",Reed Specialist Recruitment Ltd,4342233,"304,361.08"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Agency Nursing: Qualified,"Div Of Surg, Cardiov & Cancer",Reed Specialist Recruitment Ltd,4344376,"324,879.51"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Clinical Managed Service Contr,Pathology,Abbott Laboratories Ltd,30699,"287,345.40"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Consultancy Fees,Finance Directorate,Salford Royal Nhs Foundation Trust,4342329,"31,147.00"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Contr Other External,Estates Directorate,Cbre Managed Services Ltd,4340598,"752,926.20"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Course Fees,Nursing Directorate,King'S College London,4337281,"49,590.00"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Cy Auc -Addns-Bd Purchased,Capital Summary,Cuffe  Plc,4340441,"45,750.00"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Cy Auc -Addns-Bd Purchased,Capital Summary,M&J Group (Construction & Roofin) Ltd [Cs],4333668,"148,907.10"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Cy Auc -Addns-Bd Purchased,Capital Summary,Siemens Healthcare Ltd,4343856,"130,950.00"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Cy Auc -Addns- It Eqpt-Addns,Capital Summary,Cdw Ltd,4342987,"49,185.88"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Cy Auc -Addns- It Eqpt-Addns,Capital Summary,Cdw Ltd,4342988,"529,916.69"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Cy Auc -Addns- It Eqpt-Addns,Capital Summary,Cdw Ltd,4342989,"70,999.34"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Equip Maint Contracts,Estates Directorate,Cbre Managed Services Ltd,4340596,"36,616.07"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Items Pending Investigation,Ichnt Balance Sheet,Amber Group Limited,4325713,"32,401.12"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Items Pending Investigation,Ichnt Balance Sheet,Wareham & Associates Ltd,4342232,"30,000.00"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Jac - Stock,Balance Sheet St Marys,Aah Pharmaceuticals Limited,4343521,"30,376.63"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Jac - Stock,Balance Sheet St Marys,Alexion Pharma Uk Ltd,4342626,"34,020.00"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Jac - Stock,Balance Sheet St Marys,Bayer Plc,4341010,"30,111.05"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Jac - Stock,Balance Sheet St Marys,Qualasept Ltd,4341383,"57,442.80"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Jac - Stock,Balance Sheet St Marys,Roche Products Ltd,4343569,"36,331.08"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Laboratory Test Kits,Pathology,Mobidiag Uk Ltd,35378,"38,304.00"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Med & Surg Equip Hire,Div Of Women & Clin Support,Inhealth Limited,4331485,"75,127.52"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Med & Surg Equip Hire,Div Of Women & Clin Support,Inhealth Limited,4331489,"63,365.64"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Med & Surg Equip Hire,Div Of Women & Clin Support,Inhealth Limited,4342317,"55,983.72"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Nhs Pay Recharge In: Med,Div Of Women & Clin Support,Great Ormond Street Hosp For Children Nhs Ft,4324822,"105,981.40"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Other Research Exp - Non-Pay,Rd Medical Directorate,Imperial College London,4342275,"840,402.00"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Other Research Exp - Non-Pay,Rd Medical Directorate,London Ambulance Service Nhs Trust,4343065,"37,460.00"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Other Research Exp - Non-Pay,Rd Medical Directorate,London Ambulance Service Nhs Trust,4343069,"37,460.00"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Other Research Exp - Non-Pay,Rd Medical Directorate,London North West Univ Healthcare Nhs Trust,4342337,"377,494.00"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Other Research Exp - Pay,Private Patients Directorate,Imperial College London,4339215,"45,744.06"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Other Research Exp - Pay,Rd Medical Directorate,Imperial College London,4330807,"102,115.99"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Other Research Exp - Pay,Rd Medical Directorate,Imperial College London,4331883,"30,349.00"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Other Research Exp - Pay,Rd Medical Directorate,Imperial College London,4332093,"51,882.09"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Other Research Exp - Pay,Rd Medical Directorate,Imperial College London,4332352,"25,310.12"
Department of Health,Imperial College Healthcare NHS Trust,02/03/2021,Other Transport Costs,Estates Directorate,Dhl Supply Chain  (Former Excel),4342832,"32,990.78"
Department of Health,Imperial College Healthcare NHS Trust,03/03/2021,Med & Surg Maint Contract,Div Of Women & Clin Support,Insightec Ltd,4335427,"108,000.00"
Department of Health,Imperial College Healthcare NHS Trust,04/03/2021,Cleaning Materials,Estates Directorate,Synergy Health Managed Services Ltd,4344985,"52,060.69"
Department of Health,Imperial College Healthcare NHS Trust,04/03/2021,Clinical Managed Service Contr,Pathology,Abbott Laboratories Ltd,34962,"181,925.38"
Department of Health,Imperial College Healthcare NHS Trust,04/03/2021,Cy Auc -Addns- It Eqpt-Addns,Capital Summary,Cdw Ltd,4345038,"110,786.93"
Department of Health,Imperial College Healthcare NHS Trust,04/03/2021,Cy Auc -Addns- It Eqpt-Addns,Capital Summary,Cisco Systems Finance International,4345004,"286,381.46"
Department of Health,Imperial College Healthcare NHS Trust,04/03/2021,Cy Auc -Addns- P & M-Purchased,Capital Summary,Terumo Bct Europe N.V.,4336150,"93,440.59"
Department of Health,Imperial College Healthcare NHS Trust,04/03/2021,Ext Contr Laundry,Estates Directorate,Synergy Health Managed Services Ltd,4344990,"56,296.68"
