Department Family,Entity,Date Paid,Expense Type,Expenses Area,Supplier Name,Transaction Reference,Amount
Department of Health,Imperial College Healthcare NHS Trust,02/04/2020,Car Salary Sacrifice,Ichnt Balance Sheet,Tuskerdirect Ltd,4156614,61459.03
Department of Health,Imperial College Healthcare NHS Trust,02/04/2020,Consultancy Fees,Finance Directorate,Deloitte And Touche Llp,4136965,61920
Department of Health,Imperial College Healthcare NHS Trust,02/04/2020,Consultancy Fees,Finance Directorate,Deloitte And Touche Llp,4136967,38700
Department of Health,Imperial College Healthcare NHS Trust,02/04/2020,Cy Auc -Addns- Prof Fee)-Purch,Capital Summary,Pa Consulting Services Ltd,4173049,209130.84
Department of Health,Imperial College Healthcare NHS Trust,02/04/2020,Drugs Nhs,Div Of Women & Clin Support,Lloyds Retail Chemists Ltd,4161622,2699616.46
Department of Health,Imperial College Healthcare NHS Trust,02/04/2020,Ic Pay Recharge In: Med,Pathology,Imperial College London,28489,26476.35
Department of Health,Imperial College Healthcare NHS Trust,02/04/2020,Other Research Exp - Pay,Rd Surgery & Cancer Division,Imperial College London,4159423,47590.78
Department of Health,Imperial College Healthcare NHS Trust,02/04/2020,Srvcsrecd-Other Nhs,Finance Directorate,Salford Royal Nhs Foundation Trust,4148463,31147
Department of Health,Imperial College Healthcare NHS Trust,07/04/2020,Agency Nursing: Qualified,Div Of Med & Integrated Care,Reed,4173866,67487.33
Department of Health,Imperial College Healthcare NHS Trust,07/04/2020,Agency Nursing: Qualified,"Div Of Surg, Cardiov & Cancer",Reed,4173866,66225.35
Department of Health,Imperial College Healthcare NHS Trust,07/04/2020,Bldg/Eng Equip Maint/Rep,Estates Directorate,Cbre Managed Services Ltd,4173926,283381.38
Department of Health,Imperial College Healthcare NHS Trust,07/04/2020,Bldg/Eng Equip Maint/Rep,Estates Directorate,Cbre Managed Services Ltd,4174134,779959.01
Department of Health,Imperial College Healthcare NHS Trust,07/04/2020,Consultancy Fees,Press & Communications,Cbre Managed Services Ltd,4173925,105180
Department of Health,Imperial College Healthcare NHS Trust,07/04/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,Cbre Managed Services Ltd,4173926,257119.66
Department of Health,Imperial College Healthcare NHS Trust,07/04/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,Cbre Managed Services Ltd,4174135,98238.31
Department of Health,Imperial College Healthcare NHS Trust,07/04/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,Me Construction Ltd,4173514,155626.8
Department of Health,Imperial College Healthcare NHS Trust,07/04/2020,Organ Donor Expenses,Div Of Women & Clin Support,The Anthony Nolan Trust,4156039,47073.96
Department of Health,Imperial College Healthcare NHS Trust,07/04/2020,Other Research Exp - Non-Pay,Rd Medical Directorate,Royal Brompton And Harefield Nhs Ft,4160130,192060.24
Department of Health,Imperial College Healthcare NHS Trust,07/04/2020,Rent,Estates Directorate,Nhs Property Services Ltd,4165181,31210.8
Department of Health,Imperial College Healthcare NHS Trust,09/04/2020,Audit Fees: Internal,Finance Directorate,Pricewaterhousecoopers Llp,4151817,58860
Department of Health,Imperial College Healthcare NHS Trust,09/04/2020,Computer Software/License,Information & Comms Technology,Optimus It Infra Ltd,4146072,109153.71
Department of Health,Imperial College Healthcare NHS Trust,09/04/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,Cuffe  Plc,4172362,42147.86
Department of Health,Imperial College Healthcare NHS Trust,09/04/2020,Cy Auc -Addns- P & M-Purchased,Capital Summary,Karl Storz Endoscopy (Uk) Ltd,4161862,75641.16
Department of Health,Imperial College Healthcare NHS Trust,09/04/2020,Cy Auc -Addns- Prof Fee)-Purch,Capital Summary,Couch Perry Wilkes Llp,4174189,31092
Department of Health,Imperial College Healthcare NHS Trust,09/04/2020,Ext Contr Catering,Estates Directorate,Sodexo Limited,4168360,426000
Department of Health,Imperial College Healthcare NHS Trust,09/04/2020,Ext Contr Catering,Estates Directorate,Sodexo Limited,4168361,200314.28
Department of Health,Imperial College Healthcare NHS Trust,09/04/2020,Other Research Exp - Pay,Rd Medical Directorate,Imperial College London,4173990,303193.11
Department of Health,Imperial College Healthcare NHS Trust,09/04/2020,Other Research Exp - Pay,Rd Surgery & Cancer Division,Imperial College London,4169882,39567.66
Department of Health,Imperial College Healthcare NHS Trust,09/04/2020,Other Research Exp - Pay,Rd Surgery & Cancer Division,Imperial College London,4172294,156814
Department of Health,Imperial College Healthcare NHS Trust,09/04/2020,Supplies Issues Recharges,Ichnt Balance Sheet,Supply Chain Coordination Ltd (Sccl) ( 101),4163513,168180.57
Department of Health,Imperial College Healthcare NHS Trust,09/04/2020,Supplies Issues Recharges,Ichnt Balance Sheet,Supply Chain Coordination Ltd (Sccl) ( 101),4163515,117012.87
Department of Health,Imperial College Healthcare NHS Trust,09/04/2020,Supplies Issues Recharges,Ichnt Balance Sheet,Supply Chain Coordination Ltd (Sccl) ( 101),4163516,175620.57
Department of Health,Imperial College Healthcare NHS Trust,14/04/2020,Agency Nursing: Qualified,Div Of Med & Integrated Care,Reed,4176601,52791.99
Department of Health,Imperial College Healthcare NHS Trust,14/04/2020,Agency Nursing: Qualified,"Div Of Surg, Cardiov & Cancer",Reed,4176601,59324.31
Department of Health,Imperial College Healthcare NHS Trust,14/04/2020,Clinical Managed Service Contr,Pathology,Abbott Laboratories Ltd,4174142,124358.52
