Department Family,Entity,Date Paid,Expense Type,Expenses Area,Supplier Name,Transaction Reference,Amount
Department of Health,Imperial College Healthcare NHS Trust,01/06/2020,Protective Clothing,Finance Directorate,Simon Jersey Ltd,4199695,81360
Department of Health,Imperial College Healthcare NHS Trust,01/06/2020,Supplies Issues Recharges,Ichnt Balance Sheet,Supply Chain Coordination Ltd (Sccl) ( 101),4197644,137301.48
Department of Health,Imperial College Healthcare NHS Trust,01/06/2020,Supplies Issues Recharges,Ichnt Balance Sheet,Supply Chain Coordination Ltd (Sccl) ( 101),4197645,113595.13
Department of Health,Imperial College Healthcare NHS Trust,01/06/2020,Supplies Issues Recharges,Ichnt Balance Sheet,Supply Chain Coordination Ltd (Sccl) ( 101),4197646,160552.94
Department of Health,Imperial College Healthcare NHS Trust,02/06/2020,Acton Housing Association,Ichnt Balance Sheet,A2dominion Housing Group Ltd,4199606,105979.23
Department of Health,Imperial College Healthcare NHS Trust,02/06/2020,Agency Estates & Maint'Nce,Estates Directorate,Reed,4199881,33624.75
Department of Health,Imperial College Healthcare NHS Trust,02/06/2020,Agency Senior Manager,Medical Director Summary,Reed,4200633,46166.86
Department of Health,Imperial College Healthcare NHS Trust,02/06/2020,Clinical Managed Service Contr,Pathology,Abbott Laboratories Ltd,25206,173074.93
Department of Health,Imperial College Healthcare NHS Trust,02/06/2020,Clinical Managed Service Contr,Pathology,Abbott Laboratories Ltd,25207,110016
Department of Health,Imperial College Healthcare NHS Trust,02/06/2020,Clinical Managed Service Contr,Pathology,Abbott Laboratories Ltd,29161,102806.47
Department of Health,Imperial College Healthcare NHS Trust,02/06/2020,Clinical Managed Service Contr,Pathology,Abbott Laboratories Ltd,4102392,261460.84
Department of Health,Imperial College Healthcare NHS Trust,02/06/2020,Computer Software/License,Medical Director Summary,Crab Clinical Informatics Ltd,4187099,42000
Department of Health,Imperial College Healthcare NHS Trust,02/06/2020,Consultancy Fees,Estates Directorate,The Retearn Group Limited,4198199,88800
Department of Health,Imperial College Healthcare NHS Trust,02/06/2020,Contr Other External,Div Of Women & Clin Support,Royal Brompton And Harefield Nhs Ft,4146602,52600.01
Department of Health,Imperial College Healthcare NHS Trust,02/06/2020,Contr Other External,Estates Directorate,Cbre Managed Services Ltd,4199764,752926.2
Department of Health,Imperial College Healthcare NHS Trust,02/06/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,Forest Gate Construction Ltd,4199096,203232.74
Department of Health,Imperial College Healthcare NHS Trust,02/06/2020,Cy Auc -Addns- It Eqpt-Addns,Capital Summary,Cdw Ltd,4198245,36103.2
Department of Health,Imperial College Healthcare NHS Trust,02/06/2020,Cy Auc -Addns- It Eqpt-Addns,Capital Summary,Cdw Ltd,4198249,169857.74
Department of Health,Imperial College Healthcare NHS Trust,02/06/2020,Cy Auc -Addns- It Eqpt-Addns,Capital Summary,Cdw Ltd,4198250,200546.33
Department of Health,Imperial College Healthcare NHS Trust,02/06/2020,Cy Auc -Addns- P & M-Purchased,Capital Summary,Jackson Lift Services Limited,4186902,49654.8
Department of Health,Imperial College Healthcare NHS Trust,02/06/2020,Dialysers,Div Of Med & Integrated Care,Baxter Healthcare Ltd,4172915,67141.42
Department of Health,Imperial College Healthcare NHS Trust,02/06/2020,Drugs Nhs,Div Of Women & Clin Support,Nhs Business Services Authority,4196381,37423.73
