ccg,date,expensetype,expensearea,supplier,transactionnumber,amount,file,negative
NHS West London CCG,30-Apr-20,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,CITY OF WESTMINSTER,32140873,-544495.0,NWWL 01 - April.pdf.csv,-1
NHS West London CCG,30-Apr-20,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,HEALTHSHARE LTD,31877373,-237500.0,NWWL 01 - April.pdf.csv,-1
NHS West London CCG,30-Apr-20,Hcare Srv Rec NHS Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,WEST LONDON NHS TRUST,31818721,-90310.0,NWWL 01 - April.pdf.csv,-1
NHS West London CCG,30-Apr-20,Clinical&Medical-Serv Recd-F Trsts,CHILD AND ADOLESCENT MENTAL HEALTH,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,31868904,-55000.0,NWWL 01 - April.pdf.csv,-1
NHS West London CCG,30-Apr-20,Clinical&Medical-Serv Recd-F Trsts,CHILD AND ADOLESCENT MENTAL HEALTH,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,31874315,-50000.0,NWWL 01 - April.pdf.csv,-1
NHS West London CCG,30-Apr-20,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,COLVILLE HEALTH CENTRE,31898536,-23521.0,NWWL 01 - April.pdf.csv,-1
NHS West London CCG,30-Apr-20,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,COLVILLE HEALTH CENTRE,31898534,-22533.0,NWWL 01 - April.pdf.csv,-1
NHS West London CCG,30-Apr-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,COLVILLE HEALTH CENTRE,31898536,-2564.0,NWWL 01 - April.pdf.csv,-1
NHS West London CCG,30-Apr-20,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,COLVILLE HEALTH CENTRE,31898536,-2429.0,NWWL 01 - April.pdf.csv,-1
NHS West London CCG,30-Apr-20,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,31868904,-1367.0,NWWL 01 - April.pdf.csv,-1
NHS West London CCG,30-Apr-20,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR ANIL JOSHI,31813037,20.0,NWWL 01 - April.pdf.csv,1
NHS West London CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR S PARAMESHWARAN,31898545,33.0,NWWL 01 - April.pdf.csv,1
NHS West London CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,NORTH KENSINGTON MEDICAL CENTRE,31898570,35.0,NWWL 01 - April.pdf.csv,1
NHS West London CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,EARLS COURT MEDICAL CENTRE,31913992,37.0,NWWL 01 - April.pdf.csv,1
NHS West London CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,GOOD PRACTICE,31898558,41.0,NWWL 01 - April.pdf.csv,1
NHS West London CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,NOTTING HILL MEDICAL CENTRE,31913999,55.0,NWWL 01 - April.pdf.csv,1
NHS West London CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DRS GARFIELD & SARNICKI,31898549,57.0,NWWL 01 - April.pdf.csv,1
NHS West London CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ST QUINTIN HEALTH CENTRE,31898580,80.0,NWWL 01 - April.pdf.csv,1
NHS West London CCG,30-Apr-20,Apprenticeship Levy Payable,BALANCE SHEET,HMRC,31835889,140.0,NWWL 01 - April.pdf.csv,1
NHS West London CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,EMPERORS GATE CENTRE FOR HEALTH,31898555,151.0,NWWL 01 - April.pdf.csv,1
NHS West London CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,EARLS COURT MEDICAL CENTRE,31908254,160.0,NWWL 01 - April.pdf.csv,1
NHS West London CCG,30-Apr-20,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DRS GILLIES STEEDEN & HUSSEIN,31792901,167.0,NWWL 01 - April.pdf.csv,1
NHS West London CCG,30-Apr-20,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DRS GILLIES STEEDEN & HUSSEIN,31792901,178.0,NWWL 01 - April.pdf.csv,1
NHS West London CCG,30-Apr-20,Post Graduate Loan Payable,BALANCE SHEET,HMRC,31868904,237.0,NWWL 01 - April.pdf.csv,1
NHS West London CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR S PARAMESHWARAN,31898543,265.0,NWWL 01 - April.pdf.csv,1
NHS West London CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PRACTICE BEACON,31792916,308.0,NWWL 01 - April.pdf.csv,1
NHS West London CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DRS GARFIELD & SARNICKI,31898545,348.0,NWWL 01 - April.pdf.csv,1
NHS West London CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HEALTH CENTRE LONDON,31898563,348.0,NWWL 01 - April.pdf.csv,1
NHS West London CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,NOTTING HILL MEDICAL CENTRE,31913992,364.0,NWWL 01 - April.pdf.csv,1
NHS West London CCG,30-Apr-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR ANIL JOSHI,31813037,386.0,NWWL 01 - April.pdf.csv,1
NHS West London CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ST QUINTIN HEALTH CENTRE,31898580,405.0,NWWL 01 - April.pdf.csv,1
NHS West London CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NOTTING HILL MEDICAL CENTRE,31913999,439.0,NWWL 01 - April.pdf.csv,1
NHS West London CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BROMPTON MEDICAL CENTRE LONDON,31898534,442.0,NWWL 01 - April.pdf.csv,1
