ccg,date,expensetype,expensearea,supplier,transactionnumber,amount,file,negative
NHS Hammersmith And Fulham CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,32007349,-329452.0,NWHF 01 - April.pdf.csv,-1
NHS Hammersmith And Fulham CCG,30-Apr-20,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,BROOK GREEN MEDICAL CENTRE,31898226,-34943.0,NWHF 01 - April.pdf.csv,-1
NHS Hammersmith And Fulham CCG,30-Apr-20,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,BROOK GREEN MEDICAL CENTRE,31888333,-31525.0,NWHF 01 - April.pdf.csv,-1
NHS Hammersmith And Fulham CCG,30-Apr-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,LILLIE ROAD PRACTICE,31898256,-15873.0,NWHF 01 - April.pdf.csv,-1
NHS Hammersmith And Fulham CCG,30-Apr-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,BROOK GREEN MEDICAL CENTRE,31898226,-11885.0,NWHF 01 - April.pdf.csv,-1
NHS Hammersmith And Fulham CCG,30-Apr-20,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,BROOK GREEN MEDICAL CENTRE,31898226,-11142.0,NWHF 01 - April.pdf.csv,-1
NHS Hammersmith And Fulham CCG,30-Apr-20,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,LILLIE ROAD PRACTICE,31898254,-10353.0,NWHF 01 - April.pdf.csv,-1
NHS Hammersmith And Fulham CCG,30-Apr-20,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,LILLIE ROAD PRACTICE,31898256,-9720.0,NWHF 01 - April.pdf.csv,-1
NHS Hammersmith And Fulham CCG,30-Apr-20,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,LILLIE ROAD PRACTICE,31898256,-9720.0,NWHF 01 - April.pdf.csv,-1
NHS Hammersmith And Fulham CCG,30-Apr-20,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,LILLIE ROAD PRACTICE,31898256,-4869.0,NWHF 01 - April.pdf.csv,-1
NHS Hammersmith And Fulham CCG,30-Apr-20,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,BROOK GREEN MEDICAL CENTRE,31898226,-680.0,NWHF 01 - April.pdf.csv,-1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR SF ARAS & PARTNERS,31914000,26.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,LILYVILLE SURGERY,31898268,33.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,LILYVILLE SURGERY,31898268,39.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR LAURENCE SLATER,31914032,72.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR SAMJI & PARTNERS,31914009,87.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,LILYVILLE SURGERY,31898268,93.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR SF ARAS & PARTNERS,31914000,99.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR J JOLLY,31898239,140.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR JI KOPPEL,31898241,173.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR D OGALLAGHER,31898234,177.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR B MANGWANA & PARTNER,31898230,198.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR SAMJI & PARTNERS,31914009,198.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR GC LAWLEY,31898236,219.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR GS UPPAL & PARTNER,31914040,225.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,BROOK GREEN MEDICAL CENTRE,31898227,264.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BROOK GREEN MEDICAL CENTRE,31898227,428.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SHEPHERDS BUSH MEDICAL CENTRE,31914027,504.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR S DASGUPTA,31898245,506.0,NWHF 01 - April.pdf.csv,1
NHS Hammersmith And Fulham CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR LAURENCE SLATER,31914027,555.0,NWHF 01 - April.pdf.csv,1
