date,expensetype,supplier,transactionnumber,amount,file,negative,ccg,expensearea
31/05/2020,Clinical&Medical-Voluntary Sector,32339638,102000,27851.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,Clinical&Medical-Commercial Sector,32489194,104166.67,516.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,Clinical&Medical-Commercial Sector,32489213,107790,521.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,Clinical&Medical-Commercial Sector,32510792,82500,519.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,Clinical&Medical-Commercial Sector,32510793,42949,520.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS DES Learn Dsblty Hlth Chk,ABERFELDY STREET PRACTICE,32402614,1680.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,ME-GMS GP Prior Year EEs,ABERFELDY STREET PRACTICE,32402614,2144.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,ME - GMS GP Prior Year ERs,ABERFELDY STREET PRACTICE,32402614,2178.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES Participation,ABERFELDY STREET PRACTICE,32402614,2551.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS QOF Aspiration,ABERFELDY STREET PRACTICE,32402614,3380.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS Global Sum,ABERFELDY STREET PRACTICE,32402614,66142.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES Participation,ALBION HEALTH CENTRE,32422000,2479.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS QOF Aspiration,ALBION HEALTH CENTRE,32422000,4731.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES Clinical Director,ALBION HEALTH CENTRE,32422000,4746.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES Clin Pharmacist,ALBION HEALTH CENTRE,32422000,6293.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS DES Extended Hours Access,ALBION HEALTH CENTRE,32422000,9532.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES PCN support,ALBION HEALTH CENTRE,32422000,9860.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS Global Sum,ALBION HEALTH CENTRE,32422000,64404.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,ME - PMS GP Prior Year ERs,BARKANTINE PRACTICE,32286166,2246.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-PMS DES Learn Dsblty Hlth Chk,BARKANTINE PRACTICE,32286166,2800.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-APMS PCN DES Participation,BARKANTINE PRACTICE,32286166,5913.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-APMS Contract KPIs,BARKANTINE PRACTICE,32286166,8604.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-APMS Prem Service Charges,BARKANTINE PRACTICE,32286166,10000.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,Clinical&Medical-Independent Sector,BARKANTINE PRACTICE,32382471,67379.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES Participation,CITY WELLBEING PRACTICE,32402621,1672.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS DES Learn Dsblty Hlth Chk,DOCKLANDS MEDICAL CENTRE LONDON,32402623,1120.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES Participation,DOCKLANDS MEDICAL CENTRE LONDON,32402623,2439.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS Global Sum,DOCKLANDS MEDICAL CENTRE LONDON,32402623,66478.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES Participation,DR N SELVAN,32402625,3230.0,NETH 02 - May.pdf.csv,1,,
31/05/2020,C&M-GMS PCN DES Clinical Director,DR N SELVAN,32402625,5619.0,NETH 02 - May.pdf.csv,1,,
