transactionnumber,date,expensetype,expensearea,supplier,amount,file,negative
3460,2020-04-03 00:00:00,STAFF PROTECTIVE CLOTHING,COVID19 COSTS - RLH,COMMERCIAL LTD,298800.0,BART 01 - April.xlsx,1
3462,2020-04-06 00:00:00,PROPERTY RENTS,RATES & RENTS - RLH,CLSH MANAGEMENT LTD,1219077.0,BART 01 - April.xlsx,1
3463,2020-04-06 00:00:00,PATIENTS CLOTHING,COVID19 COSTS - RLH,REGEN MEDICAL GROUP LTD,90180.0,BART 01 - April.xlsx,1
3465,2020-04-07 00:00:00,OTHER EXPENSES,PFI FM SERVICES,CAPITAL HOSPITALS LTD,1906262.0,BART 01 - April.xlsx,1
3473,2020-04-07 00:00:00,CARBON REDUCTION SCHEME,ENERGY & UTILITIES - WXH,ACT FINANCIAL SOLUTIONS BV,50000.0,BART 01 - April.xlsx,1
3477,2020-04-08 00:00:00,MEDICAL & SURGICAL EQUIPMENT,STRATEGIC SOURCING,COMMERCIAL LTD,360000.0,BART 01 - April.xlsx,1
3478,2020-04-09 00:00:00,STAFF PROTECTIVE CLOTHING,COVID19 STORE - RLH,PARAMOUNT MEDICAL SOLUTIONS LTD,296700.0,BART 01 - April.xlsx,1
3488,2020-04-14 00:00:00,STAFF PROTECTIVE CLOTHING,COVID19 COSTS - RLH,REGEN MEDICAL GROUP LTD,276000.0,BART 01 - April.xlsx,1
3489,2020-04-15 00:00:00,RUBBISH BAGS,COVID19 COSTS - RLH,REGEN MEDICAL GROUP LTD,78744.0,BART 01 - April.xlsx,1
3491,2020-04-16 00:00:00,GLOVES,COVID19 STORE - RLH,BACA WORKWEAR & SAFETY LTD,410104.0,BART 01 - April.xlsx,1
3498,2020-04-08 00:00:00,STAFF PROTECTIVE CLOTHING,SITE MANAGEMENT - NGH COVID19,TOFFELN LTD,58847.0,BART 01 - April.xlsx,1
3512,2020-04-14 00:00:00,GLOVES,COVID19 STORE - RLH,BACA WORKWEAR & SAFETY LTD,230175.0,BART 01 - April.xlsx,1
3513,2020-04-09 00:00:00,STAFF PROTECTIVE CLOTHING,SITE MANAGEMENT - NGH COVID19,CHEMICAL INTELLIGENCE LTD,171000.0,BART 01 - April.xlsx,1
3514,2020-04-15 00:00:00,COURIER SERVICE,STRATEGIC SOURCING,HLP CLEAR PACKAGING PRODUCTS (UK) LTD,25650.0,BART 01 - April.xlsx,1
3515,2020-04-20 00:00:00,STAFF PROTECTIVE CLOTHING,COVID19 COSTS - RLH,SIMON JERSEY LTD,1020000.0,BART 01 - April.xlsx,1
3516,2020-04-17 00:00:00,STAFF PROTECTIVE CLOTHING,SITE MANAGEMENT - NGH COVID19,EXCELSIOR UK LTD,127820.0,BART 01 - April.xlsx,1
3519,2020-04-22 00:00:00,RUBBISH BAGS,COVID19 COSTS - RLH,YBEA INVESTMENT LTD,212750.0,BART 01 - April.xlsx,1
3520,2020-04-22 00:00:00,ANAESTHETIC EQUIPMENT & ACCESSORIES,COVID19 COSTS - RLH,ACTIVATEC INTERNATIONAL GMBH & CO KG,95944.0,BART 01 - April.xlsx,1
3521,2020-04-23 00:00:00,STAFF PROTECTIVE CLOTHING,COVID19 COSTS - RLH,REGEN MEDICAL GROUP LTD,474000.0,BART 01 - April.xlsx,1
3523,2020-04-20 00:00:00,CONSULTANCY FEES,QUALITY IMPROVEMENT FUNDING,INSTITUTE FOR HEALTHCARE IMPROVEMENT,159114.0,BART 01 - April.xlsx,1
3524,2020-04-29 00:00:00,STAFF PROTECTIVE CLOTHING,COVID19 STORE - RLH,BULK MRO INDUSTRIAL SUPPLY INC,202807.0,BART 01 - April.xlsx,1
3525,2020-04-09 00:00:00,STAFF PROTECTIVE CLOTHING,COVID19 COSTS - RLH,HLP CLEAR PACKAGING PRODUCTS (UK) LTD,28450.0,BART 01 - April.xlsx,1
3526,2020-04-29 00:00:00,STAFF PROTECTIVE CLOTHING,COVID19 STORE - RLH,COMMERCIAL LTD,55800.0,BART 01 - April.xlsx,1
3526,2020-04-29 00:00:00,STAFF PROTECTIVE CLOTHING,COVID19 STORE - RLH,COMMERCIAL LTD,67200.0,BART 01 - April.xlsx,1
3526,2020-04-29 00:00:00,MEDICAL & SURGICAL EQUIPMENT,COVID19 STORE - RLH,COMMERCIAL LTD,40920.0,BART 01 - April.xlsx,1
3528,2020-04-07 00:00:00,OTHER EXPENSES,PFI FM SERVICES,CAPITAL HOSPITALS LTD,1906262.0,BART 01 - April.xlsx,1
3530,2020-04-29 00:00:00,STAFF PROTECTIVE CLOTHING,COVID19 STORE - RLH,BULK MRO INDUSTRIAL SUPPLY INC,202807.0,BART 01 - April.xlsx,1
2126125,2020-04-03 00:00:00,CONSULTANCY FEES,DIRECTOR OF INFORMATICS,DELOITTE LLP,48745.0,BART 01 - April.xlsx,1
2126125,2020-04-03 00:00:00,CONSULTANCY FEES,DIRECTOR OF INFORMATICS,DELOITTE LLP,48745.0,BART 01 - April.xlsx,1
2126125,2020-04-03 00:00:00,CONSULTANCY FEES,DIRECTOR OF INFORMATICS,DELOITTE LLP,38996.0,BART 01 - April.xlsx,1
2126125,2020-04-03 00:00:00,CONSULTANCY FEES,DIRECTOR OF INFORMATICS,DELOITTE LLP,38996.0,BART 01 - April.xlsx,1
2126146,2020-04-03 00:00:00,R&D: LCRN PAYMENTS: QMUL,DVISION 3,QUEEN MARY UNIVERSITY OF LONDON,347702.0,BART 01 - April.xlsx,1
2126175,2020-04-03 00:00:00,ATTICUS STOCK PURCHASES,BH CURRENT ASSETS,MEDTRONIC LTD,38592.0,BART 01 - April.xlsx,1
2126180,2020-04-03 00:00:00,NON-CLINICAL CONTRACT SERVICES,ENERGY & UTILITIES - SBH,CAPITAL HOSPITALS LTD,54233.0,BART 01 - April.xlsx,1
2126220,2020-04-03 00:00:00,PASS THROUGH DEVICE: CPAP,ACCU,FISHER & PAYKEL HEALTHCARE LTD,45600.0,BART 01 - April.xlsx,1
2126271,2020-04-03 00:00:00,R&D: LCRN PAYMENTS: OTHER TRUSTS,NORTH THAMES CRN 2019/20,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,104500.0,BART 01 - April.xlsx,1
2126280,2020-04-03 00:00:00,R&D: LCRN PAYMENTS: OTHER TRUSTS,NORTH THAMES CRN 2019/20,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,139598.0,BART 01 - April.xlsx,1
2126319,2020-04-08 00:00:00,MEDICAL & SURGICAL EQUIPMENT,COVID 19 EQUIPMENT -  WXH,FUJIFILM SONOSITE LTD,70301.0,BART 01 - April.xlsx,1
2126319,2020-04-08 00:00:00,MEDICAL & SURGICAL EQUIPMENT,COVID 19 EQUIPMENT - SBH,FUJIFILM SONOSITE LTD,29634.0,BART 01 - April.xlsx,1
2126327,2020-04-08 00:00:00,IMAGING EQUIPMENT,R.I.T.S.,HEALTHCARE BUSINESS SOLUTIONS UK LTD,45038.0,BART 01 - April.xlsx,1
2126327,2020-04-08 00:00:00,IMAGING EQUIPMENT,R.I.T.S.,HEALTHCARE BUSINESS SOLUTIONS UK LTD,36523.0,BART 01 - April.xlsx,1
2126334,2020-04-08 00:00:00,OTHER EXPENSES,BRC 2017-2022,QUEEN MARY UNIVERSITY OF LONDON,90637.0,BART 01 - April.xlsx,1
2126395,2020-04-08 00:00:00,STATIONERY - GENERAL,HEALTH RECORDS - RLH,CROWN RECORDS MANAGEMENT LTD,60010.0,BART 01 - April.xlsx,1
2126403,2020-04-08 00:00:00,BANK PARTNERS CREDITOR,BH CURRENT LIABILITIES - FEEDERS,PULSE HEALTHCARE LTD,140555.0,BART 01 - April.xlsx,1
2126403,2020-04-08 00:00:00,BANK PARTNERS CREDITOR,BH CURRENT LIABILITIES - FEEDERS,PULSE HEALTHCARE LTD,734661.0,BART 01 - April.xlsx,1
2126451,2020-04-08 00:00:00,RATES,RATES & RENTS - RLH,LONDON BOROUGH OF TOWER HAMLETS,929936.0,BART 01 - April.xlsx,1
2126464,2020-04-08 00:00:00,MEDICAL & SURGICAL EQUIPMENT,THE USE OF CONTINUOUS ELECTROENCEPHALOGRAPHIC (EEG) MONITORING (240176-TSIRKA),OPTIMA MEDICAL,42023.0,BART 01 - April.xlsx,1
2126464,2020-04-08 00:00:00,MEDICAL & SURGICAL EQUIPMENT,VIDEO TELEMETRY EQUIPMENT - MDG 19/20,OPTIMA MEDICAL,211562.0,BART 01 - April.xlsx,1
