date,expensetype,expensearea,supplier,transactionnumber,amount,file,negative
15/09/2020,NHSLA (AAPV7044ST1150),Risk Management,NHS Litigation Authority,,1014642.0,WHIT 06 - September.csv,1
03/09/2020,X-Ray Equip Purchase (July 2020),Trust Finance,Assetco Healthcare Whittington Ltd,1176881,282862.0,WHIT 06 - September.csv,1
03/09/2020,X-Ray Equip Purchase (Aug 2020),Trust Finance,Assetco Healthcare Whittington Ltd,1182984,284509.0,WHIT 06 - September.csv,1
24/09/2020,X-Ray Equip Purchase (Sep 2020),Trust Finance,Assetco Healthcare Whittington Ltd,1187651,282790.0,WHIT 06 - September.csv,1
10/09/2020,Software Maintenance,Patient Systems,System C Healthcare Ltd,1184153,277782.0,WHIT 06 - September.csv,1
10/09/2020,Software/Licence Computer,Capital,System C Healthcare Ltd,1185346,244500.0,WHIT 06 - September.csv,1
24/09/2020,Nhs Logistics Stock Issues,Control,Supply Chain Coordination Ltd,1186760,225281.0,WHIT 06 - September.csv,1
10/09/2020,Sla-Liaison Psychiatry,Accident & Emergency,Camden & Islington Nhs Foundation Trust,1167109,189833.0,WHIT 06 - September.csv,1
24/09/2020,Rates-General,Estates Management,London Borough Of Camden,1170759,156940.0,WHIT 06 - September.csv,1
10/09/2020,Transport Maint & Exps,Med Front Of House& Transp,Dhl Supply Chain - Uk&I,1185643,141765.0,WHIT 06 - September.csv,1
10/09/2020,Electricity,Environment,Edf Energy,1184581,135739.0,WHIT 06 - September.csv,1
10/09/2020,Electricity,Environment,Edf Energy,1184579,131448.0,WHIT 06 - September.csv,1
24/09/2020,Blood Products,Blood Recharge,Nhs Blood And Transplant,1186956,127232.0,WHIT 06 - September.csv,1
24/09/2020,Planned Maintenance,Planned Maintenance,Fes Fm Ltd,1186754,86420.0,WHIT 06 - September.csv,1
17/09/2020,Main Works Contract,Capital,Hanevo Ltd,1185913,74931.0,WHIT 06 - September.csv,1
10/09/2020,Rents,Estates Management,Metrus Property Advisors Ltd,1185274,72856.0,WHIT 06 - September.csv,1
24/09/2020,Building Lease,Estates-Holloway Hc Hornsey St,Community Health Partnerships Ltd,1173658,70550.0,WHIT 06 - September.csv,1
24/09/2020,Nhs Logistics Stock Issues,Control,Supply Chain Coordination Ltd,1187883,68815.0,WHIT 06 - September.csv,1
10/09/2020,Ext Contract Estate/Facility (Jan-19 to Mar-19),Estates-Simmons House,Camden & Islington Nhs Foundation Trust,1066112,67165.0,WHIT 06 - September.csv,1
10/09/2020,Rates-General (Apr-20 to Jun-20),Estates-Simmons House,Camden & Islington Nhs Foundation Trust,1167113,67165.0,WHIT 06 - September.csv,1
17/09/2020,Building Mtce Contracts (Jan-20 to Mar-20),Estates-Simmons House,Camden & Islington Nhs Foundation Trust,1136997,67165.0,WHIT 06 - September.csv,1
24/09/2020,Building Lease,Estates-Hornsey Rise Hc,Community Health Partnerships Ltd,1173630,57845.0,WHIT 06 - September.csv,1
10/09/2020,Nhs Logistics Stock Issues,Control,Supply Chain Coordination Ltd,1185279,57182.0,WHIT 06 - September.csv,1
10/09/2020,Cleaning Contracts,Generic Workers,Buzz Housekeeping Services,1179516,49434.0,WHIT 06 - September.csv,1
03/09/2020,Cleaning Contracts,Generic Workers,Buzz Housekeeping Services,1182817,49133.0,WHIT 06 - September.csv,1
