date,expensetype,expensearea,supplier,transactionnumber,amount,file,negative
3/31/2021,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,LONDON BOROUGH OF REDBRIDGE,35844275,341354.0,NERD 12 - March.csv,1
3/31/2021,Social Care-Res Long Stay Exp,INTERMEDIATE CARE,LONDON BOROUGH OF REDBRIDGE,35844285,240276.0,NERD 12 - March.csv,1
3/31/2021,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,LONDON BOROUGH OF REDBRIDGE,35844287,320666.0,NERD 12 - March.csv,1
3/31/2021,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,LONDON BOROUGH OF REDBRIDGE,35844293,418043.0,NERD 12 - March.csv,1
3/31/2021,Social Care-Res Long Stay Exp,INTERMEDIATE CARE,LONDON BOROUGH OF REDBRIDGE,35844298,190494.0,NERD 12 - March.csv,1
3/31/2021,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,LONDON BOROUGH OF REDBRIDGE,35844302,333444.0,NERD 12 - March.csv,1
3/31/2021,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,LONDON BOROUGH OF REDBRIDGE,35844305,356835.0,NERD 12 - March.csv,1
3/31/2021,Clinical&Medical-Commercial Sector,PRESCRIBING,NORTH WEST OSTOMY SUPPLIES,35846348,31967.0,NERD 12 - March.csv,1
3/31/2021,Clinical&Medical-Commercial Sector,PRESCRIBING,NORTH WEST OSTOMY SUPPLIES,35846348,6393.0,NERD 12 - March.csv,1
3/31/2021,Hcare Srv Rec Fdtn Trust-Non Contract,LEARNING DIFFICULTIES,EAST LONDON NHS FOUNDATION TRUST,35864975,71647.0,NERD 12 - March.csv,1
3/31/2021,Programme Support Costs,LEARNING DIFFICULTIES,NHS NEWHAM CCG,35864996,48000.0,NERD 12 - March.csv,1
3/31/2021,Programme Support Costs,LEARNING DIFFICULTIES,NORTH EAST LONDON NHS FOUNDATION TRUST,35896742,93000.0,NERD 12 - March.csv,1
3/31/2021,Clinical&Medical-Independent Sector,LEARNING DIFFICULTIES,NORTH EAST LONDON NHS FOUNDATION TRUST,35896744,73860.0,NERD 12 - March.csv,1
3/31/2021,C&M- PCN DES CARE COORDINATOR,PRC DELEGATED CO-COMMISSIONING,HEALTHBRIDGE DIRECT LTD,35902647,9318.0,NERD 12 - March.csv,1
3/31/2021,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,HEALTHBRIDGE DIRECT LTD,35902647,19104.0,NERD 12 - March.csv,1
3/31/2021,C&M-GMS PCN DES Physiotherapist,PRC DELEGATED CO-COMMISSIONING,HEALTHBRIDGE DIRECT LTD,35902647,4278.0,NERD 12 - March.csv,1
3/31/2021,C&M-GMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,HEALTHBRIDGE DIRECT LTD,35902647,2949.0,NERD 12 - March.csv,1
3/31/2021,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,HEALTHBRIDGE DIRECT LTD,35903104,40611.0,NERD 12 - March.csv,1
3/31/2021,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,HEALTHBRIDGE DIRECT LTD,35903105,42012.0,NERD 12 - March.csv,1
3/31/2021,Hlthcre-Foundation Trsts,MENTAL HEALTH CONTRACTS,NORTH EAST LONDON NHS FOUNDATION TRUST,35919096,1892970.0,NERD 12 - March.csv,1
3/31/2021,C&M-APMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35926853,668.0,NERD 12 - March.csv,1
3/31/2021,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35926853,33793.0,NERD 12 - March.csv,1
3/31/2021,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35926853,3.0,NERD 12 - March.csv,1
3/31/2021,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35926853,510.0,NERD 12 - March.csv,1
3/31/2021,C&M-APMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35926853,2560.0,NERD 12 - March.csv,1
3/31/2021,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35926853,3320.0,NERD 12 - March.csv,1
3/31/2021,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35926853,1802.0,NERD 12 - March.csv,1
3/31/2021,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35926853,133.0,NERD 12 - March.csv,1
3/31/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ALDERSBROOK MEDICAL CENTRE,35926853,2427.0,NERD 12 - March.csv,1
3/31/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CHADWELL HEATH SURGERY,35926855,63668.0,NERD 12 - March.csv,1
3/31/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHADWELL HEATH SURGERY,35926855,1239.0,NERD 12 - March.csv,1
3/31/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CHADWELL HEATH SURGERY,35926855,4333.0,NERD 12 - March.csv,1
3/31/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CHADWELL HEATH SURGERY,35926855,1652.0,NERD 12 - March.csv,1
3/31/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHADWELL HEATH SURGERY,35926855,6274.0,NERD 12 - March.csv,1
3/31/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EVERGREEN SURGERY,35926857,67166.0,NERD 12 - March.csv,1
3/31/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,EVERGREEN SURGERY,35926857,1297.0,NERD 12 - March.csv,1
3/31/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,EVERGREEN SURGERY,35926857,4166.0,NERD 12 - March.csv,1
3/31/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,EVERGREEN SURGERY,35926857,1164.0,NERD 12 - March.csv,1
3/31/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,EVERGREEN SURGERY,35926857,6003.0,NERD 12 - March.csv,1
3/31/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EASTERN AVENUE MEDICAL CENTRE,35926859,44223.0,NERD 12 - March.csv,1
3/31/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,EASTERN AVENUE MEDICAL CENTRE,35926859,855.0,NERD 12 - March.csv,1
3/31/2021,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,EASTERN AVENUE MEDICAL CENTRE,35926859,8267.0,NERD 12 - March.csv,1
3/31/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,EASTERN AVENUE MEDICAL CENTRE,35926859,4011.0,NERD 12 - March.csv,1
3/31/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,FENCEPIECE ROAD MEDICAL CENTRE,35926861,43747.0,NERD 12 - March.csv,1
3/31/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,FENCEPIECE ROAD MEDICAL CENTRE,35926861,846.0,NERD 12 - March.csv,1
3/31/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,FENCEPIECE ROAD MEDICAL CENTRE,35926861,2275.0,NERD 12 - March.csv,1
