date,expensetype,supplier,transactionnumber,amount,file,negative,expensearea,ccg,expsensearea
30/04/2020,C&M-PMS PCN DES Participation,ALLUM MEDICAL CENTRE,31793709,2058.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-PMS PCN DES Clinical Director,ALLUM MEDICAL CENTRE,31793709,3414.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-PMS PCN DES PCN support,ALLUM MEDICAL CENTRE,31793709,6381.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-PMS DES Extended Hours Access,ALLUM MEDICAL CENTRE,31793709,6856.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,,ALLUM MEDICAL CENTRE,31793709,10729.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-PMS Contract KPIs,ALLUM MEDICAL CENTRE,31793709,58882.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-PMS Contract Value,ALLUM MEDICAL CENTRE,31793709,107970.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,,ASPRAY HOUSE LTD,31737768,31965.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,,"BARKING HAVERING AND REDBRIDGE HOSPITALS 
NHS TRUST",31729555,215886.0,NEWF 01 - April.pdf.csv,1,,,
,,"BARKING HAVERING AND REDBRIDGE HOSPITALS 
NHS TRUST",31807875,215886.0,NEWF 01 - April.pdf.csv,1,,,
,,BARTS HEALTH NHS TRUST,31805042,150000.0,NEWF 01 - April.pdf.csv,1,,,
43951,,BMI HEALTHCARE LTD,31991029,34195.0,NEWF 01 - April.pdf.csv,1,,,
43951,,CARE UK CLINICAL SERVICES LTD,31991131,33495.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,,"CHELSEA AND WESTMINSTER HOSPITAL NHS 
FOUNDATION TRUST",31807878,33810.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,,"CHELSEA AND WESTMINSTER HOSPITAL NHS 
FOUNDATION TRUST",31729558,33811.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-GMS Prof Fees Prescribing,CHINGFORD MEDICAL PRACTICE,31945648,146.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-GMS PCN DES Participation,CHINGFORD MEDICAL PRACTICE,31945648,1229.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,,CHINGFORD MEDICAL PRACTICE,31945648,1331.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-GMS PCN DES Clinical Director,CHINGFORD MEDICAL PRACTICE,31945648,3163.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-GMS QOF Aspiration,CHINGFORD MEDICAL PRACTICE,31945648,5755.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-GMS PCN DES PCN support,CHINGFORD MEDICAL PRACTICE,31945648,6294.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-GMS DES Extended Hours Access,CHINGFORD MEDICAL PRACTICE,31945648,6353.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-GMS LES Medical Fees,CHINGFORD MEDICAL PRACTICE,31945648,34534.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-GMS Global Sum,CHINGFORD MEDICAL PRACTICE,31945648,64101.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-PMS PCN DES Participation,CHURCHILL HEALTHCARE LTD,31793715,1956.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-PMS Contract KPIs,CHURCHILL HEALTHCARE LTD,31793715,53763.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-PMS Contract Value,CHURCHILL HEALTHCARE LTD,31793715,98378.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-PMS Prem Notional Rent,DR S PHILLIPS & DR M PATEL,31793732,2016.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-PMS PCO Other,DR SHAH & PARTNERS,31793725,428.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-PMS PCN DES Participation,DR SHAH & PARTNERS,31793725,986.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-PMS Prem Notional Rent,DR SHAH & PARTNERS,31793725,3635.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-PMS Contract KPIs,DR SHAH & PARTNERS,31793725,29169.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-PMS Contract Value,DR SHAH & PARTNERS,31793725,52794.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-PMS PCN DES Participation,DRS SS & SJ KUMAR,31793743,1131.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-PMS PCN DES Clinical Director,DRS SS & SJ KUMAR,31793743,2986.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,,DRS SS & SJ KUMAR,31793743,4350.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-PMS PCN DES PCN support,DRS SS & SJ KUMAR,31793743,5645.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-PMS DES Extended Hours Access,DRS SS & SJ KUMAR,31793743,5997.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-PMS Contract KPIs,DRS SS & SJ KUMAR,31793743,32041.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-PMS Contract Value,DRS SS & SJ KUMAR,31793743,59634.0,NEWF 01 - April.pdf.csv,1,,,
43951,,EAST LONDON NHS FOUNDATION TRUST,32140882,31290.0,NEWF 01 - April.pdf.csv,1,,,
43951,,EAST LONDON NHS FOUNDATION TRUST,32140890,49296.0,NEWF 01 - April.pdf.csv,1,,,
43951,,EAST LONDON NHS FOUNDATION TRUST,32140840,49403.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,,EAST LONDON NHS FOUNDATION TRUST,31729559,79044.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,,EAST LONDON NHS FOUNDATION TRUST,31807879,79044.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-PMS PCN DES Participation,ECCLESBOURNE PRACTICE,31793738,1362.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-PMS Prem Notional Rent,ECCLESBOURNE PRACTICE,31793738,6627.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-PMS PCO Recruitmt & Retn,ECCLESBOURNE PRACTICE,31793738,7151.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-PMS Contract KPIs,ECCLESBOURNE PRACTICE,31793738,39477.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-PMS Contract Value,ECCLESBOURNE PRACTICE,31793738,71361.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,Computer Network Costs,EGTON MEDICAL INFORMATION SYSTEMS LTD,31753671,168346.0,NEWF 01 - April.pdf.csv,1,,,
30/04/2020,C&M-GMS PCN DES Participation,FIRS,31945660,1109.0,NEWF 01 - April.pdf.csv,1,,,
