ccg,date,expensetype,expensearea,supplier,transactionnumber,amount,file,negative
NHS Hillingdon CCG,30-Apr-20,Hlthcre-Foundation Trsts,GENERAL RESERVE - PROGRAMME,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,31819870,-411600.0,NWHI 01 - April.pdf.csv,-1
NHS Hillingdon CCG,30-Apr-20,Hlthcre-Foundation Trsts,GENERAL RESERVE - PROGRAMME,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,31819879,-373165.0,NWHI 01 - April.pdf.csv,-1
NHS Hillingdon CCG,30-Apr-20,Clinical&Medical-Commercial Sector,WHEELCHAIR SERVICE,OPCARE LTD,31945732,-247956.0,NWHI 01 - April.pdf.csv,-1
NHS Hillingdon CCG,30-Apr-20,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,CONFEDERATION HILLINGDON CIC,31766029,-147631.0,NWHI 01 - April.pdf.csv,-1
NHS Hillingdon CCG,30-Apr-20,Clinical&Medical-Commercial Sector,GENERAL RESERVE - PROGRAMME,CONFEDERATION HILLINGDON CIC,31945703,-96798.0,NWHI 01 - April.pdf.csv,-1
NHS Hillingdon CCG,30-Apr-20,Hlthcre-Foundation Trsts,GENERAL RESERVE - PROGRAMME,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,31941006,-31000.0,NWHI 01 - April.pdf.csv,-1
NHS Hillingdon CCG,30-Apr-20,C&M-GMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,CONFEDERATION HILLINGDON CIC,31774046,-30845.0,NWHI 01 - April.pdf.csv,-1
NHS Hillingdon CCG,30-Apr-20,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,MEDICAL CENTRE BRUNEL UNIVERSITY,31739118,-23466.0,NWHI 01 - April.pdf.csv,-1
NHS Hillingdon CCG,30-Apr-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,MEDICAL CENTRE BRUNEL UNIVERSITY,31945724,-23415.0,NWHI 01 - April.pdf.csv,-1
NHS Hillingdon CCG,30-Apr-20,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,KINGSWAY SURGERY,31945723,41.0,NWHI 01 - April.pdf.csv,1
NHS Hillingdon CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CHURCH ROAD SURGERY,31945703,53.0,NWHI 01 - April.pdf.csv,1
NHS Hillingdon CCG,30-Apr-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,KINGSWAY SURGERY,31945723,57.0,NWHI 01 - April.pdf.csv,1
NHS Hillingdon CCG,30-Apr-20,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,GLENDALE MEDICAL CENTRE,31813075,63.0,NWHI 01 - April.pdf.csv,1
NHS Hillingdon CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,WEST LONDON MEDICAL CENTRE,31945746,95.0,NWHI 01 - April.pdf.csv,1
NHS Hillingdon CCG,30-Apr-20,C&M-PMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,GLENDALE MEDICAL CENTRE,31813075,96.0,NWHI 01 - April.pdf.csv,1
