ccg,date,expensetype,expensearea,supplier,transactionnumber,amount,file,negative,exepensearea
NHS Ealing CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,31803219,-664617.0,NWEA 01- April.pdf.csv,-1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,COMMUNITY HEALTH PARTNERSHIPS LTD,31888300,-118171.0,NWEA 01- April.pdf.csv,-1,
NHS Ealing CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,FRIMLEY HEALTH NHS FOUNDATION TRUST,32124467,-99183.0,NWEA 01- April.pdf.csv,-1,
NHS Ealing CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,FRIMLEY HEALTH NHS FOUNDATION TRUST,32124562,-99183.0,NWEA 01- April.pdf.csv,-1,
NHS Ealing CCG,30-Apr-20,Hcare Srv Rec NHS Trust-Non Contract,COMMUNITY SERVICES,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,31989103,-98519.0,NWEA 01- April.pdf.csv,-1,
NHS Ealing CCG,30-Apr-20,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,OPTIVO,31803471,-76464.0,NWEA 01- April.pdf.csv,-1,
NHS Ealing CCG,30-Apr-20,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,32124446,-49410.0,NWEA 01- April.pdf.csv,-1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,COMMUNITY HEALTH PARTNERSHIPS LTD,31888300,-10155.0,NWEA 01- April.pdf.csv,-1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prem Other,PRC DELEGATED CO-COMMISSIONING,COMMUNITY HEALTH PARTNERSHIPS LTD,31888300,-3228.0,NWEA 01- April.pdf.csv,-1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,COMMUNITY HEALTH PARTNERSHIPS LTD,31888300,-2179.0,NWEA 01- April.pdf.csv,-1,
NHS Ealing CCG,30-Apr-20,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,31867719,-1367.0,NWEA 01- April.pdf.csv,-1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,COMMUNITY HEALTH PARTNERSHIPS LTD,31871459,-176.0,NWEA 01- April.pdf.csv,-1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CORFTON ROAD SURGERY,31898276,16.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CHURCHFIELD SURGERY DRS SN & SSJ DATTA,31898274,20.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR E M ROBINSKA,31898294,33.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR L DAS,31898317,33.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR H NAY LIN,31897802,37.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR BP SINHA,31898282,39.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CORFTON ROAD SURGERY,31898274,50.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,31796799,56.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,WESTSEVEN GP,31914152,66.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,MANDEVILLE MEDICAL CENTRE,31898365,70.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR JM BAYER,31898304,72.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR JW KEEN,31898308,72.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR VB BHATT,31898344,82.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ELMBANK SURGERY,31898346,82.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR B GOHIL,31898281,93.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR DS COWEN,31898292,93.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR WM MOUSTAFA,31898340,93.0,NWEA 01- April.pdf.csv,1,
NHS Ealing CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR MG MIKHAIL,31898312,99.0,NWEA 01- April.pdf.csv,1,
