ccg,date,expensearea,expensetype,supplier,transactionnumber,amount,file,negative,exepnsearea
NHS Brent CCG,30-Apr-20,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,CONNECT HEALTH LTD,31861055,-129792.0,NWBR 01 - April.pdf.csv,-1,
NHS Brent CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,32031571,-72998.0,NWBR 01 - April.pdf.csv,-1,
NHS Brent CCG,30-Apr-20,Clinical&Medical-Commercial Sector,GENERAL RESERVE - PROGRAMME,BMI HEALTHCARE LTD,32031438,-62235.0,NWBR 01 - April.pdf.csv,-1,
NHS Brent CCG,30-Apr-20,Hcare Srv Rec NHS Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,WEST LONDON NHS TRUST,31825576,-47653.0,NWBR 01 - April.pdf.csv,-1,
NHS Brent CCG,30-Apr-20,Clinical&Medical-Commercial Sector,LONG TERM CONDITIONS,CONNECT HEALTH LTD,31861057,-45833.0,NWBR 01 - April.pdf.csv,-1,
NHS Brent CCG,30-Apr-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,31836764,-44898.0,NWBR 01 - April.pdf.csv,-1,
NHS Brent CCG,30-Apr-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,31951312,-9819.0,NWBR 01 - April.pdf.csv,-1,
NHS Brent CCG,30-Apr-20,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,31867718,-5983.0,NWBR 01 - April.pdf.csv,-1,
NHS Brent CCG,30-Apr-20,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,31951312,-5820.0,NWBR 01 - April.pdf.csv,-1,
NHS Brent CCG,30-Apr-20,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,31951311,-3100.0,NWBR 01 - April.pdf.csv,-1,
NHS Brent CCG,30-Apr-20,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,31951312,-3076.0,NWBR 01 - April.pdf.csv,-1,
NHS Brent CCG,30-Apr-20,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,31951312,-2695.0,NWBR 01 - April.pdf.csv,-1,
NHS Brent CCG,30-Apr-20,ME-GMS GP Pension AVCs,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,31951312,-1961.0,NWBR 01 - April.pdf.csv,-1,
NHS Brent CCG,30-Apr-20,ME-GMS GP Prior Year AVCs,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,31951312,-1718.0,NWBR 01 - April.pdf.csv,-1,
NHS Brent CCG,30-Apr-20,Statutory Paternity Pay < 1 yr,BALANCE SHEET,HMRC,31867718,-547.0,NWBR 01 - April.pdf.csv,-1,
NHS Brent CCG,30-Apr-20,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,31951312,-344.0,NWBR 01 - April.pdf.csv,-1,
NHS Brent CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,PARK ROYAL MEDICAL PRACTICE,31951339,10.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,PARK ROYAL MEDICAL PRACTICE,31951339,25.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR J KELLERMANN & PARTNERS,31951276,28.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,STAG - HOLLYROOD PRACTICE,31951323,33.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR P CHATLANI,31951297,45.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR REDRADO & PARTNERS,31951305,80.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,PRESTON MEDICAL CENTRE,31974996,86.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR TATE & PARTNERS,31974994,101.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,LANCELOT MEDICAL CENTRE,31974995,105.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,BRAMPTON HEALTH CENTRE,31951325,107.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR AM BURCH & PARTNERS,31951267,117.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-APMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,WEMBLEY PRACTICE (THE),31951337,124.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CHALKHILL FAMILY PRACTICE,31951326,128.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR E KONG & C EVBUOMWAN,31951270,142.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,STAG - HOLLYROOD PRACTICE,31951323,149.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR M M BAYER & PARTNERS,31951287,155.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR CHANDRASEKARA & PARTNERS,31951272,163.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR AL KROTOSKY & PTNRS,31951265,177.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR P JAGADAMBE & DR KHURJEKAR,31951299,182.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR JAYAKUMAR & PARTNER,31974992,192.0,NWBR 01 - April.pdf.csv,1,
NHS Brent CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,SUDBURY SURGERY (NETWORK HEALTHCARE SOLUTIONS LTD),31951335,194.0,NWBR 01 - April.pdf.csv,1,
