date,expensetype,supplier,transactionnumber,amount,file,negative,expensearea
30/09/2020,C&M-PMS Prem Rates,ABERNETHY HOUSE,33855261,990.0,NCL 06 - September.pdf.csv,1,
30/09/2020,C&M-PMS DES Learn Dsblty Hlth Chk,ABERNETHY HOUSE,33855261,1680.0,NCL 06 - September.pdf.csv,1,
30/09/2020,C&M-PMS PCN DES Participation,ABERNETHY HOUSE,33855261,1875.0,NCL 06 - September.pdf.csv,1,
30/09/2020,C&M-PMS LES Primary Care Offer,ABERNETHY HOUSE,33855261,7199.0,NCL 06 - September.pdf.csv,1,
30/09/2020,C&M-PMS Prem Notional Rent,ABERNETHY HOUSE,33855261,7894.0,NCL 06 - September.pdf.csv,1,
30/09/2020,C&M-PMS Funding Differential Review,ABERNETHY HOUSE,33855261,8551.0,NCL 06 - September.pdf.csv,1,
30/09/2020,C&M-PMS QOF Aspiration,ABERNETHY HOUSE,33855261,9950.0,NCL 06 - September.pdf.csv,1,
30/09/2020,C&M-PMS Contract Value,ABERNETHY HOUSE,33855261,96259.0,NCL 06 - September.pdf.csv,1,
30/09/2020,Cont Care-Learning Disab(<65),ACCOMPLISH GROUP,34012770,35075.0,NCL 06 - September.pdf.csv,1,
30/09/2020,Cont Care-Physical Disab (65+),ACTIVE ASSISTANCE,33964985,50818.0,NCL 06 - September.pdf.csv,1,
30/09/2020,C&M-GMS Prof Fees Prescribing,ADLER & ROSENBERG,34004523,131.0,NCL 06 - September.pdf.csv,1,
30/09/2020,C&M-GMS PCN DES Participation,ADLER & ROSENBERG,34004523,737.0,NCL 06 - September.pdf.csv,1,
30/09/2020,C&M-GMS Cost of Drugs -Prescribing,ADLER & ROSENBERG,34004523,743.0,NCL 06 - September.pdf.csv,1,
30/09/2020,C&M-GMS Prem Rates,ADLER & ROSENBERG,34004523,1247.0,NCL 06 - September.pdf.csv,1,
30/09/2020,C&M-GMS QOF Aspiration,ADLER & ROSENBERG,34004523,2369.0,NCL 06 - September.pdf.csv,1,
30/09/2020,C&M-GMS Prem Notional Rent,ADLER & ROSENBERG,34004523,2590.0,NCL 06 - September.pdf.csv,1,
30/09/2020,C&M-GMS Global Sum,ADLER & ROSENBERG,34004523,38930.0,NCL 06 - September.pdf.csv,1,
30/09/2020,Clinical&Medical-Voluntary Sector,AGE CONCERN ENFIELD,34020479,33331.0,NCL 06 - September.pdf.csv,1,
30/09/2020,Clinical&Medical-Voluntary Sector,AGE UK CAMDEN,33951848,30000.0,NCL 06 - September.pdf.csv,1,
30/09/2020,Clinical&Medical-Voluntary Sector,AGE UK CAMDEN,33749536,34833.0,NCL 06 - September.pdf.csv,1,
