supplier,date,expensearea,expensetype,transactionnumber,amount,file,negative
3m United Kingdom Plc,16/04/2020,Main Theatre 5,Bedding & Linen,1393257,77041.0,CROY 01 - April.csv,1
Advanced Business Solutions,09/04/2020,Balance Sheet,Additions - Information Techno,1385402,29632.0,CROY 01 - April.csv,1
Apogee Corporation,23/04/2020,It System Support,Photocopying/Xerox,1420451,49752.0,CROY 01 - April.csv,1
At Medics Ltd - Headley Drive Surgery,16/04/2020,Adult Ucc,At Medics,1416283,211442.0,CROY 01 - April.csv,1
At Medics Ltd - Headley Drive Surgery,16/04/2020,Adult Ucc,At Medics,1419686,231385.0,CROY 01 - April.csv,1
At Medics Ltd - Headley Drive Surgery,23/04/2020,Adult Ucc,At Medics,1416282,34047.0,CROY 01 - April.csv,1
At Medics Ltd - Headley Drive Surgery,23/04/2020,Adult Ucc,At Medics,1420144,231385.0,CROY 01 - April.csv,1
At Medics Ltd - Headley Drive Surgery,09/04/2020,General Reserves,At Medics,1407359,61545.0,CROY 01 - April.csv,1
At Medics Ltd - Headley Drive Surgery,09/04/2020,General Reserves,At Medics,1417043,61050.0,CROY 01 - April.csv,1
At Medics Ltd - Headley Drive Surgery,09/04/2020,General Reserves,At Medics,1417044,64240.0,CROY 01 - April.csv,1
At Medics Ltd - Headley Drive Surgery,23/04/2020,General Reserves,At Medics,1419886,44660.0,CROY 01 - April.csv,1
Bioquell Uk Ltd,23/04/2020,Balance Sheet,Additions - Plant & Machinery,1417763,52800.0,CROY 01 - April.csv,1
Brake Bros (Foodservice) Ltd,16/04/2020,Catering-Patient Services E&F,Provisions (Food & Drink),1418805,29450.0,CROY 01 - April.csv,1
Brake Bros (Foodservice) Ltd,16/04/2020,Catering-Patient Services E&F,Provisions (Food & Drink),1418806,27558.0,CROY 01 - April.csv,1
Brake Bros (Foodservice) Ltd,23/04/2020,Catering-Patient Services E&F,Provisions (Food & Drink),1420509,25104.0,CROY 01 - April.csv,1
Brake Bros (Foodservice) Ltd,23/04/2020,Catering-Patient Services E&F,Provisions (Food & Drink),1420511,30548.0,CROY 01 - April.csv,1
Bunzl Healthcare,09/04/2020,Balance Sheet,Mat Man Bunzl Reconciliation,1418097,31653.0,CROY 01 - April.csv,1
Bunzl - Materials Management Only,28/04/2020,Balance Sheet,Consolidated Invoices Suspense,722749,41130.0,CROY 01 - April.csv,1
Bunzl - Materials Management Only,28/04/2020,Balance Sheet,Mat Man Inventory,737430,41130.0,CROY 01 - April.csv,1
Cerner Ltd,23/04/2020,Balance Sheet,Additions - Information Techno,1414605,129000.0,CROY 01 - April.csv,1
Cerner Ltd,28/04/2020,Balance Sheet,Additions - Information Techno,1420676,82100.0,CROY 01 - April.csv,1
Corona Energy,23/04/2020,Energy - Cuh,Gas,1420108,135651.0,CROY 01 - April.csv,1
Daisy Corporate Services Trading Limited,27/04/2020,It System Support,Firewall Maintenance,1419081,54066.0,CROY 01 - April.csv,1
De Lage Landen Leasing Ltd,16/04/2020,Bed & Mattress Maint (Hil-Rom),Med & Surg Equipment - Maint,1417557,50916.0,CROY 01 - April.csv,1
Egton Medical Information Systems Ltd,24/04/2020,Application Support,Emis / Epex Support Contract,1409324,67352.0,CROY 01 - April.csv,1
G4s Facilities Management (Uk) Ltd,16/04/2020,Domestic Contract,Contract - Domestic,1419502,548188.0,CROY 01 - April.csv,1
Hats Group Ltd,23/04/2020,Patient Transport,Patient Non Emerg. Transport,1419867,125000.0,CROY 01 - April.csv,1
Insight Direct Uk Ltd,09/04/2020,Balance Sheet,Additions - Information Techno,1417976,31450.0,CROY 01 - April.csv,1
Insight Direct Uk Ltd,28/04/2020,Balance Sheet,Additions - Information Techno,1409699,37368.0,CROY 01 - April.csv,1
Johnson & Johnson Medical Ltd,28/04/2020,Balance Sheet,Additions - Plant & Machinery,1420061,44622.0,CROY 01 - April.csv,1
Keystream Healthcare Resources Limited,28/04/2020,Balance Sheet,Additions - Information Techno,1396347,39840.0,CROY 01 - April.csv,1
Keystream Healthcare Resources Limited,28/04/2020,Balance Sheet,Additions - Information Techno,1418849,64800.0,CROY 01 - April.csv,1
