date,expensetype,expensearea,supplier,amount,file,negative
02/04/2020,Car Salary Sacrifice,Ichnt Balance Sheet,Tuskerdirect Ltd,61459.0,IMPC 01 - April.csv,1
02/04/2020,Consultancy Fees,Finance Directorate,Deloitte And Touche Llp,61920.0,IMPC 01 - April.csv,1
02/04/2020,Consultancy Fees,Finance Directorate,Deloitte And Touche Llp,38700.0,IMPC 01 - April.csv,1
02/04/2020,Cy Auc -Addns- Prof Fee)-Purch,Capital Summary,Pa Consulting Services Ltd,209130.0,IMPC 01 - April.csv,1
02/04/2020,Drugs Nhs,Div Of Women & Clin Support,Lloyds Retail Chemists Ltd,2699616.0,IMPC 01 - April.csv,1
02/04/2020,Ic Pay Recharge In: Med,Pathology,Imperial College London,26476.0,IMPC 01 - April.csv,1
02/04/2020,Other Research Exp - Pay,Rd Surgery & Cancer Division,Imperial College London,47590.0,IMPC 01 - April.csv,1
02/04/2020,Srvcsrecd-Other Nhs,Finance Directorate,Salford Royal Nhs Foundation Trust,31147.0,IMPC 01 - April.csv,1
07/04/2020,Agency Nursing: Qualified,Div Of Med & Integrated Care,Reed,67487.0,IMPC 01 - April.csv,1
07/04/2020,Agency Nursing: Qualified,"Div Of Surg, Cardiov & Cancer",Reed,66225.0,IMPC 01 - April.csv,1
07/04/2020,Bldg/Eng Equip Maint/Rep,Estates Directorate,Cbre Managed Services Ltd,283381.0,IMPC 01 - April.csv,1
07/04/2020,Bldg/Eng Equip Maint/Rep,Estates Directorate,Cbre Managed Services Ltd,779959.0,IMPC 01 - April.csv,1
07/04/2020,Consultancy Fees,Press & Communications,Cbre Managed Services Ltd,105180.0,IMPC 01 - April.csv,1
07/04/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,Cbre Managed Services Ltd,257119.0,IMPC 01 - April.csv,1
07/04/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,Cbre Managed Services Ltd,98238.0,IMPC 01 - April.csv,1
07/04/2020,Cy Auc -Addns-Bd Purchased,Capital Summary,Me Construction Ltd,155626.0,IMPC 01 - April.csv,1
07/04/2020,Organ Donor Expenses,Div Of Women & Clin Support,The Anthony Nolan Trust,47073.0,IMPC 01 - April.csv,1
07/04/2020,Other Research Exp - Non-Pay,Rd Medical Directorate,Royal Brompton And Harefield Nhs Ft,192060.0,IMPC 01 - April.csv,1
