Department,CCG,Date,Expense Area,Expense Type,Supplier,Transaction Number,Amount
Department of Health,NHS West London CCG,30/11/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,GENERAL RESERVE - PROGRAMME,CENTRAL & NORTH WEST LONDON NHS FOUNDATION,34529740,"-190,163.00"
Department of Health,NHS West London CCG,30/11/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGS ROAD MEDICAL CENTRE,34515066,"-116,893.21"
Department of Health,NHS West London CCG,30/11/2020,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - OTHER,SMART,34790603,"-55,365.00"
Department of Health,NHS West London CCG,30/11/2020,Clinical&Medical-Voluntary Sector,COMMISSIONING SCHEMES,ECONSULT HEALTH LTD,34739436,"-46,620.00"
Department of Health,NHS West London CCG,30/11/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BROMPTON MEDICAL CENTRE,34515084,"-43,479.94"
Department of Health,NHS West London CCG,30/11/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HEALTH & WELLBEING EARLS COURT,34515060,"-38,639.34"
Department of Health,NHS West London CCG,30/11/2020,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,ROYAL BOROUGH OF KENSINGTON&CHELSEA,34597271,"-33,997.93"
Department of Health,NHS West London CCG,30/11/2020,Clinical&Medical-Commercial Sector,LEARNING DIFFICULTIES,NAS SERVICES LTD,34452563,"-26,533.50"
Department of Health,NHS West London CCG,30/11/2020,Clinical&Medical-Commercial Sector,LEARNING DIFFICULTIES,NAS SERVICES LTD,34452569,"-26,533.50"
Department of Health,NHS West London CCG,30/11/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,BROMPTON MEDICAL CENTRE,34515084,"-3,491.08"
Department of Health,NHS West London CCG,30/11/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,HEALTH & WELLBEING EARLS COURT,34515060,"-3,485.54"
Department of Health,NHS West London CCG,30/11/2020,C&M-APMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,BROMPTON MEDICAL CENTRE,34515084,"-3,188.22"
Department of Health,NHS West London CCG,30/11/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,HEALTH & WELLBEING EARLS COURT,34515060,"-2,121.05"
Department of Health,NHS West London CCG,30/11/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,HEALTH & WELLBEING EARLS COURT,34515060,"-1,961.25"
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,KINGS ROAD MEDICAL CENTRE,34515066,-649.22
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,AT MEDICS LTD BARLBY ROAD,34515045,-599.39
Department of Health,NHS West London CCG,30/11/2020,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,34591594,-556.4
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,HEALTH & WELLBEING EARLS COURT,34515060,-307.84
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,BROMPTON MEDICAL CENTRE,34515084,-241.82
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DR ANIL JOSHI,34515051,20.91
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,FORELAND MEDICAL CENTRE,34612444,30.83
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ABINGDON HEALTH CENTRE,34541941,88.57
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,KNIGHTSBRIDGE MEDICAL CENTRE,34515069,90.51
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,SHIRLAND ROAD MEDICAL CENTRE,34612485,210.68
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ELGIN CLINIC,34612427,211.87
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR MD MCKEOWN,34612411,301.69
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DRS GILLIES STEEDEN & HUSSEIN,34515055,308.14
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PRACTICE BEACON,34515073,308.25
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ST QUINTIN HEALTH CENTRE,34612476,310.91
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR MD MCKEOWN,34612411,327.13
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HEALTH CENTRE LONDON,34612449,348.7
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR ANIL JOSHI,34515051,386.27
Department of Health,NHS West London CCG,30/11/2020,C&M-APMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,AT MEDICS LTD BARLBY ROAD,34515046,386.28
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ST QUINTIN HEALTH CENTRE,34612476,405.35
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NOTTING HILL MEDICAL CENTRE,34612464,439.15
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BROMPTON MEDICAL CENTRE LONDON,34612403,442.15
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GOLBORNE MEDICAL CENTRE,34515083,442.47
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MEANWHILE GARDEN MEDICAL CENTRE,34612456,490.52
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,SHIRLAND ROAD MEDICAL CENTRE,34612485,506.66
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PORTOBELLO MEDICAL CENTRE,34612470,518.4
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,ABINGDON HEALTH CENTRE,34541941,524.85
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR S PARAMESHWARAN,34612420,532
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR S PARAMESHWARAN,34612420,544.94
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR N AHMED,34612418,563.36
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,EXMOOR SURGERY,34612423,576.92
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GARWAY MEDICAL PRACTICE,34515057,578.52
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,FORELAND MEDICAL CENTRE,34612444,638.04
Department of Health,NHS West London CCG,30/11/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HEALTH & WELLBEING EARLS COURT,34515061,665.64
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHELSEA PRACTICE,34515049,672.82
Department of Health,NHS West London CCG,30/11/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BROMPTON MEDICAL CENTRE,34515085,676.56
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SHIRLAND ROAD MEDICAL CENTRE,34612485,703.21
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,LANCASTER GATE MEDICAL CENTRE,34515065,733.6
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,EMPERORS GATE CENTRE FOR HEALTH,34612431,734.3
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GOOD PRACTICE,34612440,753.62
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NORTH KENSINGTON MEDICAL CENTRE,34612460,787.62
Department of Health,NHS West London CCG,30/11/2020,C&M-APMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,AT MEDICS LTD BARLBY ROAD,34515046,799.72
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ELGIN CLINIC,34612427,811.55
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DRS RAMASAMY ABBAS & NANNITHAMBY,34517792,843.61
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,NORTH KENSINGTON MEDICAL CENTRE,34612460,859.02
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,EARLS COURT MEDICAL CENTRE,34612435,868.89
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,GOLBORNE MEDICAL CENTRE,34515083,904.5
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,GOOD PRACTICE,34612440,911.99
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,KENSINGTON PARK MEDICAL CENTRE,34515063,950.55
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SCARSDALE MEDICAL CENTRE,34541942,965.05
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR MD MCKEOWN,34612411,"1,020.29"
Department of Health,NHS West London CCG,30/11/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,NOTTING HILL MEDICAL CENTRE,34612464,"1,027.97"
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ABINGDON HEALTH CENTRE,34541941,"1,071.28"
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR ANIL JOSHI,34515051,"1,081.17"
Department of Health,NHS West London CCG,30/11/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,NOTTING HILL MEDICAL CENTRE,34612464,"1,094.98"
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WESTBOURNE GROVE MEDICAL CENTRE,34515079,"1,126.35"
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR ANIL JOSHI,34515051,"1,126.82"
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PRACTICE BEACON,34515073,"1,180.44"
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DRS RAMSDEN & REID,34515053,"1,246.77"
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,FORELAND MEDICAL CENTRE,34612444,"1,257.90"
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HOLLAND PARK SURGERY LONDON,34515059,"1,273.79"
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PORTLAND ROAD PRACTICE,34515071,"1,283.53"
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,REDCLIFFE SURGERY,34515075,"1,355.36"
Department of Health,NHS West London CCG,30/11/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DRS RAMASAMY ABBAS & NANNITHAMBY,34517792,"1,356.80"
Department of Health,NHS West London CCG,30/11/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PORTOBELLO MEDICAL CENTRE,34612470,"1,423.80"
