Department,Entity,Date,Expense Type,Expense Area,Supplier,Amount
Department of Health,NHS South West London CCG,31/07/2020,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,LONDON BOROUGH OF SUTTON,"-848,562.90"
Department of Health,NHS South West London CCG,31/07/2020,Hcare Srv Rec NHS Trust-Prior Year,NON RECURRENT PROGRAMMES,CROYDON HEALTH SERVICES NHS TRUST,"-520,954.00"
Department of Health,NHS South West London CCG,31/07/2020,Hcare Srv Rec Fdtn Trust-Prior Year,NON RECURRENT PROGRAMMES,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,"-464,441.20"
Department of Health,NHS South West London CCG,31/07/2020,Hcare Srv Rec Fdtn Trust-Prior Year,NON RECURRENT PROGRAMMES,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,"-348,902.84"
Department of Health,NHS South West London CCG,31/07/2020,Hcare Srv Rec Fdtn Trust-Prior Year,NON RECURRENT PROGRAMMES,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,"-288,515.05"
Department of Health,NHS South West London CCG,31/07/2020,Hcare Srv Rec Fdtn Trust-Prior Year,NON RECURRENT PROGRAMMES,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,"-269,419.68"
Department of Health,NHS South West London CCG,31/07/2020,Hcare Srv Rec NHS Trust-Prior Year,NCAS/OATS,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,"-205,809.30"
Department of Health,NHS South West London CCG,31/07/2020,Clinical&Medical-Not For Profit,COMMISSIONING SCHEMES,BATTERSEA HEALTHCARE CIC,"-171,083.34"
Department of Health,NHS South West London CCG,31/07/2020,Clinical&Medical-Not For Profit,COMMISSIONING SCHEMES,BATTERSEA HEALTHCARE CIC,"-171,083.34"
Department of Health,NHS South West London CCG,31/07/2020,Hcare Srv Rec Fdtn Trust-Prior Year,NON RECURRENT PROGRAMMES,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,"-143,302.51"
Department of Health,NHS South West London CCG,31/07/2020,Hcare Srv Rec NHS Trust-Prior Year,NON RECURRENT PROGRAMMES,LONDON NORTH WEST HEALTHCARE NHS TRUST,"-114,949.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ROWANS SURGERY (THE),"-106,952.01"
Department of Health,NHS South West London CCG,31/07/2020,Clinical&Medical-Not For Profit,GP FORWARD VIEW,BATTERSEA HEALTHCARE CIC,"-78,240.92"
Department of Health,NHS South West London CCG,31/07/2020,Clinical&Medical-Not For Profit,GP FORWARD VIEW,BATTERSEA HEALTHCARE CIC,"-78,240.92"
Department of Health,NHS South West London CCG,31/07/2020,Other Gen Supplies & Srv,PRIMARY CARE DEVELOPMENT,RICHMOND GENERAL PRACTICE ALLIANCE LTD,"-69,646.00"
Department of Health,NHS South West London CCG,31/07/2020,Hcare Srv Rec Fdtn Trust-Prior Year,NON RECURRENT PROGRAMMES,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,"-66,263.53"
Department of Health,NHS South West London CCG,31/07/2020,Hlthcre-Foundation Trsts,CHILDREN SERVICES,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,"-62,007.00"
Department of Health,NHS South West London CCG,31/07/2020,Hcare Srv Rec NHS Trust-Prior Year,NON RECURRENT PROGRAMMES,LONDON NORTH WEST HEALTHCARE NHS TRUST,"-60,181.00"
Department of Health,NHS South West London CCG,31/07/2020,Hcare Srv Rec Fdtn Trust-Prior Year,NON RECURRENT PROGRAMMES,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,"-47,901.41"
Department of Health,NHS South West London CCG,31/07/2020,Hcare Srv Rec Fdtn Trust-Prior Year,NON RECURRENT PROGRAMMES,ROYAL MARSDEN NHS FOUNDATION TRUST (THE),"-47,295.33"
Department of Health,NHS South West London CCG,31/07/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR M F JOHNSON & PARTNERS,"-45,551.16"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR M F JOHNSON & PARTNERS,"-40,996.19"
Department of Health,NHS South West London CCG,31/07/2020,Hcare Srv Rec Fdtn Trust-Prior Year,NON RECURRENT PROGRAMMES,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,"-35,772.20"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,BALHAM PARK SURGERY,"-30,444.68"
Department of Health,NHS South West London CCG,31/07/2020,Hcare Srv Rec Fdtn Trust-Prior Year,NON RECURRENT PROGRAMMES,ROYAL MARSDEN NHS FOUNDATION TRUST (THE),"-29,382.57"
Department of Health,NHS South West London CCG,31/07/2020,Hcare Srv Rec Fdtn Trust-Prior Year,NON RECURRENT PROGRAMMES,ROYAL MARSDEN NHS FOUNDATION TRUST (THE),"-28,725.76"
Department of Health,NHS South West London CCG,31/07/2020,Hcare Srv Rec Fdtn Trust-Prior Year,NON RECURRENT PROGRAMMES,ST GEORGES UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,"-28,675.47"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR FREEMAN & PARTNERS,"-27,358.58"
Department of Health,NHS South West London CCG,31/07/2020,Hcare Srv Rec NHS Trust-Prior Year,NON RECURRENT PROGRAMMES,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,"-26,239.00"
Department of Health,NHS South West London CCG,31/07/2020,Hcare Srv Rec Fdtn Trust-Prior Year,NON RECURRENT PROGRAMMES,ROYAL MARSDEN NHS FOUNDATION TRUST (THE),"-25,190.79"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,BALHAM PARK SURGERY,"-24,681.41"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,WIMBLEDON MEDICAL CENTRE,"-23,982.75"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,M G DURHAM,"-21,795.16"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,M G DURHAM,"-21,045.23"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,V M BEARN,"-14,872.87"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,DR N SORNALINGAM & PARTNERS,"-14,546.06"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,DR FREEMAN & PARTNERS,"-14,070.48"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,CHEAM FAMILY PRACTICE,"-13,955.07"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,CHEAM FAMILY PRACTICE,"-13,699.29"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR S A BOBAK,"-13,115.87"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR P W NEWLANDS & PARTNERS,"-12,675.38"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR N SORNALINGAM & PARTNERS,"-12,243.81"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR E KATAY & PARTNERS,"-12,208.43"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,DR E KATAY & PARTNERS,"-12,016.53"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,C J ELLIOTT,"-11,869.94"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,LAMBTON ROAD MEDICAL PRACTICE,"-11,756.85"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,V M BEARN,"-11,746.55"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,LAMBTON ROAD MEDICAL PRACTICE,"-11,597.81"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,PUTNEYMEAD GROUP MEDICAL PRACTICE,"-11,480.04"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,C J ELLIOTT,"-11,170.83"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,J GRANNELL,"-11,072.61"
Department of Health,NHS South West London CCG,31/07/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,JOHAL & PARTNERS,"-10,785.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,J GRANNELL,"-10,763.32"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR FREEMAN & PARTNERS,"-10,694.91"
Department of Health,NHS South West London CCG,31/07/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,HAMPTON HILL MEDICAL CENTRE,"-10,364.04"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,DR B NAHA,"-10,352.13"
Department of Health,NHS South West London CCG,31/07/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,JEZIERSKI & PARTNERS,"-10,337.48"
Department of Health,NHS South West London CCG,31/07/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,JEZIERSKI & PARTNERS,"-10,031.34"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,J GRANNELL,"-9,946.50"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR B NAHA,"-9,927.59"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,HAMPTON HILL MEDICAL CENTRE,"-9,729.81"
Department of Health,NHS South West London CCG,31/07/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,JOHAL & PARTNERS,"-9,443.50"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR M F JOHNSON & PARTNERS,"-9,035.44"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,PUTNEYMEAD GROUP MEDICAL PRACTICE,"-8,830.33"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,DR P W NEWLANDS & PARTNERS,"-8,745.69"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,DR M F JOHNSON & PARTNERS,"-8,661.50"
Department of Health,NHS South West London CCG,31/07/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,BALHAM PARK SURGERY,"-8,170.70"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,PARCHMORE MEDICAL CENTRE,"-8,164.35"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,C RIBEIRO,"-8,034.43"
Department of Health,NHS South West London CCG,31/07/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,C RIBEIRO,"-7,967.94"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR S A BOBAK,"-7,854.15"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR S A BOBAK,"-7,854.09"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,CHEAM GP CENTRE,"-7,814.28"
Department of Health,NHS South West London CCG,31/07/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR S A BOBAK,"-7,789.15"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,C RIBEIRO,"-7,501.57"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,CHEAM GP CENTRE,"-7,490.08"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,C RIBEIRO,"-7,464.17"
Department of Health,NHS South West London CCG,31/07/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CHEAM GP CENTRE,"-7,285.87"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CHEAM GP CENTRE,"-6,840.00"
Department of Health,NHS South West London CCG,31/07/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,SMITH C J & PARTNERS,"-6,588.79"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,BALHAM PARK SURGERY,"-6,494.47"
Department of Health,NHS South West London CCG,31/07/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,SMITH C J & PARTNERS,"-6,295.20"
Department of Health,NHS South West London CCG,31/07/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,SMITH C J & PARTNERS,"-6,135.44"
Department of Health,NHS South West London CCG,31/07/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,PARCHMORE MEDICAL CENTRE,"-6,052.78"
Department of Health,NHS South West London CCG,31/07/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,SMITH C J & PARTNERS,"-5,909.96"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,PARCHMORE MEDICAL CENTRE,"-5,829.93"
Department of Health,NHS South West London CCG,31/07/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,DR B NAHA,"-4,973.40"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,ROWANS SURGERY (THE),"-4,606.24"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,PARCHMORE MEDICAL CENTRE,"-4,586.46"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,DR S A BOBAK,"-4,553.45"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,ROWANS SURGERY (THE),"-4,484.52"
Department of Health,NHS South West London CCG,31/07/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR P W NEWLANDS & PARTNERS,"-4,042.65"
Department of Health,NHS South West London CCG,31/07/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,JEZIERSKI & PARTNERS,"-3,924.72"
Department of Health,NHS South West London CCG,31/07/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,LAMBTON ROAD MEDICAL PRACTICE,"-3,882.60"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,WIMBLEDON MEDICAL CENTRE,"-3,705.82"
Department of Health,NHS South West London CCG,31/07/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,JEZIERSKI & PARTNERS,"-3,665.03"
Department of Health,NHS South West London CCG,31/07/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,WIMBLEDON MEDICAL CENTRE,"-3,642.63"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,WIMBLEDON MEDICAL CENTRE,"-3,496.75"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,WIMBLEDON MEDICAL CENTRE,"-3,419.71"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR P W NEWLANDS & PARTNERS,"-3,249.34"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HAMPTON HILL MEDICAL CENTRE,"-2,941.64"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR P W NEWLANDS & PARTNERS,"-2,758.50"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,HAMPTON HILL MEDICAL CENTRE,"-2,703.40"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Healthcentre Rates,PRC DELEGATED CO-COMMISSIONING,WIMBLEDON MEDICAL CENTRE,"-2,680.17"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,LAMBTON ROAD MEDICAL PRACTICE,"-2,511.00"
Department of Health,NHS South West London CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,HAMPTON HILL MEDICAL CENTRE,"-2,490.05"
Department of Health,NHS South West London CCG,31/07/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,JOHAL & PARTNERS,"-2,420.63"
Department of Health,NHS South West London CCG,31/07/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,JOHAL & PARTNERS,"-2,350.83"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR FREEMAN & PARTNERS,"-2,237.48"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR P W NEWLANDS & PARTNERS,"-2,204.02"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,PARCHMORE MEDICAL CENTRE,"-2,015.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,WIMBLEDON MEDICAL CENTRE,"-1,951.00"
Department of Health,NHS South West London CCG,31/07/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,M G DURHAM,"-1,899.33"
Department of Health,NHS South West London CCG,31/07/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,C J ELLIOTT,"-1,889.76"
