NHS Abrev,ccg19nm,Count,Value (m),Number of Datasets,Value (%),Count (%),Highest Value Company Recipient,Number Payments to VCS,Number of Company Suppliers
AWC,"NHS Airedale, Wharfedale And Craven CCG",3611.0,1214.0,81.0,2.405837662675273,12.683467183605648,IG MEDICAL LIMITED,458.0,25.0
ASH,NHS Ashford CCG,4913.0,891.0,82.0,6.711273575251572,26.0736820679829,THE BENENDEN HOSPITAL TRUST,1281.0,62.0
BARK,NHS Barking And Dagenham CCG,386.0,116.0,5.0,6.305641956659799,23.57512953367876,CARE UK CLINICAL SERVICES LIMITED,91.0,22.0
BARNET,NHS Barnet CCG,4324.0,1345.0,44.0,5.279756345867521,19.310823311748383,UNIVERSITY COLLEGE LONDON,835.0,100.0
BARNS,NHS Barnsley CCG,7580.0,2441.0,85.0,3.1947880325064237,14.841688654353563,BARNSLEY HEALTHCARE FEDERATION COMMUNITY INTEREST COMPANY,1125.0,103.0
BAB,NHS Basildon And Brentwood CCG,3753.0,1384.0,63.0,6.234060192491062,24.726885158539837,INTEGRATED CARE 24,928.0,68.0
BASS,NHS Bassetlaw CCG,2668.0,633.0,57.0,5.954218131250063,21.51424287856072,LARWOOD LIMITED,574.0,40.0
BANE,NHS Bath and North East Somerset CCG,4547.0,1212.0,72.0,11.98981664701,19.991202990983066,SIRONA CARE AND HEALTH COMMUNITY INTEREST COMPANY,909.0,44.0
BED,NHS Bedfordshire CCG,7983.0,2747.0,70.0,9.869371014215227,21.157459601653514,CIRCLE CLINICAL SERVICES LIMITED,1689.0,135.0
BEX,NHS Bexley CCG,3687.0,1064.0,50.0,4.517170559922552,19.663683211282887,HURLEY GROUP LIMITED,725.0,53.0
BIRM,NHS Birmingham And Solihull CCG,7963.0,2869.0,23.0,6.218048701181371,25.781740550043953,SPIRE HEALTHCARE LIMITED,2053.0,168.0
BWD,NHS Blackburn With Darwen CCG,4542.0,1277.0,83.0,7.322428881312443,24.108322324966974,BMI HEALTHCARE LIMITED,1095.0,68.0
BLACK,NHS Blackpool CCG,62.0,19.0,1.0,8.557279343830338,9.67741935483871,FCMS NW LIMITED,6.0,5.0
BOLT,NHS Bolton CCG,1663.0,617.0,25.0,8.097896387272051,31.990378833433553,BMI HEALTHCARE LIMITED,532.0,49.0
BRAC,NHS Bradford City CCG,3057.0,758.0,78.0,2.878932988181197,11.318285901210338,BEVAN HEALTHCARE COMMUNITY INTEREST COMPANY,346.0,22.0
