NHS Abrev,trust name,Latitude,Longitude,Count,Value (m),Number of Datasets,Value (%),Count (%),Highest Value Charity Recipient,Number Payments to VCS,Number of Charity Suppliers
AAW,Avon and Wiltshire Mental Health Partnership NHS Trust,51.388604,-2.392313,870.0,71.0,31.0,3.2500688281134815,2.6436781609195403,BRISTOL DRUGS PROJECT LIMITED,23.0,7.0
AIR,Airedale NHS Foundation Trust,53.898015,-1.962695,1163.0,132.0,47.0,0.06915563630517321,0.17196904557179707,SUE RYDER,2.0,1.0
ALD,Alder Hey Children's NHS Foundation Trust,53.420242,-2.898723,1280.0,543.0,23.0,0.053509153777344644,0.46875,CARDIFF UNIVERSITY,6.0,3.0
BAS,Birmingham and Solihull Mental Health NHS Foundation Trust,52.484114,-1.917317,2678.0,321.0,64.0,3.381335572102391,6.235997012696042,WELCOME,167.0,17.0
BAT,Basildon and Thurrock University Hospitals NHS Foundation Trust,51.557679,0.450587,1775.0,152.0,33.0,0.5571051866866285,0.7323943661971831,NUFFIELD HEALTH,13.0,2.0
BAW,University Hospitals Bristol and Weston NHS Foundation Trust,51.459478,-2.593019,7109.0,602.0,84.0,1.6105732416551528,3.1368687579125054,ANTHONY NOLAN,223.0,11.0
BCH,Birmingham Community Healthcare NHS Foundation Trust,52.487324,-1.885825,4476.0,462.0,75.0,6.848747762186572,3.1277926720285967,BARNARDOS,140.0,8.0
BCP,Black Country Partnership NHS Foundation Trust,52.519166,-2.017332,1680.0,149.0,107.0,0.09006568269209429,0.2380952380952381,CHANGING OUR LIVES LIMITED,4.0,2.0
BED,Bedford Hospital NHS Trust,52.128265,-0.472495,1249.0,130.0,25.0,0.0,0.0,0,0.0,0.0
BEH,"Barnet, Enfield and Haringey Mental Health NHS Trust",51.580625,-0.092097,201.0,30.0,5.0,1.2603563551975743,3.482587064676617,HUMANKIND CHARITY,7.0,3.0
BER,Berkshire Healthcare NHS Foundation Trust,51.416854,-0.754693,126.0,12.0,3.0,9.549713734585904,4.761904761904762,NEWBURY AND THATCHAM HOSPITAL BUILDING TRUST,6.0,2.0
BHR,"Barking, Havering and Redbridge University Hospitals NHS Trust",51.568647,0.179031,2183.0,451.0,25.0,0.04020883979261121,0.4122766834631242,FACULTY OF MEDICAL LEADERSHIP AND MANAGEMENT,9.0,3.0
BOL,Bolton NHS Foundation Trust,53.553957,-2.429894,1984.0,228.0,38.0,0.07909506062415239,0.10080645161290322,MARIE CURIE,2.0,2.0
BRA,Bradford Teaching Hospitals NHS Foundation Trust,53.80598,-1.794697,1726.0,241.0,18.0,0.07480822016162285,0.34762456546929316,PLAY BRADFORD,6.0,4.0
BRD,Bradford District NHS Foundation Trust,53.838871,-1.788384,1663.0,183.0,58.0,1.5677063885709368,3.788334335538184,THE CELLAR TRUST,63.0,10.0
BRI,Bridgewater Community Healthcare NHS Foundation Trust,53.415956,-2.626724,2428.0,203.0,102.0,0.07097149722252014,0.2883031301482702,HOMESTART HOST,7.0,3.0
BSH,Brighton and Sussex University Hospitals NHS Trust,50.819468,-0.118177,6351.0,876.0,44.0,0.1607862066608895,1.0706975279483546,SUSSEX INTERPRETING SERVICES,68.0,4.0
BTH,Blackpool Teaching Hospitals NHS Foundation Trust,53.820616,-3.015863,3005.0,377.0,68.0,0.4743441341659698,0.9983361064891847,ELHTANDME,30.0,6.0
