NHS Abrev,Charity Value,Charity Count,Count (%),Value (%),Rank,Year,NHS Trust
DHC,25997483.0,311,19.923126201153107,20.280460206321553,1,All Years,Derbyshire Healthcare NHS Foundation Trust
NAS,29480384.0,357,11.888111888111888,11.561093674313911,2,All Years,Norfolk and Suffolk NHS Foundation Trust
BER,1174710.0,6,4.761904761904762,9.549713734585904,3,All Years,Berkshire Healthcare NHS Foundation Trust
NEA,9910527.0,168,9.853372434017595,9.245400757994856,4,All Years,North East Ambulance Service NHS Foundation Trust
NOT,23830635.0,335,7.711786372007366,7.772180416873059,5,All Years,Nottinghamshire Healthcare NHS Foundation Trust
BCH,31694511.0,140,3.1277926720285967,6.848747762186572,6,All Years,Birmingham Community Healthcare NHS Foundation Trust
CCS,3415635.0,96,11.895910780669144,5.717071243173575,7,All Years,Cambridgeshire Community Services NHS Trust
LAY,4420327.0,59,10.746812386156648,5.547935518028208,8,All Years,Leeds and York Partnership NHS Foundation Trust
GMM,10714918.0,192,9.370424597364568,5.489936858479765,9,All Years,Greater Manchester Mental Health NHS Foundation Trust
MIP,4712010.0,72,6.122448979591836,5.018814924189908,10,All Years,Midlands Partnership NHS Foundation Trust
NEA,1613589.0,41,16.599190283400812,12.402975227778242,1,2013,North East Ambulance Service NHS Foundation Trust
NOT,1797540.0,22,10.045662100456621,11.672865973219697,2,2013,Nottinghamshire Healthcare NHS Foundation Trust
NAS,1935546.0,26,7.83132530120482,8.411248337780403,3,2013,Norfolk and Suffolk NHS Foundation Trust
LIP,744497.0,15,10.135135135135135,5.5191195823451515,4,2013,Lincolnshire Partnership NHS Foundation Trust
RDS,423773.0,12,8.21917808219178,4.917247363512164,5,2013,Rotherham Doncaster and South Humber NHS Foundation Trust
LAS,1473358.0,13,2.480916030534351,3.6310238354651276,6,2013,London Ambulance Service NHS Trust
SEC,532483.0,14,4.501607717041801,3.4328985200221416,7,2013,South East Coast Ambulance Service NHS Foundation Trust
RNO,540791.0,10,3.968253968253968,2.8433692319930843,8,2013,Royal National Orthopaedic Hospital NHS Trust
TEE,856145.0,16,4.102564102564102,2.3606162591341207,9,2013,"Tees, Esk and Wear Valleys NHS Foundation Trust"
BAS,915680.0,21,5.7534246575342465,2.2382136059667577,10,2013,Birmingham and Solihull Mental Health NHS Foundation Trust
NEA,2123583.0,45,29.605263157894733,24.91195227227776,1,2014,North East Ambulance Service NHS Foundation Trust
DHC,3303291.0,51,23.72093023255814,20.993212411303865,2,2014,Derbyshire Healthcare NHS Foundation Trust
NAS,3707016.0,41,12.1301775147929,13.068242689227565,3,2014,Norfolk and Suffolk NHS Foundation Trust
NOT,5070170.0,52,7.027027027027027,10.459962349936808,4,2014,Nottinghamshire Healthcare NHS Foundation Trust
AAW,1846763.0,11,4.741379310344827,9.803717864284057,5,2014,Avon and Wiltshire Mental Health Partnership NHS Trust
LCH,1259354.0,16,6.374501992031872,6.402441984837647,6,2014,Leeds Community Healthcare NHS Trust
DHU,2169432.0,28,9.271523178807946,5.003588766147141,7,2014,Dorset Healthcare University NHS Foundation Trust
LIP,653869.0,10,5.46448087431694,4.395006621725106,8,2014,Lincolnshire Partnership NHS Foundation Trust
RDS,290125.0,10,5.405405405405405,3.0929082452323104,9,2014,Rotherham Doncaster and South Humber NHS Foundation Trust
BAS,1216883.0,25,7.183908045977011,3.018054013728134,10,2014,Birmingham and Solihull Mental Health NHS Foundation Trust
DHC,2472746.0,37,25.34246575342466,26.44586185628379,1,2015,Derbyshire Healthcare NHS Foundation Trust
NEA,4287135.0,60,20.066889632107024,20.267386820940416,2,2015,North East Ambulance Service NHS Foundation Trust
NAS,3847785.0,44,11.055276381909549,10.239118598929304,3,2015,Norfolk and Suffolk NHS Foundation Trust
NOT,4429200.0,48,7.4650077760497675,9.158738102397637,4,2015,Nottinghamshire Healthcare NHS Foundation Trust
NOR,1353557.0,26,12.037037037037036,7.409903528049478,5,2015,Northamptonshire Healthcare NHS Foundation Trust
SWL,1079261.0,13,5.829596412556054,7.1751207575307925,6,2015,South West London and St George's Mental Health NHS Trust
LCH,1476490.0,27,8.598726114649681,7.15671677565647,7,2015,Leeds Community Healthcare NHS Trust
WSH,1518228.0,23,7.931034482758621,6.717454737769023,8,2015,Western Sussex Hospitals NHS Foundation Trust
YAS,2744153.0,46,13.256484149855908,6.102059708349372,9,2015,Yorkshire Ambulance Service NHS Trust
DHU,6417061.0,79,10.10230179028133,5.8756208898284585,10,2015,Dorset Healthcare University NHS Foundation Trust
DHC,3695521.0,50,20.242914979757085,21.96284493743106,1,2016,Derbyshire Healthcare NHS Foundation Trust
NAS,6046272.0,80,19.37046004842615,16.657945929075936,2,2016,Norfolk and Suffolk NHS Foundation Trust
YAS,3210744.0,48,12.66490765171504,6.969894341783288,3,2016,Yorkshire Ambulance Service NHS Trust
NOT,3476224.0,51,6.415094339622642,6.242492454406568,4,2016,Nottinghamshire Healthcare NHS Foundation Trust
DHU,7173631.0,93,11.177884615384617,5.817487325715974,5,2016,Dorset Healthcare University NHS Foundation Trust
NOR,2082214.0,42,10.047846889952153,5.565232237835612,6,2016,Northamptonshire Healthcare NHS Foundation Trust
DPT,825972.0,15,5.555555555555555,4.2051507001966,7,2016,Devon Partnership NHS Trust
TEE,2092624.0,31,5.107084019769357,4.169690634062873,8,2016,"Tees, Esk and Wear Valleys NHS Foundation Trust"
NEA,546561.0,6,3.0927835051546393,3.9489338815609556,9,2016,North East Ambulance Service NHS Foundation Trust
BAS,1320886.0,15,4.385964912280701,3.441446101130346,10,2016,Birmingham and Solihull Mental Health NHS Foundation Trust
DHC,4864865.0,51,16.887417218543046,23.25020949665269,1,2017,Derbyshire Healthcare NHS Foundation Trust
NAS,5403497.0,60,14.285714285714285,14.625458011757807,2,2017,Norfolk and Suffolk NHS Foundation Trust
CCS,836798.0,22,16.296296296296298,9.308708802913651,3,2017,Cambridgeshire Community Services NHS Trust
NOT,1517538.0,31,10.472972972972974,6.868542910978988,4,2017,Nottinghamshire Healthcare NHS Foundation Trust
NOR,1848606.0,33,9.217877094972067,5.359272134003286,5,2017,Northamptonshire Healthcare NHS Foundation Trust
BAS,1987545.0,19,5.588235294117648,4.9238026889770286,6,2017,Birmingham and Solihull Mental Health NHS Foundation Trust
GMM,1409415.0,28,6.6350710900473935,3.706472488215757,7,2017,Greater Manchester Mental Health NHS Foundation Trust
DHU,4322702.0,61,7.411907654921021,3.512054355042475,8,2017,Dorset Healthcare University NHS Foundation Trust
TEE,1498504.0,29,5.234657039711191,3.1869418294175493,9,2017,"Tees, Esk and Wear Valleys NHS Foundation Trust"
SLA,2333323.0,37,6.357388316151202,2.700801225940775,10,2017,South London and Maudsley NHS Foundation Trust
DHC,5783430.0,59,21.532846715328464,27.87966406128731,1,2018,Derbyshire Healthcare NHS Foundation Trust
NAS,4372254.0,52,12.682926829268293,12.753770187203795,2,2018,Norfolk and Suffolk NHS Foundation Trust
BCH,14103844.0,58,6.502242152466367,12.575134002356169,3,2018,Birmingham Community Healthcare NHS Foundation Trust
SEC,1057587.0,23,17.037037037037038,8.615959028069422,4,2018,South East Coast Ambulance Service NHS Foundation Trust
NOT,2550580.0,47,8.918406072106261,7.118171674366406,5,2018,Nottinghamshire Healthcare NHS Foundation Trust
GMM,4078166.0,79,11.285714285714285,6.989057617241724,6,2018,Greater Manchester Mental Health NHS Foundation Trust
RDS,899184.0,14,6.167400881057269,6.824578939818621,7,2018,Rotherham Doncaster and South Humber NHS Foundation Trust
CCS,1347503.0,40,13.333333333333334,6.306449323428306,8,2018,Cambridgeshire Community Services NHS Trust
NOR,1811814.0,38,8.597285067873303,4.78170477621792,9,2018,Northamptonshire Healthcare NHS Foundation Trust
HPU,2041810.0,39,9.48905109489051,4.612631028871025,10,2018,Hertfordshire Partnership University NHS Foundation Trust
DHC,5440438.0,58,16.909620991253643,14.09653170324215,1,2019,Derbyshire Healthcare NHS Foundation Trust
BCH,14496491.0,63,7.673568818514006,13.991545497336604,2,2019,Birmingham Community Healthcare NHS Foundation Trust
NAS,2798215.0,34,11.683848797250858,13.440652717865342,3,2019,Norfolk and Suffolk NHS Foundation Trust
NEA,1339659.0,16,9.467455621301776,12.420045307620384,4,2019,North East Ambulance Service NHS Foundation Trust
RDS,1555238.0,28,10.071942446043165,8.523362908438838,5,2019,Rotherham Doncaster and South Humber NHS Foundation Trust
LAY,2653086.0,27,11.688311688311687,8.18048304849494,6,2019,Leeds and York Partnership NHS Foundation Trust
NOT,4167811.0,72,8.823529411764707,7.176472555230566,7,2019,Nottinghamshire Healthcare NHS Foundation Trust
CLC,1994213.0,18,4.215456674473068,5.8261016123109615,8,2019,Central London Community Healthcare NHS Trust
MIP,3852203.0,57,6.934306569343065,5.784414895597038,9,2019,Midlands Partnership NHS Foundation Trust
BAS,2201993.0,32,9.30232558139535,5.203988366378489,10,2019,Birmingham and Solihull Mental Health NHS Foundation Trust
