Charity Name,Count (%),Value (%),Registration Number,Rank,Year
NUFFIELD HEALTH,10.894678331480497,16.642137002229262,205533,1,All Years
MARIE STOPES INTERNATIONAL,5.263666682778288,2.5833527866248427,265543,2,All Years
BPAS,3.842621683019962,2.3868503403422814,289145,3,All Years
MARIE CURIE,2.6584175165546906,3.236583398834355,207994,4,All Years
ALZHEIMER'S SOCIETY,2.4264101696553726,1.3285707465593872,296645,5,All Years
ST BARNABAS HOSPICE,2.271738605055827,2.902354614704889,1053814,6,All Years
ST ANDREW'S HEALTHCARE,2.1557349316061676,0.7101767373912918,1104951,7,All Years
METHODIST HOMES,1.7352216153511526,0.843793939448916,1083995,8,All Years
ALTERNATIVE FUTURES GROUP  LIMITED,1.6965537242012663,1.6428746186432923,1008587,9,All Years
RETHINK,1.633718401082701,1.0387723368719932,271028,10,All Years
NUFFIELD HEALTH,10.608203677510609,15.032711868032091,205533,1,2013
MARIE STOPES INTERNATIONAL,5.586987270155587,2.461849129509306,265543,2,2013
BPAS,3.9603960396039604,2.4162789551628165,289145,3,2013
ST ANDREW'S HEALTHCARE,3.889674681753889,0.9161575755597781,1104951,4,2013
ALZHEIMER'S SOCIETY,3.3239038189533243,1.5328872085727416,296645,5,2013
RETHINK,3.253182461103253,3.0035722465765198,271028,6,2013
THE HORDER CENTRE,3.182461103253183,5.434718090183289,1046624,7,2013
ST BARNABAS HOSPICE,2.9702970297029703,3.8120460576756603,1053814,8,2013
METHODIST HOMES,2.758132956152758,1.4433242421072539,1083995,9,2013
MARIE CURIE,2.6874115983026874,3.4787600647713286,207994,10,2013
NUFFIELD HEALTH,12.086614173228346,15.922421942343155,205533,1,2014
MARIE STOPES INTERNATIONAL,6.299212598425196,2.7668043819349517,265543,2,2014
THE HORDER CENTRE,3.7007874015748032,5.570442185601024,1046624,3,2014
BPAS,3.1102362204724407,1.9703126928518246,289145,4,2014
ALZHEIMER'S SOCIETY,2.9133858267716537,1.477930301400141,296645,5,2014
METHODIST HOMES,2.9133858267716537,1.5608699736616616,1083995,6,2014
ST BARNABAS HOSPICE,2.874015748031496,3.785897335756921,1053814,7,2014
ALTERNATIVE FUTURES GROUP  LIMITED,2.4803149606299213,2.144765341955943,1008587,8,2014
MARIE CURIE,2.440944881889764,2.2970164810314704,207994,9,2014
COMMUNITY INTEGRATED CARE,1.889763779527559,0.9668813352669423,519996,10,2014
NUFFIELD HEALTH,11.156601842374616,14.804577469066949,205533,1,2015
MARIE STOPES INTERNATIONAL,5.697714090754009,2.865710187682419,265543,2,2015
MARIE CURIE,3.10474240873422,2.669227552279704,207994,3,2015
METHODIST HOMES,2.9341521664960766,1.6172977959021138,1083995,4,2015
ALZHEIMER'S SOCIETY,2.9000341180484477,1.9008649281364889,296645,5,2015
BPAS,2.7976799727055615,1.9057058538019842,289145,6,2015
THE HORDER CENTRE,2.695325827362675,3.007311175784205,1046624,7,2015
ST BARNABAS HOSPICE,2.2517911975435005,3.137771861979593,1053814,8,2015
