NHS Abrev,trust name,Latitude,Longitude,Count,Value (m),Number of Datasets,Value (%),Count (%),Highest Value Charity Recipient,Number Payments to VCS,Number of Charity Suppliers
AAW,Avon and Wiltshire Mental Health Partnership NHS Trust,51.388604,-2.392313,870.0,71.0,31.0,3.4013537481113487,3.103448275862069,BRISTOL DRUGS PROJECT LIMITED,27.0,8.0
AIR,Airedale NHS Foundation Trust,53.898015,-1.962695,1163.0,132.0,47.0,0.0,0.0,0,0.0,0.0
ALD,Alder Hey Children's NHS Foundation Trust,53.420242,-2.898723,1283.0,543.0,23.0,0.06025808519845849,0.5455962587685114,CARDIFF UNIVERSITY,7.0,4.0
BAS,Birmingham and Solihull Mental Health NHS Foundation Trust,52.484114,-1.917317,2678.0,321.0,64.0,3.3263018307160026,5.78790141896938,THE WELCOME CENTRE,155.0,20.0
BAT,Basildon and Thurrock University Hospitals NHS Foundation Trust,51.557679,0.450587,1775.0,152.0,33.0,0.5929260522191532,0.7887323943661971,NUFFIELD HEALTH,14.0,3.0
BAW,University Hospitals Bristol and Weston NHS Foundation Trust,51.459478,-2.593019,7188.0,613.0,84.0,1.5642048050513697,3.060656649972176,THE ANTHONY NOLAN BONE MARROW TRUST,220.0,10.0
BCH,Birmingham Community Healthcare NHS Foundation Trust,52.487324,-1.885825,4476.0,462.0,75.0,6.88846138819018,3.2394995531724757,BARNARDOS,145.0,8.0
BCP,Black Country Partnership NHS Foundation Trust,52.519166,-2.017332,1680.0,149.0,107.0,0.1010593428365398,0.2380952380952381,CHANGING OUR LIVES LIMITED,4.0,2.0
BED,Bedford Hospital NHS Trust,52.128265,-0.472495,1249.0,130.0,25.0,0.0,0.0,0,0.0,0.0
BEH,"Barnet, Enfield and Haringey Mental Health NHS Trust",51.580625,-0.092097,213.0,31.0,5.0,1.222294532780109,3.286384976525822,HUMANKIND CHARITY,7.0,3.0
BER,Berkshire Healthcare NHS Foundation Trust,51.416854,-0.754693,126.0,12.0,3.0,9.549713734585904,4.761904761904762,NEWBURY AND THATCHAM HOSPITAL BUILDING TRUST,6.0,2.0
BHR,"Barking, Havering and Redbridge University Hospitals NHS Trust",51.568647,0.179031,2194.0,466.0,25.0,0.047166149044606545,0.4557885141294439,FACULTY OF MEDICAL LEADERSHIP AND MANAGEMENT,10.0,4.0
BOL,Bolton NHS Foundation Trust,53.553957,-2.429894,1984.0,228.0,38.0,0.5053588273478447,0.655241935483871,NATIONAL BLOOD AUTHORITY,13.0,4.0
BRA,Bradford Teaching Hospitals NHS Foundation Trust,53.80598,-1.794697,1741.0,247.0,18.0,0.08470700788327644,0.402067777139575,ECCLESHILL ADVENTURE PLAYGROUND,7.0,5.0
BRD,Bradford District NHS Foundation Trust,53.838871,-1.788384,1663.0,183.0,58.0,1.8314369039887548,4.990980156343957,THE CELLAR TRUST,83.0,9.0
BRI,Bridgewater Community Healthcare NHS Foundation Trust,53.415956,-2.626724,2429.0,203.0,102.0,0.07096277780668217,0.2881844380403458,HOMESTART TAMESIDE,7.0,3.0
BSH,Brighton and Sussex University Hospitals NHS Trust,50.819468,-0.118177,6355.0,876.0,44.0,0.1536238404801926,1.007081038552321,SUSSEX INTERPRETING SERVICES,64.0,3.0
BTH,Blackpool Teaching Hospitals NHS Foundation Trust,53.820616,-3.015863,3005.0,377.0,68.0,0.4658817106227415,0.9650582362728786,EAST LANCASHIRE HOSPITALS NHS TRUST CHARITABLE FUND,29.0,5.0
BTS,Barts Health NHS Trust,51.517167,-0.05605,6530.0,1412.0,35.0,0.2227508145098397,0.9188361408882083,LONDONS AIR AMBULANCE LIMITED,60.0,13.0
BUC,Buckinghamshire Healthcare NHS Trust,51.797983,-0.801989,5954.0,1193.0,89.0,0.29801634322277626,1.494793416190796,SPECTRUM,89.0,8.0
BWC,Birmingham Women's and Children's NHS Foundation Trust,52.484895,-1.893754,1349.0,164.0,1.0,0.9019450957825658,2.2238695329873983,ST JOHN AMBULANCE,30.0,4.0
CAH,Calderdale and Huddersfield NHS Foundation Trust,53.704821,-1.857509,4639.0,581.0,55.0,0.06588667604095738,0.3233455486096141,BEVAN BRITTAN LIMITED LIABILITY PARTNERSHIP,15.0,6.0
CAI,Camden and Islington NHS Foundation Trust,51.53665,-0.131658,479.0,40.0,17.0,4.273630570031838,7.306889352818372,WESTMINSTER DRUG PROJECT,35.0,3.0
CAW,Coventry and Warwickshire Partnership NHS Trust,52.457137,-1.486518,2662.0,241.0,104.0,1.7375526220290716,3.5687453042824946,METHODIST HOMES,95.0,10.0
CCS,Cambridgeshire Community Services NHS Trust,52.322863,-0.067127,807.0,59.0,18.0,5.717071243173575,11.895910780669144,TERENCE HIGGINS TRUST,96.0,6.0
CHE,Chelsea and Westminster Hospital NHS Foundation Trust,51.484308,-0.181644,2662.0,241.0,104.0,1.7375526220290716,3.5687453042824946,METHODIST HOMES,95.0,10.0
