NHS Abrev,Charity Value,Charity Count,Count (%),Value (%),Rank,Year,NHS CCG
NAG,2735907.0,21,14.482758620689657,2.4453162098416117,1,All Years,NHS Newcastle Gateshead CCG
KERN,22214789.0,396,9.994952044422009,1.7543673841015752,2,All Years,NHS Kernow CCG
LAMB,6928669.0,120,9.70873786407767,1.6285945599969085,3,All Years,NHS Lambeth CCG
NEL,54032233.0,342,8.69123252858958,3.938828630978666,4,All Years,NHS North East Lincolnshire CCG
TAW,6012716.0,92,8.63849765258216,1.3047707231399555,5,All Years,NHS Telford And Wrekin CCG
CAMD,1928974.0,23,8.333333333333332,3.9778385420796343,6,All Years,NHS Camden CCG
SWARK,927427.0,13,7.83132530120482,0.7585074078556261,7,All Years,NHS Southwark CCG
HAMS,31714142.0,491,7.8048005086631695,1.2819172900683768,8,All Years,NHS Horsham And Mid Sussex CCG
THAN,7518336.0,183,7.744392721117224,1.109994545413443,9,All Years,NHS Thanet CCG
BAB,28049828.0,287,7.647215560884625,2.025413929162151,10,All Years,NHS Basildon And Brentwood CCG
BRAD,3072724.0,43,14.527027027027026,1.3700409348643654,1,2013,NHS Bradford Districts CCG
CAR,2724040.0,47,13.78299120234604,1.3859537723637325,2,2013,NHS Coventry And Rugby CCG
HAMS,3408014.0,54,13.106796116504855,1.8090151560238374,3,2013,NHS Horsham And Mid Sussex CCG
NEL,4504206.0,31,12.757201646090536,3.423280656312603,4,2013,NHS North East Lincolnshire CCG
LEE,16557363.0,110,12.702078521939955,3.314072741935577,5,2013,NHS Leeds CCG
NEHF,1898914.0,37,10.164835164835164,1.3181827865589997,6,2013,NHS North East Hampshire And Farnham CCG
NOCI,2471543.0,34,9.855072463768117,1.0604216090024234,7,2013,NHS Nottingham City CCG
LIVE,4258431.0,51,9.770114942528735,1.0848333974219522,8,2013,NHS Liverpool CCG
STOK,3950802.0,25,9.505703422053232,3.547054671228384,9,2013,NHS Stoke On Trent CCG
TAW,1423494.0,19,9.268292682926829,1.3283996725488003,10,2013,NHS Telford And Wrekin CCG
BAB,4759128.0,77,11.34020618556701,1.8495837390370418,1,2014,NHS Basildon And Brentwood CCG
CAR,5318628.0,82,11.32596685082873,1.044974516664451,2,2014,NHS Coventry And Rugby CCG
SAWB,5144477.0,119,11.194731890874882,0.983142419484657,3,2014,NHS Sandwell And West Birmingham CCG
SOME,7038736.0,63,11.170212765957446,1.364343326648524,4,2014,NHS Somerset CCG
HAMS,5220303.0,81,10.990502035278155,1.4780408411303814,5,2014,NHS Horsham And Mid Sussex CCG
LEE,23786515.0,180,10.73345259391771,2.7935555921082003,6,2014,NHS Leeds CCG
BRAD,3296124.0,45,10.273972602739725,1.3165054532049905,7,2014,NHS Bradford Districts CCG
THAN,794439.0,14,10.071942446043165,1.6375517025280235,8,2014,NHS Thanet CCG
VOR,2384393.0,38,9.644670050761421,2.574822800345285,9,2014,NHS Vale Royal CCG
NEL,7196273.0,40,9.54653937947494,4.006900650133943,10,2014,NHS North East Lincolnshire CCG
BROM,3073374.0,34,12.686567164179104,2.406312977215365,1,2015,NHS Bromley CCG
THAN,1963387.0,53,12.412177985948478,1.3535003416104716,2,2015,NHS Thanet CCG
LEE,23978192.0,224,12.114656571119523,3.3391063938256376,3,2015,NHS Leeds CCG
SAWB,4911121.0,119,11.829025844930417,0.8976294318723805,4,2015,NHS Sandwell And West Birmingham CCG
STOK,1569180.0,23,11.330049261083744,2.3221738523561632,5,2015,NHS Stoke On Trent CCG
WARR,4607794.0,47,11.163895486935866,2.7074206372704652,6,2015,NHS Warrington CCG
DORS,11795564.0,201,10.697179350718468,1.3720252409540028,7,2015,NHS Dorset CCG
ASH,3056664.0,62,10.562180579216355,2.753682062756745,8,2015,NHS Ashford CCG
TAW,2131461.0,43,10.38647342995169,1.341174020598167,9,2015,NHS Telford And Wrekin CCG
BEX,4719754.0,70,9.887005649717514,1.8927081930228438,10,2015,NHS Bexley CCG
NAG,2735907.0,21,14.482758620689657,2.4453162098416117,1,2016,NHS Newcastle Gateshead CCG
WARR,2575295.0,31,11.231884057971014,3.013361704442971,2,2016,NHS Warrington CCG
NEL,7214476.0,48,10.0,3.8359435320223287,3,2016,NHS North East Lincolnshire CCG
STOK,6180952.0,53,8.48,2.666655691056311,4,2016,NHS Stoke On Trent CCG
ASH,3485274.0,60,8.04289544235925,2.438596046129824,5,2016,NHS Ashford CCG
HAMS,4063431.0,60,7.462686567164178,1.1982622999577925,6,2016,NHS Horsham And Mid Sussex CCG
BEX,993442.0,16,7.4074074074074066,1.207223719380449,7,2016,NHS Bexley CCG
BAB,4427180.0,47,7.3899371069182385,2.04745732649462,8,2016,NHS Basildon And Brentwood CCG
SCHE,395366.0,12,6.282722513089005,0.9040654453324819,9,2016,NHS South Cheshire CCG
NOST,4188967.0,47,6.241699867197875,2.208576415295018,10,2016,NHS North Staffordshire CCG
THAN,424568.0,13,11.711711711711711,1.5141349588223036,1,2017,NHS Thanet CCG
NEL,8387776.0,57,10.795454545454545,4.373030962595093,2,2017,NHS North East Lincolnshire CCG
LAMB,215764.0,12,9.523809523809524,0.6461102643265467,3,2017,NHS Lambeth CCG
WARR,3801708.0,49,8.277027027027026,1.9097317125200404,4,2017,NHS Warrington CCG
HAMS,5048390.0,80,7.8354554358472095,1.3720249371706374,5,2017,NHS Horsham And Mid Sussex CCG
THUR,2427129.0,38,7.35009671179884,1.5970121786334324,6,2017,NHS Thurrock CCG
CAMD,837990.0,15,7.109004739336493,5.292985062550502,7,2017,NHS Camden CCG
BAB,1156354.0,12,6.521739130434782,2.418059415070241,8,2017,NHS Basildon And Brentwood CCG
NK,3262611.0,58,6.502242152466367,1.4968905513894704,9,2017,NHS North Kirklees CCG
SOME,6957113.0,97,6.449468085106383,1.1337513779573278,10,2017,NHS Somerset CCG
KERN,8728776.0,158,9.943360604153556,1.7522542936526146,1,2018,NHS Kernow CCG
LAMB,676441.0,12,9.917355371900827,1.3330528652898705,2,2018,NHS Lambeth CCG
HAST,781134.0,10,9.803921568627452,2.155910207419287,3,2018,NHS Hartlepool And Stockton-On-Tees CCG
LIVE,7992977.0,83,8.934337997847146,1.249677649702327,4,2018,NHS Liverpool CCG
SOTE,1296963.0,18,7.5,1.4045970926090061,5,2018,NHS South Tees CCG
BAB,2125436.0,16,7.4074074074074066,2.671351528397177,6,2018,NHS Basildon And Brentwood CCG
NEL,8056787.0,56,7.291666666666667,3.7991563565673374,7,2018,NHS North East Lincolnshire CCG
NOCI,3082134.0,62,6.997742663656885,0.8075560145050459,8,2018,NHS Nottingham City CCG
SOME,7010811.0,111,6.860321384425216,1.097474124405012,9,2018,NHS Somerset CCG
THAN,1639971.0,41,6.833333333333333,1.1351133300231275,10,2018,NHS Thanet CCG
KERN,12080058.0,211,9.768518518518517,1.6997589860268156,1,2019,NHS Kernow CCG
LAMB,6036464.0,96,9.706774519716886,1.7686654636446821,2,2019,NHS Lambeth CCG
HAST,7101783.0,61,7.068366164542295,2.224877042025377,3,2019,NHS Hartlepool And Stockton-On-Tees CCG
HERE,6059314.0,69,7.019328585961343,2.351564613488457,4,2019,NHS Herefordshire CCG
