Department Family,Entity,Date,Expsene Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,CCG,30/06/2020,ME ? PMS GP Prior Year ERs,PRC DELEGATED CO?COMMISSIONING,MANOR BROOK MEDICAL PRACTICE,32690198,0.04
Department of Health,CCG,30/06/2020,C&M?GMS Prof Fees Prescribing,PRC DELEGATED CO?COMMISSIONING,FAMILY SURGERY ORPINGTON,32768075,2.3
Department of Health,CCG,30/06/2020,C&M?GMS Prof Fees Prescribing,PRC DELEGATED CO?COMMISSIONING,SURGERY BIGGIN HILL,32768116,4.61
Department of Health,CCG,30/06/2020,C&M?GMS Prof Fees Prescribing,PRC DELEGATED CO?COMMISSIONING,CRESCENT SURGERY ORPINGTON,32768057,9.21
Department of Health,CCG,30/06/2020,C&M?GMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,FAMILY SURGERY ORPINGTON,32768075,12.09
Department of Health,CCG,30/06/2020,C&M?PMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,CHISLEHURST MEDICAL PRACTICE,32768047,15.1
Department of Health,CCG,30/06/2020,C&M?GMS Prof Fees Prescribing,PRC DELEGATED CO?COMMISSIONING,ST MARY CRAY PRACTICE,32768125,16.12
Department of Health,CCG,30/06/2020,C&M?PMS Prof fees Prescribing,PRC DELEGATED CO?COMMISSIONING,PARK GROUP PRACTICE,32768144,16.12
Department of Health,CCG,30/06/2020,C&M?PMS Prof fees Prescribing,PRC DELEGATED CO?COMMISSIONING,DR MOSTAFA M A,32690181,16.55
Department of Health,CCG,30/06/2020,Post Graduate Loan Payable,BALANCE SHEET,HMRC,32768865,19
Department of Health,CCG,30/06/2020,C&M?GMS Cost of Drugs ?Prescribing,LOCAL ENHANCED SERVICES,FAMILY SURGERY ORPINGTON,32768075,19.49
Department of Health,CCG,30/06/2020,C&M?GMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,GILLMANS ROAD SURGERY,32768077,21.84
Department of Health,CCG,30/06/2020,C&M?GMS Cost of Drugs ?Prescribing,LOCAL ENHANCED SERVICES,SURGERY BIGGIN HILL,32768116,25.93
Department of Health,CCG,30/06/2020,C&M?GMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,PLUMBRIDGE MEDICAL CENTRE,32820084,26.04
Department of Health,CCG,30/06/2020,C&M?GMS Cost of Drugs ?Prescribing,LOCAL ENHANCED SERVICES,CRESCENT SURGERY ORPINGTON,32768057,27.94
Department of Health,CCG,30/06/2020,ME?PMS GP Pension EEs Adjs ? PMS,PRC DELEGATED CO?COMMISSIONING,WOODLAND SURGERY LONDON,32690215,28.12
Department of Health,CCG,30/06/2020,ME?PMS GP Prior Year EEs,PRC DELEGATED CO?COMMISSIONING,NOVUM HEALTH PARTNERSHIP,32666224,29
Department of Health,CCG,30/06/2020,C&M?GMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,SURGERY BECKENHAM,32768114,29.22
Department of Health,CCG,30/06/2020,ME?PMS GP Pension ERs Adjs ? PMS,PRC DELEGATED CO?COMMISSIONING,WOODLAND SURGERY LONDON,32690215,29.96
Department of Health,CCG,30/06/2020,C&M?PMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,OAKVIEW FAMILY PRACTICE,32666214,30.72
Department of Health,CCG,30/06/2020,ME ? PMS GP Prior Year ERs,PRC DELEGATED CO?COMMISSIONING,NOVUM HEALTH PARTNERSHIP,32666224,33.35
Department of Health,CCG,30/06/2020,C&M?GMS Prof Fees Prescribing,PRC DELEGATED CO?COMMISSIONING,WHITEHOUSE SURGERY,32768129,34.55
Department of Health,CCG,30/06/2020,ME?PMS GP Pension EEs Adjs ? PMS,PRC DELEGATED CO?COMMISSIONING,ELM HOUSE SURGERY,32768068,35.89
Department of Health,CCG,30/06/2020,C&M?GMS Prof Fees Prescribing,PRC DELEGATED CO?COMMISSIONING,EDEN PARK SURGERY,32768065,36.84
Department of Health,CCG,30/06/2020,C&M?GMS Prof Fees Prescribing,PRC DELEGATED CO?COMMISSIONING,FORGE CLOSE SURGERY,32768083,36.85
Department of Health,CCG,30/06/2020,C&M?PMS Prof fees Prescribing,PRC DELEGATED CO?COMMISSIONING,GREEN ST GREEN MEDICAL CENTRE,32768086,36.85
Department of Health,CCG,30/06/2020,C&M?GMS Prof Fees Prescribing,PRC DELEGATED CO?COMMISSIONING,SOUTH VIEW LODGE DR WILLATT HEATHCOTE,32768105,36.85
Department of Health,CCG,30/06/2020,ME?PMS GP Pension ERs Adjs ? PMS,PRC DELEGATED CO?COMMISSIONING,ELM HOUSE SURGERY,32768068,38.23
Department of Health,CCG,30/06/2020,C&M?PMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,ROYAL ARSENAL PMS,32690201,42.66
Department of Health,CCG,30/06/2020,C&M?PMS Prem Other,PRC DELEGATED CO?COMMISSIONING,DR MASTERTON & PARTNERS,32674505,43.47
Department of Health,CCG,30/06/2020,C&M?PMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,NUNHEAD SURGERY,32690086,44.27
Department of Health,CCG,30/06/2020,C&M?PMS Prof fees Prescribing,PRC DELEGATED CO?COMMISSIONING,CATOR MEDICAL CENTRE,32768054,46.06
Department of Health,CCG,30/06/2020,C&M?PMS Prof fees Prescribing,PRC DELEGATED CO?COMMISSIONING,LONDON LANE CLINIC,32768098,48.36
Department of Health,CCG,30/06/2020,C&M?PMS Prof fees Prescribing,PRC DELEGATED CO?COMMISSIONING,PICKHURST SURGERY,32753676,50.67
Department of Health,CCG,30/06/2020,C&M?GMS Prof Fees Prescribing,PRC DELEGATED CO?COMMISSIONING,DERRY DOWNS SURGERY,32768062,50.67
Department of Health,CCG,30/06/2020,ME?PMS GP Prior Year EEs,PRC DELEGATED CO?COMMISSIONING,DR COUTINHO M J,32690176,51
Department of Health,CCG,30/06/2020,C&M?GMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,EDEN PARK SURGERY,32768065,53.71
Department of Health,CCG,30/06/2020,C&M?PMS Prof fees Prescribing,PRC DELEGATED CO?COMMISSIONING,ELM HOUSE SURGERY,32768068,55.27
Department of Health,CCG,30/06/2020,ME?PMS GP Pension EEs Adjs ? PMS,PRC DELEGATED CO?COMMISSIONING,AKERMAN MEDICAL PRACTICE,32690005,56.25
Department of Health,CCG,30/06/2020,C&M?PMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,CLAPHAM FAMILY PRACTICE,32666198,56.94
Department of Health,CCG,30/06/2020,C&M?GMS Cost of Drugs ?Prescribing,LOCAL ENHANCED SERVICES,SOUTH VIEW LODGE DR WILLATT HEATHCOTE,32768105,58.47
Department of Health,CCG,30/06/2020,C&M?PMS Prof fees Prescribing,PRC DELEGATED CO?COMMISSIONING,ADDINGTON ROAD SURGERY,32768030,59.88
Department of Health,CCG,30/06/2020,C&M?PMS Prof fees Prescribing,PRC DELEGATED CO?COMMISSIONING,CHISLEHURST MEDICAL PRACTICE,32768047,59.89
Department of Health,CCG,30/06/2020,C&M?GMS Prof Fees Prescribing,PRC DELEGATED CO?COMMISSIONING,BROMLEY COMMON PRACTICE,32768139,64.48
Department of Health,CCG,30/06/2020,ME?PMS GP Pension ERs Adjs ? PMS,PRC DELEGATED CO?COMMISSIONING,AKERMAN MEDICAL PRACTICE,32690005,64.71
Department of Health,CCG,30/06/2020,C&M?GMS Prof Fees Prescribing,PRC DELEGATED CO?COMMISSIONING,DYSART SURGERY,32753670,66.8
Department of Health,CCG,30/06/2020,C&M?GMS Prof Fees Prescribing,PRC DELEGATED CO?COMMISSIONING,SUNDRIDGE MEDICAL CENTRE,32753684,69.09
Department of Health,CCG,30/06/2020,C&M?GMS Prof Fees Prescribing,PRC DELEGATED CO?COMMISSIONING,BROOMWOOD ROAD SURGERY,32768039,71.4
Department of Health,CCG,30/06/2020,C&M?GMS Prem Actual Rent,PRC DELEGATED CO?COMMISSIONING,PENROSE GROUP KINGFISHER MEDICAL CENTRE,32807153,73.75
Department of Health,CCG,30/06/2020,C&M?GMS Prof Fees Prescribing,PRC DELEGATED CO?COMMISSIONING,STATION ROAD SURGERY WEST WICKHAM,32768111,75.99
Department of Health,CCG,30/06/2020,C&M?PMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,WESTWOOD SURGERY,32690211,76.03
Department of Health,CCG,30/06/2020,C&M?PMS Cost of Drugs ?Prescribing,LOCAL ENHANCED SERVICES,PARK GROUP PRACTICE,32768144,76.67
Department of Health,CCG,30/06/2020,C&M?PMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,ALBION SURGERY,32668619,76.94
Department of Health,CCG,30/06/2020,ME?PMS GP Prior Year EEs,PRC DELEGATED CO?COMMISSIONING,LEES ROAD SURGERY,32690071,76.94
Department of Health,CCG,30/06/2020,C&M?GMS Cost of Drugs ?Prescribing,LOCAL ENHANCED SERVICES,DERRY DOWNS SURGERY,32768062,77.47
Department of Health,CCG,30/06/2020,C&M?GMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,WHITEHOUSE SURGERY,32768129,78.04
Department of Health,CCG,30/06/2020,ME ? PMS GP Prior Year ERs,PRC DELEGATED CO?COMMISSIONING,LEES ROAD SURGERY,32690071,81.95
Department of Health,CCG,30/06/2020,C&M?PMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,HETHERINGTON GROUP PRACTICE,32666208,83.14
Department of Health,CCG,30/06/2020,C&M?PMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,LYNDHURST MEDICAL CENTRE,32690197,91.23
Department of Health,CCG,30/06/2020,C&M?PMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,TUDOR WAY SURGERY,32768128,92.09
Department of Health,CCG,30/06/2020,C&M?PMS Prof fees Prescribing,PRC DELEGATED CO?COMMISSIONING,TUDOR WAY SURGERY,32768128,92.12
Department of Health,CCG,30/06/2020,C&M?PMS Prem Notional Rent,PRC DELEGATED CO?COMMISSIONING,GRANTHAM CENTRE,32666206,92.58
Department of Health,CCG,30/06/2020,C&M?PMS Prem Notional Rent,PRC DELEGATED CO?COMMISSIONING,BECKETT HOUSE PRACTICE,32689996,92.58
Department of Health,CCG,30/06/2020,C&M?PMS Prof fees Prescribing,PRC DELEGATED CO?COMMISSIONING,BALLATER,32768026,96.73
Department of Health,CCG,30/06/2020,C&M?GMS Prem Other,PRC DELEGATED CO?COMMISSIONING,GRAFTON SQUARE SURGERY,32820065,98.13
Department of Health,CCG,30/06/2020,ME?GMS GP Pension EEs Adjustments,PRC DELEGATED CO?COMMISSIONING,SURGERY BECKENHAM,32768114,104.18
Department of Health,CCG,30/06/2020,ME?PMS GP Pension ERs Adjs ? PMS,PRC DELEGATED CO?COMMISSIONING,BROCKWELL PARK,32690015,110.1
Department of Health,CCG,30/06/2020,ME?PMS GP Pension ERs Adjs ? PMS,PRC DELEGATED CO?COMMISSIONING,DR MCINTYRE & PARTNERS,32690180,113.22
Department of Health,CCG,30/06/2020,ME?PMS GP Prior Year EEs,PRC DELEGATED CO?COMMISSIONING,WATERLOO HEALTH CENTRE,32690136,114.79
Department of Health,CCG,30/06/2020,C&M?PMS Prem Other,PRC DELEGATED CO?COMMISSIONING,WATERLOO HEALTH CENTRE,32690136,116.78
Department of Health,CCG,30/06/2020,C&M?PMS Cost of Drugs ?Prescribing,LOCAL ENHANCED SERVICES,DR MOSTAFA M A,32690181,117.95
Department of Health,CCG,30/06/2020,ME?GMS GP Pension ERs Adjustments,PRC DELEGATED CO?COMMISSIONING,SURGERY BECKENHAM,32768114,119.82
Department of Health,CCG,30/06/2020,C&M?PMS Prem Clinical Waste,PRC DELEGATED CO?COMMISSIONING,THAMESMEAD MEDICAL ASSOCIATES,32690207,125.92
Department of Health,CCG,30/06/2020,ME ? PMS GP Prior Year ERs,PRC DELEGATED CO?COMMISSIONING,DR COUTINHO M J,32690176,126
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,ALBION STREET HEALTH CENTRE,32690007,140
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,CLIFTON RISE PRACTICE,32690027,140
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,DR CURRAN & PTNRS,32690037,140
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,DR VIRJI & BEGLEY,32690043,140
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,VASSALL MEDICAL CENTRE,32690129,140
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,WATERLOO HEALTH CENTRE,32690136,140
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,ALL SAINTS MEDICAL CENTRE,32690163,140
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,BURSTED WOOD SURGERY,32690173,140
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,DR GERA & PARTNER,32690177,140
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,DR RATNESWAREN N,32690183,140
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,DR SK PATEL & PARTNERS,32690188,140
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,STATION ROAD SURGERY SIDCUP,32690203,140
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,MALLING HEALTH (UK) LTD CLOVER,32690223,140
Department of Health,CCG,30/06/2020,C&M?GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,WICKHAM PARK SURGERY,32753689,140
Department of Health,CCG,30/06/2020,C&M?GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,ANERLEY SURGERY,32768023,140
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,CATOR MEDICAL CENTRE,32768054,140
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,ELM HOUSE SURGERY,32768068,140
Department of Health,CCG,30/06/2020,C&M?GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,FAMILY SURGERY ORPINGTON,32768075,140
Department of Health,CCG,30/06/2020,C&M?PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,GREEN ST GREEN MEDICAL CENTRE,32768086,140
Department of Health,CCG,30/06/2020,C&M?GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO?COMMISSIONING,STATION ROAD SURGERY WEST WICKHAM,32768111,140
Department of Health,CCG,30/06/2020,C&M?PMS Cost of Drugs ?Prescribing,LOCAL ENHANCED SERVICES,LONDON LANE CLINIC,32768098,140.01
Department of Health,CCG,30/06/2020,C&M?PMS Prof fees Prescribing,PRC DELEGATED CO?COMMISSIONING,CHELSFIELD SURGERY,32768044,140.48
Department of Health,CCG,30/06/2020,ME?PMS GP Prior Year EEs,PRC DELEGATED CO?COMMISSIONING,MODALITY PARTNERSHIP,32690153,140.62
Department of Health,CCG,30/06/2020,C&M?PMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,HILLY FIELDS MEDICAL CENTRE,32690064,142.78
Department of Health,CCG,30/06/2020,C&M?PMS Prem Other,PRC DELEGATED CO?COMMISSIONING,CLAPHAM FAMILY PRACTICE,32666198,149.07
Department of Health,CCG,30/06/2020,C&M?PMS Baseline Adjustment,PRC DELEGATED CO?COMMISSIONING,SOUTHBROUGH LANE SURGERY,32768110,155
Department of Health,CCG,30/06/2020,C&M?PMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,ST JOHNS MEDICAL CENTRE,32666220,155.48
Department of Health,CCG,30/06/2020,ME ? PMS GP Prior Year ERs,PRC DELEGATED CO?COMMISSIONING,MODALITY PARTNERSHIP,32690153,161.77
Department of Health,CCG,30/06/2020,Apprenticeship Levy Payable,BALANCE SHEET,HMRC,32768865,172
Department of Health,CCG,30/06/2020,C&M?PMS Prof fees Prescribing,PRC DELEGATED CO?COMMISSIONING,SUMMERCROFT SURGERY,32768119,172.73
Department of Health,CCG,30/06/2020,C&M?APMS PCN DES Participation,PRC DELEGATED CO?COMMISSIONING,QUAY HEALTH SOLUTIONS CIC,32690159,173.85
Department of Health,CCG,30/06/2020,ME?PMS GP Pension EEs Adjs ? PMS,PRC DELEGATED CO?COMMISSIONING,ST JAMES PRACTICE,32768123,176.25
Department of Health,CCG,30/06/2020,ME?PMS GP Pension EEs Adjs ? PMS,PRC DELEGATED CO?COMMISSIONING,MANOR BROOK MEDICAL PRACTICE,32690198,183.36
Department of Health,CCG,30/06/2020,C&M?GMS Cost of Drugs ?Prescribing,LOCAL ENHANCED SERVICES,BROOMWOOD ROAD SURGERY,32768039,190.27
Department of Health,CCG,30/06/2020,C&M?PMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,CHELSFIELD SURGERY,32768044,190.86
Department of Health,CCG,30/06/2020,C&M?PMS Prof fees Prescribing,PRC DELEGATED CO?COMMISSIONING,KNOLL MEDICAL PRACTICE,32753673,193.45
Department of Health,CCG,30/06/2020,Post Graduate Loan Payable,BALANCE SHEET,HMRC,32768855,196
Department of Health,CCG,30/06/2020,ME?PMS GP Prior Year AVCs,PRC DELEGATED CO?COMMISSIONING,HERNE HILL GROUP PRACTICE,32690060,204.8
Department of Health,CCG,30/06/2020,Cont Care? Prior Year Payments,CLINICAL ASSESSMENT AND TREATMENT CENTRES,METRO HOMECARE LTD,32797561,210.6
Department of Health,CCG,30/06/2020,ME?PMS GP Prior Year EEs,PRC DELEGATED CO?COMMISSIONING,THAMESMEAD MEDICAL ASSOCIATES,32690207,210.68
Department of Health,CCG,30/06/2020,ME?PMS GP Pension EEs Adjs ? PMS,PRC DELEGATED CO?COMMISSIONING,BROCKWELL PARK,32690015,215.7
Department of Health,CCG,30/06/2020,C&M?PMS Prem Clinical Waste,PRC DELEGATED CO?COMMISSIONING,VANBRUGH GROUP PRACTICE,32690220,221.15
Department of Health,CCG,30/06/2020,C&M?PMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,LONDON LANE CLINIC,32768098,224.2
Department of Health,CCG,30/06/2020,C&M?PMS Prem Other,PRC DELEGATED CO?COMMISSIONING,STREATHAM HILL GROUP PRACTICE,32690116,231.43
Department of Health,CCG,30/06/2020,C&M?PMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,THAMESMEAD MEDICAL ASSOCIATES,32690207,237.18
Department of Health,CCG,30/06/2020,ME?PMS GP Pension AVCs,PRC DELEGATED CO?COMMISSIONING,LYNDHURST MEDICAL CENTRE,32690197,238.64
Department of Health,CCG,30/06/2020,C&M?PMS Prof fees Prescribing,PRC DELEGATED CO?COMMISSIONING,POVEREST MEDICAL CENTRE,32768103,248.74
Department of Health,CCG,30/06/2020,ME?PMS GP Prior Year AVCs,PRC DELEGATED CO?COMMISSIONING,SANDMERE PRACTICE,32690102,250.47
Department of Health,CCG,30/06/2020,C&M?PMS DES Minor Surgery,PRC DELEGATED CO?COMMISSIONING,BEXLEY GROUP PRACTICE,32690170,264.12
Department of Health,CCG,30/06/2020,ME?PMS GP Pension EEs Adjs ? PMS,PRC DELEGATED CO?COMMISSIONING,DR MCINTYRE & PARTNERS,32690180,266.44
Department of Health,CCG,30/06/2020,C&M?PMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,DR BHADRA & DR PADIYAR PARTNERS TA RIVERSIDE SURGERY,32690222,268.31
Department of Health,CCG,30/06/2020,ME?PMS GP Pension EEs Adjs ? PMS,PRC DELEGATED CO?COMMISSIONING,AMERSHAM VALE TRAINING PRACTICE,32690001,271.25
Department of Health,CCG,30/06/2020,C&M?PMS Prem Water Rates,PRC DELEGATED CO?COMMISSIONING,MODALITY PARTNERSHIP,32690153,279
