Department,CCG,Date,Expense Area,Expense Type,Supplier,Transaction Number,Amount
Department of Health,NHS Waltham Forest CCG,30/11/2020,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,,34459628,"-69,054.30"
Department of Health,NHS Waltham Forest CCG,30/11/2020,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,,34472465,"-37,200.00"
Department of Health,NHS Waltham Forest CCG,30/11/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,,34515969,17.67
Department of Health,NHS Waltham Forest CCG,30/11/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,MIRCOFACULTY,34515983,23.55
Department of Health,NHS Waltham Forest CCG,30/11/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,LL MEDICAL CARE LTD,34515974,27.63
Department of Health,NHS Waltham Forest CCG,30/11/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,,34515954,29.36
Department of Health,NHS Waltham Forest CCG,30/11/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,DR SHAH & PARTNERS,34515952,32.81
Department of Health,NHS Waltham Forest CCG,30/11/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,,34515979,36.14
Department of Health,NHS Waltham Forest CCG,30/11/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,ECCLESBOURNE PRACTICE,34515957,45.79
Department of Health,NHS Waltham Forest CCG,30/11/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,COMELY BANK CLINIC,34515950,63.43
Department of Health,NHS Waltham Forest CCG,30/11/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,,34515966,64.64
Department of Health,NHS Waltham Forest CCG,30/11/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,,34515990,70.14
