Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction,Amount
Department of Health,NHS Waltham Forest CCG,31/05/2020,"Hcare Srv Rec NHS Trust-Contract 
Baseline",ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,32243144,-1285046
Department of Health,NHS Waltham Forest CCG,31/05/2020,Charges from CSU,,NHS NEL CSU,32322145,-609819.61
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-APMS Contract Value,"PRC DELEGATED CO-
COMMISSIONING",HURLEY GROUP,32287140,-101776.29
Department of Health,NHS Waltham Forest CCG,31/05/2020,"Hcare Srv Rec NHS Trust-Contract 
Baseline",ACUTE COMMISSIONING,WHITTINGTON HOSPITAL NHS TRUST (THE),32220386,-82297.13
Department of Health,NHS Waltham Forest CCG,31/05/2020,Clinical&Medical-Clinical Other,COMMUNITY SERVICES,COMMUNITY SPECIALIST CLINICS LTD,32429334,-58475
Department of Health,NHS Waltham Forest CCG,31/05/2020,Clinical&Medical-Clinical Other,COMMUNITY SERVICES,COMMUNITY SPECIALIST CLINICS LTD,32429329,-58475
Department of Health,NHS Waltham Forest CCG,31/05/2020,Computer Network Costs,,NHS NEL CSU,32172101,-51728.67
Department of Health,NHS Waltham Forest CCG,31/05/2020,"Hcare Srv Rec Fdtn Trust-Over/ Under 
Performance",ACUTE COMMISSIONING,"MOORFIELDS EYE HOSPITAL NHS FOUNDATION 
TRUST",32429227,-46785
Department of Health,NHS Waltham Forest CCG,31/05/2020,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,COMMUNITY SPECIALIST CLINICS LTD,32429330,-32824
Department of Health,NHS Waltham Forest CCG,31/05/2020,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,MILDMAY MISSION HOSPITAL UK,32169956,-32018
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-APMS OOH Opt Outs,"PRC DELEGATED CO-
COMMISSIONING",HURLEY GROUP,32287140,-8333.7
Department of Health,NHS Waltham Forest CCG,,,"PRC DELEGATED CO-
COMMISSIONING",ALLUM MEDICAL CENTRE,32287101,-8076.65
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS DES Extended Hours Access,"PRC DELEGATED CO-
COMMISSIONING",ALLUM MEDICAL CENTRE,32287101,-6856.45
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,ALLUM MEDICAL CENTRE,32287101,-6381.96
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",ALLUM MEDICAL CENTRE,32287101,-3414.04
Department of Health,NHS Waltham Forest CCG,,,"PRC DELEGATED CO-
COMMISSIONING",ALLUM MEDICAL CENTRE,32287101,-2835.24
Department of Health,NHS Waltham Forest CCG,,,"PRC DELEGATED CO-
COMMISSIONING",ALLUM MEDICAL CENTRE,32287101,-2344.57
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",ALLUM MEDICAL CENTRE,32287101,-2058.99
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-APMS Contract KPIs,"PRC DELEGATED CO-
COMMISSIONING",HURLEY GROUP,32287140,-1747.58
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-APMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",HURLEY GROUP,32287140,-1438.08
Department of Health,NHS Waltham Forest CCG,,,"PRC DELEGATED CO-
COMMISSIONING",ALLUM MEDICAL CENTRE,32287101,-89.36
Department of Health,NHS Waltham Forest CCG,31/05/2020,Apprenticeship Levy Payable,,HMRC,32400992,19
Department of Health,NHS Waltham Forest CCG,31/05/2020,Post Graduate Loan Payable,,HMRC,32400992,44
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",LYNDHURST SURGERY LONDON,32401246,44.02
Department of Health,NHS Waltham Forest CCG,,,"PRC DELEGATED CO-
COMMISSIONING",WALTHAM FOREST COMMUNITY & FHS LTD,32312365,45.9
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS Prem Water Rates,,HIGHAM HILL MEDICAL CENTRE,32287116,64.64
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",CHINGFORD MEDICAL PRACTICE,32401226,88.04
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS DES Learn Dsblty Hlth Chk,"PRC DELEGATED CO-
COMMISSIONING",OLIVER ROAD MEDICAL CENTRE,32287126,140
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS Prem Clinical Waste,"PRC DELEGATED CO-
COMMISSIONING",CHURCHILL HEALTHCARE LTD,32287103,324.26
Department of Health,NHS Waltham Forest CCG,31/05/2020,Income tax <1Yr-Student Loans,,HMRC,32400992,457
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",SINNOTT ROAD SURGERY,32287132,484.22
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-GMS DES Minor Surgery,"PRC DELEGATED CO-
COMMISSIONING",GREEN MAN MEDICAL CENTRE,32401241,528.24
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS DES Learn Dsblty Hlth Chk,"PRC DELEGATED CO-
COMMISSIONING",CHURCHILL HEALTHCARE LTD,32287103,1120
Department of Health,NHS Waltham Forest CCG,31/05/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",KINGSHEAD MEDICAL PRACTICE,32287118,1167.86
Department of Health,NHS Waltham Forest CCG,,,"PRC DELEGATED CO-
COMMISSIONING",WALTHAM FOREST COMMUNITY & FHS LTD,32312365,1280.57
