Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction,Amount
Department of Health,NHS Waltham Forest CCG,31/07/2020,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,PRIORS COURT FOUNDATION,33037273,-125090.86
Department of Health,NHS Waltham Forest CCG,31/07/2020,"Hcare Srv Rec NHS Trust-Contract 
Baseline",AMBULANCE SERVICES,LONDON AMBULANCE SERVICE NHS TRUST,33277379,-70187.4
Department of Health,NHS Waltham Forest CCG,31/07/2020,Computer Hardware Purch,PRIMARY CARE IT,NHS NEWHAM CCG,33194523,-68181.07
Department of Health,NHS Waltham Forest CCG,31/07/2020,Clinical&Medical-Commercial Sector,COMMISSIONING SCHEMES,CARNALL FARRAR LTD,33107553,-59998.8
Department of Health,NHS Waltham Forest CCG,31/07/2020,,ACUTE COMMISSIONING,"GREAT ORMOND STREET HOSPITAL FOR CHILDREN 
NHS FOUNDATION TRUST",33133402,-51936.59
Department of Health,NHS Waltham Forest CCG,31/07/2020,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,33191997,-2773.24
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS Prof Fees Prescribing,"PRC DELEGATED CO-
COMMISSIONING",FRANCIS ROAD MEDICAL CENTRE,33230968,2.3
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS Prof Fees Prescribing,"PRC DELEGATED CO-
COMMISSIONING",KIYANI MEDICAL PRACTICE,33229953,6.91
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS Prem Water Rates,"PRC DELEGATED CO-
COMMISSIONING",KIYANI MEDICAL PRACTICE,33229953,11.24
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS Prem Water Rates,"PRC DELEGATED CO-
COMMISSIONING",LANGTHORNE SHARMA FAMILY PRACTICE,33230973,11.35
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,KIYANI MEDICAL PRACTICE,33229953,19.91
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,FRANCIS ROAD MEDICAL CENTRE,33230968,25.73
Department of Health,NHS Waltham Forest CCG,31/07/2020,Post Graduate Loan Payable,BALANCE SHEET,HMRC,33191997,44
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS Prof Fees Prescribing,"PRC DELEGATED CO-
COMMISSIONING",CHINGFORD MEDICAL PRACTICE,33247126,46.07
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS Prof Fees Prescribing,"PRC DELEGATED CO-
COMMISSIONING",HANDSWORTH MEDICAL PRACTICE LONDON,33230970,50.66
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS Prof Fees Prescribing,"PRC DELEGATED CO-
COMMISSIONING",CHURCHILL HEALTHCARE LTD,33247127,57.58
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-PMS Prem Water Rates,"PRC DELEGATED CO-
COMMISSIONING",HIGHAM HILL MEDICAL CENTRE,33069814,64.64
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",KIYANI MEDICAL PRACTICE,33229953,72.04
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",LANGTHORNE SHARMA FAMILY PRACTICE,33230973,72.79
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS Prof Fees Prescribing,"PRC DELEGATED CO-
COMMISSIONING",FOREST SURGERY,33230966,82.91
Department of Health,NHS Waltham Forest CCG,,,"PRC DELEGATED CO-
COMMISSIONING",LIME TREE SURGERY LONDON,33092435,92.69
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-PMS Prem Water Rates,"PRC DELEGATED CO-
COMMISSIONING",DRS SS & SJ KUMAR,33092433,109.08
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS DES Learn Dsblty Hlth Chk,"PRC DELEGATED CO-
COMMISSIONING",LYNDHURST SURGERY LONDON,33230976,140
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS Prem Water Rates,"PRC DELEGATED CO-
COMMISSIONING",CHINGFORD MEDICAL PRACTICE,33247126,141.32
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS Prem Clinical Waste,"PRC DELEGATED CO-
COMMISSIONING",CHURCHILL HEALTHCARE LTD,33247127,162.13
Department of Health,NHS Waltham Forest CCG,,,"PRC DELEGATED CO-
COMMISSIONING",LIME TREE SURGERY LONDON,33092435,238.01
Department of Health,NHS Waltham Forest CCG,,,"PRC DELEGATED CO-
COMMISSIONING",LIME TREE SURGERY LONDON,33092435,252
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-PMS DES Learn Dsblty Hlth Chk,"PRC DELEGATED CO-
COMMISSIONING",HURLEY GROUP,33092440,280
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",CLAREMONT MEDICAL CENTRE LONDON,33234037,391.83
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",LANGTHORNE SHARMA FAMILY PRACTICE,33230973,444.99
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",HAMPTON MEDICAL CENTRE,33069810,450.04
Department of Health,NHS Waltham Forest CCG,31/07/2020,Income tax <1Yr-Student Loans,BALANCE SHEET,HMRC,33191997,452
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-PMS PCO Other,"PRC DELEGATED CO-
COMMISSIONING",HAMPTON MEDICAL CENTRE,33069810,468.2
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",KIYANI MEDICAL PRACTICE,33229953,492.93
Department of Health,NHS Waltham Forest CCG,,,"PRC DELEGATED CO-
COMMISSIONING",HIGHAM HILL MEDICAL CENTRE,33069814,558
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS DES Learn Dsblty Hlth Chk,"PRC DELEGATED CO-
COMMISSIONING",FOREST SURGERY,33230966,560
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",KINGSHEAD MEDICAL PRACTICE,33069820,583.93
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",DR BAILEY PRACTICE,33230960,598.7
Department of Health,NHS Waltham Forest CCG,,,"PRC DELEGATED CO-
COMMISSIONING",LIME TREE SURGERY LONDON,33092435,647.1
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",LYNDHURST SURGERY LONDON,33230976,681.53
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",MIRCOFACULTY,33069827,721.41
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,FOREST SURGERY,33230966,747.52
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",FOREST ROAD MEDICAL CENTRE,33230964,753.69
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",GREEN MAN MEDICAL CENTRE,33230971,786.59
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",FRANCIS ROAD MEDICAL CENTRE,33230968,808.98
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",HIGHAM HILL MEDICAL CENTRE,33069814,834.1
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",WOOD STREET HEALTH CENTRE,33069850,837.84
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-PMS Prem Water Rates,"PRC DELEGATED CO-
COMMISSIONING",ALLUM MEDICAL CENTRE,33092432,838.84
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",LL MEDICAL CARE LTD,33069823,847.62
Department of Health,NHS Waltham Forest CCG,,,"PRC DELEGATED CO-
COMMISSIONING",HIGHAM HILL MEDICAL CENTRE,33069814,862.8
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",SINNOTT ROAD SURGERY,33069839,905.1
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-PMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",DR S PHILLIPS & DR M PATEL,33069805,930.72
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS PCO Other,"PRC DELEGATED CO-
COMMISSIONING",HANDSWORTH MEDICAL PRACTICE LONDON,33230970,949.7
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",FOREST SURGERY,33230966,957.17
Department of Health,NHS Waltham Forest CCG,31/07/2020,C&M-PMS Prem Rates,"PRC DELEGATED CO-
COMMISSIONING",HAMPTON MEDICAL CENTRE,33069810,959.02
