Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction,Amount
Department of Health,NHS Waltham Forest CCG,30/04/2020,C&M-PMS PCN DES Participation,,ALLUM MEDICAL CENTRE,31793709,2058.99
Department of Health,NHS Waltham Forest CCG,30/04/2020,C&M-PMS PCN DES Clinical Director,,ALLUM MEDICAL CENTRE,31793709,3414.04
Department of Health,NHS Waltham Forest CCG,30/04/2020,C&M-PMS PCN DES PCN support,,ALLUM MEDICAL CENTRE,31793709,6381.96
Department of Health,NHS Waltham Forest CCG,30/04/2020,C&M-PMS DES Extended Hours Access,,ALLUM MEDICAL CENTRE,31793709,6856.45
Department of Health,NHS Waltham Forest CCG,30/04/2020,,,ALLUM MEDICAL CENTRE,31793709,10729.17
Department of Health,NHS Waltham Forest CCG,30/04/2020,C&M-PMS Contract KPIs,,ALLUM MEDICAL CENTRE,31793709,58882.44
Department of Health,NHS Waltham Forest CCG,30/04/2020,C&M-PMS Contract Value,,ALLUM MEDICAL CENTRE,31793709,107970.08
Department of Health,NHS Waltham Forest CCG,30/04/2020,,,ASPRAY HOUSE LTD,31737768,31965.43
Department of Health,NHS Waltham Forest CCG,30/04/2020,,ACUTE COMMISSIONING,"BARKING HAVERING AND REDBRIDGE HOSPITALS 
NHS TRUST",31729555,215886
Department of Health,NHS Waltham Forest CCG,,,,"BARKING HAVERING AND REDBRIDGE HOSPITALS 
NHS TRUST",31807875,215886.3
Department of Health,NHS Waltham Forest CCG,,,,BARTS HEALTH NHS TRUST,31805042,150000
Department of Health,NHS Waltham Forest CCG,43951,,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,31991029,"34,195.17"
Department of Health,NHS Waltham Forest CCG,43951,,ACUTE COMMISSIONING,CARE UK CLINICAL SERVICES LTD,31991131,"33,495.18"
Department of Health,NHS Waltham Forest CCG,30/04/2020,,ACUTE COMMISSIONING,"CHELSEA AND WESTMINSTER HOSPITAL NHS 
FOUNDATION TRUST",31807878,33810.76
Department of Health,NHS Waltham Forest CCG,30/04/2020,,ACUTE COMMISSIONING,"CHELSEA AND WESTMINSTER HOSPITAL NHS 
FOUNDATION TRUST",31729558,33811
Department of Health,NHS Waltham Forest CCG,30/04/2020,C&M-GMS Prof Fees Prescribing,"PRC DELEGATED CO-
COMMISSIONING",CHINGFORD MEDICAL PRACTICE,31945648,146.9
Department of Health,NHS Waltham Forest CCG,30/04/2020,C&M-GMS PCN DES Participation,"PRC DELEGATED CO-
COMMISSIONING",CHINGFORD MEDICAL PRACTICE,31945648,1229.29
Department of Health,NHS Waltham Forest CCG,30/04/2020,,LOCAL ENHANCED SERVICES,CHINGFORD MEDICAL PRACTICE,31945648,1331.19
Department of Health,NHS Waltham Forest CCG,30/04/2020,C&M-GMS PCN DES Clinical Director,"PRC DELEGATED CO-
COMMISSIONING",CHINGFORD MEDICAL PRACTICE,31945648,3163.38
Department of Health,NHS Waltham Forest CCG,30/04/2020,C&M-GMS QOF Aspiration,"PRC DELEGATED CO-
COMMISSIONING",CHINGFORD MEDICAL PRACTICE,31945648,5755.62
Department of Health,NHS Waltham Forest CCG,30/04/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,CHINGFORD MEDICAL PRACTICE,31945648,6294.31
Department of Health,NHS Waltham Forest CCG,30/04/2020,C&M-GMS DES Extended Hours Access,"PRC DELEGATED CO-
COMMISSIONING",CHINGFORD MEDICAL PRACTICE,31945648,6353.05
Department of Health,NHS Waltham Forest CCG,30/04/2020,C&M-GMS LES Medical Fees,LOCAL ENHANCED SERVICES,CHINGFORD MEDICAL PRACTICE,31945648,34534.19
Department of Health,NHS Waltham Forest CCG,30/04/2020,C&M-GMS Global Sum,"PRC DELEGATED CO-
COMMISSIONING",CHINGFORD MEDICAL PRACTICE,31945648,64101.54
