Department,CCG,Date,Expense Area,Expense Type,Supplier,Transaction Number,Amount
Department of Health,NHS Waltham Forest CCG,30/09/2020,Programme Support Costs,QUALITY PREMIUM PROGRAMME,LONDON BOROUGH OF WALTHAM FOREST,33713898,"475,000.00"
Department of Health,NHS Waltham Forest CCG,30/09/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33720222,"1,409.45"
Department of Health,NHS Waltham Forest CCG,30/09/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33720222,"112,755.77"
Department of Health,NHS Waltham Forest CCG,30/09/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33720224,"2,547.69"
Department of Health,NHS Waltham Forest CCG,30/09/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33720224,"203,815.20"
Department of Health,NHS Waltham Forest CCG,30/09/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33720225,"3,209.18"
Department of Health,NHS Waltham Forest CCG,30/09/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33720225,"256,734.58"
Department of Health,NHS Waltham Forest CCG,30/09/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33720227,"3,151.46"
Department of Health,NHS Waltham Forest CCG,30/09/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33720227,"252,116.48"
Department of Health,NHS Waltham Forest CCG,30/09/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33720228,"5,785.37"
