Department,CCG,Date,Expense Type,Expense Area,Transaction Number,Amount
Department of Health,NHS Waltham Forest CCG,31/03/2021,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,36111252,"-594,432.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Cont Care-Mental Health (<65),CHC ADULT FULLY FUNDED,36114374,"-85,272.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Clinical&Medical-Commercial Sector,CLINICAL ASSESSMENT AND TREATMENT,36203812,"-78,252.86"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Clinical&Medical-Commercial Sector,PRIMARY CARE INVESTMENTS,36148789,"-72,678.24"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,36203695,"-65,456.21"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Voids and Subsidies,PROGRAMME PROJECTS,35827723,"-52,362.58"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,35927643,"-31,394.27"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Programme Support Costs,PROGRAMME PROJECTS,35946611,"-30,025.62"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,35927698,"-19,275.14"
Department of Health,NHS Waltham Forest CCG,31/03/2021,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,35927698,"-5,194.79"
Department of Health,NHS Waltham Forest CCG,31/03/2021,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,35927698,"-4,476.39"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,35927643,"-2,498.32"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,35927698,"-2,367.68"
Department of Health,NHS Waltham Forest CCG,31/03/2021,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,35927691,"-2,312.78"
Department of Health,NHS Waltham Forest CCG,31/03/2021,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,35927691,"-2,259.58"
Department of Health,NHS Waltham Forest CCG,31/03/2021,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,35927643,"-1,541.06"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,35927662,"-1,344.90"
Department of Health,NHS Waltham Forest CCG,31/03/2021,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,35927643,"-1,339.58"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,35927643,-136.4
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,35927698,-129.26
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,36087041,11.24
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,35927697,27.31
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,36087041,72.04
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,35927701,433.76
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,35927699,540
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,35927695,685.56
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,35953157,712.5
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,36088967,741.9
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35927697,837.84
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35927693,905.1
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35927656,930.72
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35927652,"1,019.61"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,36088967,"1,025.84"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M- PCN DES CARE HOME PREMIUM,PRC DELEGATED CO-COMMISSIONING,35927646,"1,057.50"
Department of Health,NHS Waltham Forest CCG,31/03/2021,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,35927646,"1,325.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35927695,"1,339.89"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,35927652,"1,344.70"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35927660,"1,378.43"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,35927697,"1,404.13"
Department of Health,NHS Waltham Forest CCG,31/03/2021,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,35927646,"1,524.28"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35927693,"1,558.33"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35927701,"1,645.25"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,36088967,"1,680.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-APMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,35927701,"1,812.00"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35927649,"1,841.19"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35927656,"2,016.16"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35934252,"2,030.67"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35927699,"2,031.07"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-APMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,35927701,"2,042.79"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,36087041,"2,076.63"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,35927646,"2,082.13"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,36087041,"2,242.33"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M- PCN DES CARE COORDINATOR,PRC DELEGATED CO-COMMISSIONING,35953157,"2,427.92"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35927697,"2,902.89"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35927693,"3,599.85"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35927656,"3,623.18"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,35927652,"3,635.42"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35927652,"4,110.27"
Department of Health,NHS Waltham Forest CCG,31/03/2021,Voids and Subsidies,PROGRAMME PROJECTS,36212515,"4,294.83"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,35927699,"4,297.20"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,36088967,"4,437.52"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,35927699,"4,445.38"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,36088967,"4,694.27"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,35927695,"4,865.64"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35927660,"5,071.74"
Department of Health,NHS Waltham Forest CCG,31/03/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,35927695,"5,278.43"
