Department,Entity,Date,Expenses Area,Expenses Type,Supplier,Transaction Reference,Their Reference,Amount
Department of Health,London North West Healthcare NHS Trust,12/08/2020,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,1301524,0000001/H324202,"33,486.18"
Department of Health,London North West Healthcare NHS Trust,12/08/2020,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,1301525,0000001/H324203,"60,482.41"
Department of Health,London North West Healthcare NHS Trust,12/08/2020,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,1301526,0000001/H324204,"206,582.35"
Department of Health,London North West Healthcare NHS Trust,12/08/2020,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,1301527,0000001/H324205,"39,114.79"
Department of Health,London North West Healthcare NHS Trust,12/08/2020,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,1301530,0000001/H324208,"63,611.71"
Department of Health,London North West Healthcare NHS Trust,12/08/2020,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,1301531,0000001/H325804,"63,669.36"
Department of Health,London North West Healthcare NHS Trust,12/08/2020,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,1301519,0000001/H325807,"69,919.72"
Department of Health,London North West Healthcare NHS Trust,12/08/2020,B.C.S External Estates Slas,Estates N.H.S Propery Services,Nhs Property Services Limited,1301521,0000001/H325809,"56,356.24"
Department of Health,London North West Healthcare NHS Trust,19/08/2020,Balance Sheet Lnwh,Pensions,Nhs Injury Benefits,1306953,1000002162,"54,990.82"
Department of Health,London North West Healthcare NHS Trust,26/08/2020,H.R.  Services N.W.L,Conference Expenses,Nhs Health At Work Network,1318216,1002/2020,"49,500.00"
Department of Health,London North West Healthcare NHS Trust,19/08/2020,Car Parking N.W.L,Car Parking,Apcoa Facilities Management (Uk) Limited,1303920,107064,"193,694.40"
Department of Health,London North West Healthcare NHS Trust,12/08/2020,Estates & Services N.P.H,Contract Work,Vm Construction Ltd,1302380,11178,"34,257.60"
Department of Health,London North West Healthcare NHS Trust,12/08/2020,Estates & Services N.P.H,Contract Work,Vm Construction Ltd,1302381,11179,"34,257.60"
Department of Health,London North West Healthcare NHS Trust,12/08/2020,Estates & Services N.P.H,Contract Work,Vm Construction Ltd,1302382,11180,"34,257.60"
Department of Health,London North West Healthcare NHS Trust,19/08/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Roche Products Ltd,1316359,1322143564,"35,057.06"
Department of Health,London North West Healthcare NHS Trust,26/08/2020,Post Room N.P.H,Postage,Pitney Bowes Limited - Franking,1319707,13755574 AUG 20,"25,000.00"
Department of Health,London North West Healthcare NHS Trust,12/08/2020,Post Room N.P.H,Postage,Pitney Bowes Limited - Franking,1292910,13755574 MAY/20,"25,000.00"
Department of Health,London North West Healthcare NHS Trust,05/08/2020,Cardiology E.H,Medical Equip Repairs & Maint,Change Healthcare Uk Holdings Limited,1301197,141307,"33,013.93"
Department of Health,London North West Healthcare NHS Trust,05/08/2020,Cardiology Investigationsn.W.L,Medical Equip Repairs & Maint,Change Healthcare Uk Holdings Limited,1301198,141308,"68,071.94"
Department of Health,London North West Healthcare NHS Trust,05/08/2020,Cancer Screening,Project Management,Genmed.Me Ltd,1208890,16975,"162,955.01"
Department of Health,London North West Healthcare NHS Trust,26/08/2020,Point Of Care N.W.L,It Leases,Genmed.Me Ltd,1309518,17789,"50,994.71"
Department of Health,London North West Healthcare NHS Trust,26/08/2020,Point Of Care N.W.L,It Leases,Genmed.Me Ltd,1309519,17790,"45,651.80"
Department of Health,London North West Healthcare NHS Trust,26/08/2020,Capital,Estates/Building Works,A1 Uk Drains Limited,1308582,182306,"42,576.00"
Department of Health,London North West Healthcare NHS Trust,19/08/2020,Capital,Staff/Agency Costs,Healthcare Clinical Informatics Limited,1304272,20016,"75,600.00"
Department of Health,London North West Healthcare NHS Trust,26/08/2020,Radiology E.H,Medical Equip Repairs & Maint,Sccl-Nhs Supply Chain Maintenance,1303535,2121002206,"42,865.20"
Department of Health,London North West Healthcare NHS Trust,26/08/2020,E.B.M.E.,Medical Equip Repairs & Maint,Sccl-Nhs Supply Chain Maintenance,1309298,2121002381,"63,256.80"
Department of Health,London North West Healthcare NHS Trust,12/08/2020,Nursing Management N.W.L,Software Purchases \ Licences,Perfect Ward Limited,1309556,213801,"37,996.80"
Department of Health,London North West Healthcare NHS Trust,27/08/2020,Id Screening,Protective Clothing,Beijing Easymonitor Technology Development,1320363,270420,"332,425.00"
Department of Health,London North West Healthcare NHS Trust,27/08/2020,Id Screening,Uniforms,Beijing Easymonitor Technology Development,1320363,270420,"36,000.00"
Department of Health,London North West Healthcare NHS Trust,04/08/2020,Reserves,Project Management,Apcoa Parking ( Uk ) Limited,1298242,282966,"385,980.00"
Department of Health,London North West Healthcare NHS Trust,04/08/2020,Capital,Estates/Building Works,Apcoa Parking ( Uk ) Limited,1298458,282967,"669,999.91"
Department of Health,London North West Healthcare NHS Trust,05/08/2020,A&E Nursing N.P.H,Medical Equipment,Stryker (Uk) Ltd,1301591,28834715,"33,767.71"
Department of Health,London North West Healthcare NHS Trust,05/08/2020,Capital,Estates/Building Works,Colorific Solutions Limited,1301045,30819,"37,977.60"
Department of Health,London North West Healthcare NHS Trust,26/08/2020,Capital,Equipment,Maquet Limited,1285367,3129089220,"64,243.20"
Department of Health,London North West Healthcare NHS Trust,26/08/2020,Communications (Phones),Software Purchases \ Licences,Bt Global Services,1308638,541495,"30,780.00"
Department of Health,London North West Healthcare NHS Trust,26/08/2020,Communications (Phones),Software Purchases \ Licences,Bt Global Services,1308639,541497,"30,780.00"
Department of Health,London North West Healthcare NHS Trust,12/08/2020,Cancer Screening,General Instruments,Chrystal Consulting Limited,1299145,54749 JUL2020,"164,228.66"
Department of Health,London North West Healthcare NHS Trust,26/08/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Aah Pharmaceuticals Limited,1310510,55742084W,"34,310.88"
Department of Health,London North West Healthcare NHS Trust,05/08/2020,Capital,Estates/Building Works,Siemens Industry Software Limited,1309295,560H0082367310,"224,174.40"
Department of Health,London North West Healthcare NHS Trust,19/08/2020,Capital,Equipment,Karl Storz Endoscopy (Uk) Ltd,1306760,6020060997,"99,576.65"
Department of Health,London North West Healthcare NHS Trust,19/08/2020,Patient Transport Contract,Patient Transport Contract,Ambulance Transfers Ltd,1306351,60402,"389,820.48"
Department of Health,London North West Healthcare NHS Trust,19/08/2020,Patient Transport Contract,Patient Transport Contract,Ambulance Transfers Ltd,1306352,60404,"268,326.44"
Department of Health,London North West Healthcare NHS Trust,12/08/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Mawdsleys-Brookes & Co Ltd,1305245,6823224,"32,116.80"
Department of Health,London North West Healthcare NHS Trust,26/08/2020,I M & T    Management,Substantive Management Band 9,Nhs Brent Ccg,1308676,7022603951,"30,726.58"
Department of Health,London North West Healthcare NHS Trust,19/08/2020,Id Screening,Protective Clothing,Merlin Developments Ltd,1304297,73,"54,000.00"
Department of Health,London North West Healthcare NHS Trust,19/08/2020,Capital,Equipment,Philips Healthcare,1269279,7300333845,"47,700.00"
Department of Health,London North West Healthcare NHS Trust,20/08/2020,Blood Products N.W.L,Blood Products,Nhs Blood And Transplant,1303411,890550,"212,436.57"
Department of Health,London North West Healthcare NHS Trust,20/08/2020,Blood Products E.H,Blood Products,Nhs Blood And Transplant,1303412,890555,"42,824.85"
Department of Health,London North West Healthcare NHS Trust,05/08/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Celgene Limited,1307978,8940221132,"34,540.13"
Department of Health,London North West Healthcare NHS Trust,05/08/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Celgene Limited,1307981,8940221534,"39,342.24"
Department of Health,London North West Healthcare NHS Trust,05/08/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Csl Behring Uk Ltd,1308003,994025801,"25,200.00"
Department of Health,London North West Healthcare NHS Trust,19/08/2020,Utilities N.P.H,Electricity,Laser Energy Buying Group,1303419,E7318008,"290,568.68"
Department of Health,London North West Healthcare NHS Trust,19/08/2020,Utilities E.H,Electricity,Laser Energy Buying Group,1303420,E7318009,"108,605.58"
Department of Health,London North West Healthcare NHS Trust,19/08/2020,Communications N.W.L,Professional Fees,Hood & Woolf Limited,1306626,H&W-INV-593,"42,976.80"
Department of Health,London North West Healthcare NHS Trust,05/08/2020,Reserves,Substantive Speciality Reg,Royal Free London Nhsft,1301048,I0190608,"258,557.71"
Department of Health,London North West Healthcare NHS Trust,05/08/2020,Pathology Contract N.W.L,Pathology Contract T.D.L.,Nwlht Analytical Llp,1298668,IN000461,"850,198.40"
Department of Health,London North West Healthcare NHS Trust,05/08/2020,Pathology Contract N.W.L,Pathology Contract T.D.L.,Nwlht Facilities Llp,1298667,IN000481,"881,649.41"
Department of Health,London North West Healthcare NHS Trust,19/08/2020,I M & T Support Maintenance,Software Maintenance,Softcat Ltd,1310290,INV02619696,"137,093.75"
Department of Health,London North West Healthcare NHS Trust,19/08/2020,Radiology N.P.H,General Instruments,Agito Medical A/S,1306518,INV06644,"60,000.00"
Department of Health,London North West Healthcare NHS Trust,19/08/2020,Communications (Phones),Switchboard Maintenance,Miracall Solutions Limited,1305438,INV-19253,"84,438.48"
Department of Health,London North West Healthcare NHS Trust,19/08/2020,Balance Sheet Lnwh,Lodging,Network Homes,1298980,Jun-20,"92,608.27"
Department of Health,London North West Healthcare NHS Trust,19/08/2020,Balance Sheet Lnwh,Lodging,Network Homes,1305493,JUNE 20A,"92,162.75"
Department of Health,London North West Healthcare NHS Trust,19/08/2020,Capital,Estates/Building Works,Kr Synergy Limited,1306771,KRS19111,"28,740.00"
Department of Health,London North West Healthcare NHS Trust,19/08/2020,Capital,Staff/Agency Costs,The Carbon And Energy Fund Limtied,1315511,LNW0720,"78,000.00"
Department of Health,London North West Healthcare NHS Trust,19/08/2020,Capital,Staff/Agency Costs,The Carbon And Energy Fund Limtied,1312416,LNW0820,"78,000.00"
Department of Health,London North West Healthcare NHS Trust,12/08/2020,I M & T Support Maintenance,Professional Fees,Apira Ltd,1303808,LNWUH-EDM024,"49,776.00"
Department of Health,London North West Healthcare NHS Trust,19/08/2020,Capital,Software,Edm Group Ltd,1312787,SI319310,"43,776.00"
Department of Health,London North West Healthcare NHS Trust,20/08/2020,Commercial,Liability To 3rd Party Ins,Nhs Resolution,1315897,SICX402668,"46,365.90"
Department of Health,London North West Healthcare NHS Trust,20/08/2020,Depreciation\Provisions N.W.L,Nhsla Premium,Nhs Resolution,1315897,SICX402668,"1,847,441.00"
Department of Health,London North West Healthcare NHS Trust,05/08/2020,P.A.C.S N.W.L,P.A.C.S,Sectra Limited,1301067,SIN002485,"73,630.80"
Department of Health,London North West Healthcare NHS Trust,05/08/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Alk-Abello Ltd,1305396,SIN102937059,"54,000.00"
Department of Health,London North West Healthcare NHS Trust,26/08/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Alk-Abello Ltd,1311260,SIN102951105,"90,000.00"
Department of Health,London North West Healthcare NHS Trust,05/08/2020,Point Of Care N.W.L,Laboratory Service Contracts,Radiometer Limited,1299638,V00000864,"69,698.27"
