Department,Entity,Date,Expenses Area,Expenses Type,Supplier,Transaction Reference,Their Reference,Amount
Department of Health,London North West Healthcare NHS Trust,13/05/2020,Endoscopy N.P.H,Clinical Services Received,18 Week Support Llp,1253458,1002865,"85,000.00"
Department of Health,London North West Healthcare NHS Trust,06/05/2020,Balance Sheet Lnwh,Salary Sacrifice White Goods,Akira Financial Limited,1073517,100574,"43,653.48"
Department of Health,London North West Healthcare NHS Trust,20/05/2020,Capital,Estates/Building Works,Kier Construction Limited,1270615,10221307,"35,256.05"
Department of Health,London North West Healthcare NHS Trust,27/05/2020,Capital,Estates/Building Works,Kier Construction Limited,1274583,10222236,"80,394.86"
Department of Health,London North West Healthcare NHS Trust,13/05/2020,Capital,Equipment,Siemens Healthcare,1262952,1051077814,"585,960.00"
Department of Health,London North West Healthcare NHS Trust,13/05/2020,Capital,Equipment,Siemens Healthcare,1262953,1051078114,"92,970.00"
Department of Health,London North West Healthcare NHS Trust,13/05/2020,Capital,Equipment,Siemens Healthcare,1262954,1051078115,"104,898.00"
Department of Health,London North West Healthcare NHS Trust,13/05/2020,Capital,Equipment,Siemens Healthcare,1262955,1051078116,"92,970.00"
Department of Health,London North West Healthcare NHS Trust,13/05/2020,Capital,Equipment,Siemens Healthcare,1262956,1051078117,"80,664.00"
Department of Health,London North West Healthcare NHS Trust,13/05/2020,Capital,Equipment,Siemens Healthcare,1262957,1051078118,"88,986.00"
Department of Health,London North West Healthcare NHS Trust,13/05/2020,Capital,Estates/Building Works,Siemens Healthcare,1267995,1051078903,"130,972.26"
Department of Health,London North West Healthcare NHS Trust,13/05/2020,Car Parking N.W.L,C.M.H. Car Parking Contract,Apcoa Parking ( Uk ) Limited,1266162,107047,"64,953.60"
Department of Health,London North West Healthcare NHS Trust,13/05/2020,Car Parking N.W.L,C.M.H. Car Parking Contract,Apcoa Parking ( Uk ) Limited,1266163,107048,"193,694.40"
Department of Health,London North West Healthcare NHS Trust,27/05/2020,Cardiology Investigationsn.W.L,General Instruments,Medtronic Ltd,1281689,1099800808,"568,707.72"
Department of Health,London North West Healthcare NHS Trust,06/05/2020,A&E Nursing E.H,General Instruments,Sccl-Nhs Supply Chain Roarp-Consumables,1271633,1121005459,"26,941.81"
Department of Health,London North West Healthcare NHS Trust,20/05/2020,I M & T Support Maintenance,Software Purchases \ Licences,Armadillo Managed Services Ltd,1270189,11702,"25,549.20"
Department of Health,London North West Healthcare NHS Trust,06/05/2020,Ibd Boost,Research Costs,Queen Mary University Of London,1253276,12469169,"43,403.67"
Department of Health,London North West Healthcare NHS Trust,13/05/2020,Bed Hire Contract N.W.L,Bed Hire,Arjo Uk Ltd,1279237,130520,"78,960.00"
Department of Health,London North West Healthcare NHS Trust,06/05/2020,E.B.M.E.,E.B.M.E Contract,Bcas Bio Medical Services Ltd,1264576,13737,"210,000.00"
Department of Health,London North West Healthcare NHS Trust,20/05/2020,Post Room N.P.H,Postage,Pitney Bowes Limited - Franking,1256612,13755574 MAR.20,"25,000.00"
Department of Health,London North West Healthcare NHS Trust,06/05/2020,I M & T Support Maintenance,Software Maintenance,Galtec Solutions Limited,1259864,142515/147539,"55,881.60"
Department of Health,London North West Healthcare NHS Trust,27/05/2020,Point Of Care N.W.L,Reagents/Chemicals,Genmed.Me Ltd,1241994,17183,"30,108.96"
Department of Health,London North West Healthcare NHS Trust,06/05/2020,Endoscopy N.P.H,Clinical Services Received,Genmed.Me Ltd,1264389,17327,"56,827.56"
Department of Health,London North West Healthcare NHS Trust,06/05/2020,Managed Print,It Leases,Genmed.Me Ltd,1264462,17337,"136,071.91"
Department of Health,London North West Healthcare NHS Trust,27/05/2020,Point Of Care N.W.L,It Leases,Genmed.Me Ltd,1273435,17420,"54,457.93"
Department of Health,London North West Healthcare NHS Trust,27/05/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Baxter Healthcare Ltd,1283946,20085869,"31,730.40"
Department of Health,London North West Healthcare NHS Trust,27/05/2020,E.B.M.E.,Medical Equip Repairs & Maint,Sccl-Nhs Supply Chain Maintenance,1272265,2121000051,"51,755.09"
Department of Health,London North West Healthcare NHS Trust,27/05/2020,Radiology C.M.H,Medical Equip Repairs & Maint,Sccl-Nhs Supply Chain Maintenance,1272266,2121000070,"93,191.29"
Department of Health,London North West Healthcare NHS Trust,27/05/2020,E.B.M.E.,Medical Equip Repairs & Maint,Sccl-Nhs Supply Chain Maintenance,1272267,2121000089,"58,773.79"
Department of Health,London North West Healthcare NHS Trust,20/05/2020,I M & T Support Maintenance,Software Maintenance,Hd Clinical Ltd,1272118,2870,"52,800.00"
Department of Health,London North West Healthcare NHS Trust,27/05/2020,Capital,Equipment,Stryker (Uk) Ltd,1267718,28798303,"331,179.34"
Department of Health,London North West Healthcare NHS Trust,13/05/2020,Capital,Estates/Building Works,Seville Developments Ltd,1269364,3065,"51,660.00"
Department of Health,London North West Healthcare NHS Trust,20/05/2020,Year End Adjust,Medical Gases,Arjo Uk Ltd,890343,3391009624,"27,614.40"
