Department,Entity,Date,Expenses Area,Expenses Type,Supplier,Transaction Reference,Their Reference,Amount
Department of Health,London North West Healthcare NHS Trust,25/11/2020,Reserves,Training Costs,St Mark'S Hospital Foundation,1368127,142,"135,000.00"
Department of Health,London North West Healthcare NHS Trust,17/11/2020,H.R.  Services N.W.L,Work Permits,Lloyds Tsb,1367043,1183001982,"53,567.00"
Department of Health,London North West Healthcare NHS Trust,25/11/2020,Capital,Equipment,Getinge Uk Limited,1357129,22000088,"53,303.68"
Department of Health,London North West Healthcare NHS Trust,04/11/2020,Balance Sheet Lnwh,Salary Sacrifice White Goods,Akira Financial Limited,1189863,100715,"62,254.92"
Department of Health,London North West Healthcare NHS Trust,04/11/2020,Capital,Estates/Building Works,Dc Emergency Systems Ltd,1341699,1015402,"34,194.00"
Department of Health,London North West Healthcare NHS Trust,11/11/2020,Capital,Estates/Building Works,Dc Emergency Systems Ltd,1362741,1015537,"26,064.00"
Department of Health,London North West Healthcare NHS Trust,25/11/2020,Capital,Equipment,Sccl-Nhs Supply Chain Roarp-Consumables,1347631,1121112550,"37,125.00"
Department of Health,London North West Healthcare NHS Trust,04/11/2020,Capital,Estates/Building Works,Vm Construction Ltd,1358333,11302,"428,098.68"
Department of Health,London North West Healthcare NHS Trust,04/11/2020,I M & T Support Maintenance,Software Purchases \ Licences,Armadillo Managed Services Ltd,1345334,11809,"40,147.50"
Department of Health,London North West Healthcare NHS Trust,18/11/2020,Capital,Estates/Building Works,Excel Contractors Ltd,1351347,12710,"155,880.51"
Department of Health,London North West Healthcare NHS Trust,11/11/2020,Post Room N.P.H,Postage,Pitney Bowes Limited - Franking,1363221,13755574 NOV20,"25,000.00"
Department of Health,London North West Healthcare NHS Trust,04/11/2020,Post Room N.P.H,Postage,Pitney Bowes Limited - Franking,1351315,13755574 OCT20.,"25,000.00"
