Department,Entity,Date,Expenses Area,Expenses Type,Supplier,Transaction Reference,Their Reference,Amount
Department of Health,London North West Healthcare NHS Trust,08/07/2020,I M & T Support Maintenance,Computer Equipment,Parity Medical,1290084,15208,"48,705.60"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Capital,Estates/Building Works,Direct Healthcare Group,1286882,81674,"49,012.56"
Department of Health,London North West Healthcare NHS Trust,29/07/2020,Bed Hire Contract N.W.L,Medical Equip Repairs & Maint,Direct Healthcare Group,1297309,83468,"62,100.00"
Department of Health,London North West Healthcare NHS Trust,15/07/2020,Capital,I.C.T Hardware,European Electronique Limited,1291335,1573293,"80,134.69"
Department of Health,London North West Healthcare NHS Trust,29/07/2020,Capital,Equipment,Getinge Uk Limited,1297622,22000042,"479,733.10"
Department of Health,London North West Healthcare NHS Trust,29/07/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Janssen Cilag Limited,1299874,930666918,"32,352.31"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Balance Sheet Lnwh,Salary Sacrifice White Goods,Akira Financial Limited,1116302,100618,"38,627.16"
Department of Health,London North West Healthcare NHS Trust,29/07/2020,Balance Sheet Lnwh,Salary Sacrifice White Goods,Akira Financial Limited,1136636,100642,"36,664.68"
Department of Health,London North West Healthcare NHS Trust,15/07/2020,Capital,Estates/Building Works,Kier Construction Limited,1292661,10228015,"35,612.89"
Department of Health,London North West Healthcare NHS Trust,30/07/2020,Car Parking N.W.L,Car Parking,Apcoa Facilities Management (Uk) Limited,1308424,107058,"193,694.40"
Department of Health,London North West Healthcare NHS Trust,29/07/2020,Estates\Facilities Management,Legal Fees,Trowers & Hamlins Llp,1299649,11-100845,"27,535.80"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Ibd Boost,Research Costs,Queen Mary University Of London,1286206,12470641,"43,403.67"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Roche Products Ltd,1289202,1322140943,"43,883.16"
Department of Health,London North West Healthcare NHS Trust,23/07/2020,Post Room N.P.H,Postage,Pitney Bowes Limited - Franking,1292909,13755574 MAY 20,"25,000.00"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Post Room N.P.H,Postage,Pitney Bowes Limited - Franking,1292827,13755574 MAY20.,"25,000.00"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,E.B.M.E.,E.B.M.E Contract,Bcas Bio Medical Services Ltd,1287155,13834,"210,000.00"
Department of Health,London North West Healthcare NHS Trust,29/07/2020,E.B.M.E.,E.B.M.E Contract,Bcas Bio Medical Services Ltd,1298208,13867,"210,000.00"
Department of Health,London North West Healthcare NHS Trust,15/07/2020,Id Screening,Patients' Clothing,Specialist Door Solutions Ltd,1292821,17158,"81,187.50"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Anaesthetics Medical N.W.L,Equipment Lease,Genmed.Me Ltd,1286756,17591,"33,201.94"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Radiology N.P.H,Equipment Lease,Genmed.Me Ltd,1286757,17592,"25,052.57"
Department of Health,London North West Healthcare NHS Trust,29/07/2020,I M & T Support Maintenance,Professional Fees,Healthcare Clinical Informatics Limited,1209498,19786,"51,975.00"
Department of Health,London North West Healthcare NHS Trust,29/07/2020,I M & T Support Maintenance,Building Contract Work,Healthcare Clinical Informatics Limited,1209500,19788,"30,240.00"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Incontinence Bcs,Medical Equipment,Ontex Healthcare Uk Ltd,1268049,2030260708,"52,180.59"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Incontinence Bcs,Incontinence Contract,Ontex Healthcare Uk Ltd,1275551,2030261982,"46,457.63"
Department of Health,London North West Healthcare NHS Trust,08/07/2020,Radiology N.P.H,Medical Equip Repairs & Maint,Sccl-Nhs Supply Chain Maintenance,1290861,2121001595,"62,709.02"
Department of Health,London North West Healthcare NHS Trust,15/07/2020,E.B.M.E.,Medical Equip Repairs & Maint,Sccl-Nhs Supply Chain Maintenance,1292674,2121001623,"48,544.84"
Department of Health,London North West Healthcare NHS Trust,15/07/2020,Radiology N.P.H,Medical Equip Repairs & Maint,Sccl-Nhs Supply Chain Maintenance,1292676,2121001643,"80,448.00"
Department of Health,London North West Healthcare NHS Trust,29/07/2020,Capital,Estates/Building Works,Apcoa Parking ( Uk ) Limited,1298244,282965,"177,884.40"
Department of Health,London North West Healthcare NHS Trust,08/07/2020,Capital,Estates/Building Works,Seville Developments Ltd,1288343,2963,"54,095.40"
Department of Health,London North West Healthcare NHS Trust,08/07/2020,Capital,Estates/Building Works,Seville Developments Ltd,1288344,3000,"56,721.60"
Department of Health,London North West Healthcare NHS Trust,08/07/2020,Capital,Estates/Building Works,Seville Developments Ltd,1288345,3001,"53,655.60"
Department of Health,London North West Healthcare NHS Trust,08/07/2020,Capital,Estates/Building Works,Seville Developments Ltd,1288346,3002,"32,601.60"
Department of Health,London North West Healthcare NHS Trust,22/07/2020,Capital,Furniture & Fittings,Arjo Uk Ltd,1284415,3392148374,"52,593.55"
Department of Health,London North West Healthcare NHS Trust,22/07/2020,Bed Hire Contract N.W.L,Medical Equip Repairs & Maint,Arjo Uk Ltd,1295974,3392194852,"43,329.82"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Capital,Equipment,Fujifilm Sonosite Limited,1258308,380821,"156,698.16"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Capital,Equipment,Fujifilm Sonosite Limited,1286966,381721,"26,946.24"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Capital,Equipment,Fujifilm Sonosite Limited,1286970,381724,"27,246.24"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Capital,Equipment,Fujifilm Sonosite Limited,1286972,381728,"26,946.24"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Capital,Equipment,Fujifilm Sonosite Limited,1286973,381729,"28,086.00"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Capital,Equipment,Fujifilm Sonosite Limited,1286974,381730,"27,546.24"
Department of Health,London North West Healthcare NHS Trust,08/07/2020,Capital,Equipment,Steris Solutions Limited,1263890,418847,"92,998.67"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Dialachemist Ltd T/A Springmed Solutions,1295105,43495,"34,020.00"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,I M & T Support Maintenance,Software Maintenance,Insight Direct ( Uk ) Limited,1286884,4856438,"54,000.00"
Department of Health,London North West Healthcare NHS Trust,29/07/2020,I M & T Support Maintenance,Software Maintenance,Insight Direct ( Uk ) Limited,1297457,4890064,"26,174.01"
Department of Health,London North West Healthcare NHS Trust,08/07/2020,Capital,Equipment,Carl Zeiss Ltd,1280074,5140495039,"126,451.24"
Department of Health,London North West Healthcare NHS Trust,02/07/2020,Id Screening,Protective Clothing,Denka Uk Limited,1277373,520947,"49,600.00"
Department of Health,London North West Healthcare NHS Trust,22/07/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Aah Pharmaceuticals Limited,1304807,52222721N,"32,349.12"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Id Screening,General Instruments,Toffeln Limited,1279098,536540,"55,980.00"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Id Screening,General Instruments,Toffeln Limited,1292656,543223,"46,650.00"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Id Screening,Protective Clothing,Toffeln Limited,1296350,545025,"205,999.20"
Department of Health,London North West Healthcare NHS Trust,15/07/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Aah Pharmaceuticals Limited,1294407,54530639B,"32,411.49"
Department of Health,London North West Healthcare NHS Trust,14/07/2020,Cancer Screening,General Instruments,Chrystal Consulting Limited,1299147,54746 APR2020,"154,047.60"
Department of Health,London North West Healthcare NHS Trust,14/07/2020,Cancer Screening,General Instruments,Chrystal Consulting Limited,1299146,54746 MAY2020,"154,047.60"
Department of Health,London North West Healthcare NHS Trust,22/07/2020,Capital,Estates/Building Works,Siemens Industry Software Limited,1295913,560H0082367032,"40,585.69"
Department of Health,London North West Healthcare NHS Trust,08/07/2020,Id Screening,Uniforms,Matz Medical Ltd,1298393,5833,"130,000.00"
Department of Health,London North West Healthcare NHS Trust,15/07/2020,Id Screening,Uniforms,Matz Medical Ltd,1301653,5836,"130,000.00"
Department of Health,London North West Healthcare NHS Trust,08/07/2020,Capital,Equipment,Karl Storz Endoscopy (Uk) Ltd,1291114,6020059655,"104,567.12"
Department of Health,London North West Healthcare NHS Trust,29/07/2020,Capital,Equipment,Karl Storz Endoscopy (Uk) Ltd,1298382,6020059666,"87,214.49"
Department of Health,London North West Healthcare NHS Trust,15/07/2020,Patient Transport Contract,Patient Transport Contract,Ambulance Transfers Ltd,1291737,60385,"345,748.27"
Department of Health,London North West Healthcare NHS Trust,15/07/2020,Patient Transport Contract,Patient Transport Contract,Ambulance Transfers Ltd,1291738,60387,"324,343.28"
Department of Health,London North West Healthcare NHS Trust,15/07/2020,I M & T,Substantive Management Band 9,Nhs Brent Ccg,1230952,7022603394,"29,914.35"
Department of Health,London North West Healthcare NHS Trust,08/07/2020,Capital,Equipment,Philips Healthcare,1290086,7300339963,"404,672.65"
Department of Health,London North West Healthcare NHS Trust,29/07/2020,Capital,I.C.T Hardware,Dell Computer Corporation Ltd,1297624,7402626764,"212,172.00"
Department of Health,London North West Healthcare NHS Trust,29/07/2020,Capital,I.C.T Hardware,Dell Computer Corporation Ltd,1297609,7402626765,"844,735.92"
Department of Health,London North West Healthcare NHS Trust,29/07/2020,Capital,I.C.T Hardware,Dell Computer Corporation Ltd,1298351,7402627075,"83,335.20"
Department of Health,London North West Healthcare NHS Trust,17/07/2020,Blood Products N.W.L,Blood Products,Nhs Blood And Transplant,1291751,889969,"212,436.57"
Department of Health,London North West Healthcare NHS Trust,17/07/2020,Blood Products E.H,Blood Products,Nhs Blood And Transplant,1291752,889974,"42,824.85"
Department of Health,London North West Healthcare NHS Trust,22/07/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Celgene Limited,1302178,8940220060,"36,865.58"
Department of Health,London North West Healthcare NHS Trust,29/07/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Celgene Limited,1307979,8940220540,"46,023.77"
Department of Health,London North West Healthcare NHS Trust,22/07/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Janssen Cilag Limited,1304999,930637398,"25,860.72"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,E.B.M.E.,Medical Equip Repairs & Maint,Philips Healthcare,1287773,944397645,"46,885.00"
Department of Health,London North West Healthcare NHS Trust,23/07/2020,Capital,Equipment,Sccl-Nhs Supply Chain Capital,1306315,9521000138,"25,277.40"
Department of Health,London North West Healthcare NHS Trust,23/07/2020,Capital,Equipment,Sccl-Nhs Supply Chain Capital,1306314,9521000223,"362,184.00"
Department of Health,London North West Healthcare NHS Trust,22/07/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Csl Behring Uk Ltd,1299883,994025240,"35,700.00"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Southall Bdway Health Estates,Rent Payable,Messers Mohammad & Rahman,1287418,AMAR/RD/1698,"82,500.00"
Department of Health,London North West Healthcare NHS Trust,08/07/2020,I M & T Support Maintenance,Software Purchases \ Licences,Topdesk Uk Ltd,1288615,AP2000435,"32,155.20"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Capital,Equipment,Nxstage Medical Uk Limited,1286016,CD970356260,"56,160.00"
Department of Health,London North West Healthcare NHS Trust,29/07/2020,I.B.D Nursing,Clinical Services Received,Lloyds Pharmacy Clinical Homecare,1298501,CS12341**,"59,223.60"
Department of Health,London North West Healthcare NHS Trust,29/07/2020,I.B.D Nursing,Clinical Services Received,Lloyds Pharmacy Clinical Homecare,1298500,CS12748**,"59,223.60"
Department of Health,London North West Healthcare NHS Trust,08/07/2020,I.B.D Nursing,Clinical Services Received,Lloyds Pharmacy Clinical Homecare,1292392,CS12926,"59,223.60"
Department of Health,London North West Healthcare NHS Trust,22/07/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Alliance Healthcare (Distribution) Limited,1305350,D04E09485,"29,937.60"
Department of Health,London North West Healthcare NHS Trust,22/07/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Alliance Healthcare (Distribution) Limited,1305370,D04M07085,"26,400.00"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Reserves,Substantive Speciality Reg,Rnoh Nhs Trust,1268444,E0053803,"38,540.55"
Department of Health,London North West Healthcare NHS Trust,15/07/2020,Utilities N.P.H,Electricity,Laser Energy Buying Group,1292562,E7273024,"293,637.74"
Department of Health,London North West Healthcare NHS Trust,15/07/2020,Utilities E.H,Gas,Laser Energy Buying Group,1292557,E7273025,"114,091.52"
Department of Health,London North West Healthcare NHS Trust,22/07/2020,I M & T Support Maintenance,Project Management,Cgi It Uk Limited,1293925,GB014040358,"62,005.76"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Oncology E.H,Consultant,Imperial College Healthcare Nhs Trust,1268554,H0184831,"76,013.21"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Communications N.W.L,Professional Fees,Hood & Woolf Limited,1287799,HW-INV-587,"32,312.40"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Reserves,Substantive Speciality Reg,Royal Free London Nhsft,1274776,I0188809,"256,960.03"
Department of Health,London North West Healthcare NHS Trust,22/07/2020,Reserves,Substantive Speciality Reg,Royal Free London Nhsft,1292954,I0189440,"250,060.43"
Department of Health,London North West Healthcare NHS Trust,15/07/2020,Reserves,Substantive Speciality Reg,Royal Free London Nhsft,1292863,I0189991,"276,096.23"
Department of Health,London North West Healthcare NHS Trust,08/07/2020,Pathology Contract N.W.L,Pathology Contract T.D.L.,Nwlht Analytical Llp,1276728,IN000449,"1,110,215.00"
Department of Health,London North West Healthcare NHS Trust,08/07/2020,Pathology Contract N.W.L,Pathology Contract T.D.L.,Nwlht Analytical Llp,1280144,IN000454,"850,198.40"
Department of Health,London North West Healthcare NHS Trust,08/07/2020,Pathology Contract N.W.L,Pathology Contract T.D.L.,Nwlht Analytical Llp,1290199,IN000457,"850,198.40"
Department of Health,London North West Healthcare NHS Trust,08/07/2020,Pathology Contract N.W.L,Pathology Contract T.D.L.,Nwlht Facilities Llp,1275089,IN000466,"650,980.80"
Department of Health,London North West Healthcare NHS Trust,15/07/2020,Pathology Contract N.W.L,Pathology Contract T.D.L.,Nwlht Facilities Llp,1292698,IN000471,"881,649.41"
Department of Health,London North West Healthcare NHS Trust,08/07/2020,Pathology Contract N.W.L,Pathology Contract T.D.L.,Nwlht Facilities Llp,1287343,IN000474,"881,649.41"
Department of Health,London North West Healthcare NHS Trust,08/07/2020,H.R.  Services N.W.L,Building Contract Work,Softcat Ltd,1288553,INV02595881,"33,600.00"
Department of Health,London North West Healthcare NHS Trust,08/07/2020,Capital,Software,Softcat Ltd,1291076,INV02601142,"252,300.00"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Integrated Sexual Health Hill,General Instruments,Sh24 Cic,1292667,INV-0718,"25,248.67"
Department of Health,London North West Healthcare NHS Trust,15/07/2020,Radiology N.P.H,General Instruments,Agito Medical A/S,1292680,INV07431,"60,000.00"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,O.M.F.S,Software Maintenance,Vantage Diagnostics,1287021,INV-1030,"64,560.00"
Department of Health,London North West Healthcare NHS Trust,15/07/2020,Capital,Estates/Building Works,Tr Building Services Ltd,1293424,INV-1845TR1845,"43,800.00"
Department of Health,London North West Healthcare NHS Trust,15/07/2020,Capital,Equipment,Mec Medical Limited,1292612,INV53345,"36,450.00"
Department of Health,London North West Healthcare NHS Trust,08/07/2020,I M & T Support Maintenance,Building Contract Work,Apira Ltd,1290202,LNWUH-ROST002,"31,560.00"
Department of Health,London North West Healthcare NHS Trust,01/07/2020,Balance Sheet Lnwh,Lodging,Network Homes,1286869,May-20,"94,952.85"
Department of Health,London North West Healthcare NHS Trust,22/07/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Healthcare At Home Limited,1296908,OP/9225982,"68,100.00"
Department of Health,London North West Healthcare NHS Trust,29/07/2020,Balance Sheet Lnwh,Pharmacy Stock Purchases,Healthcare At Home Limited,1302148,OP/9319737,"35,534.00"
Department of Health,London North West Healthcare NHS Trust,22/07/2020,I M & T Support Maintenance,Software Purchases \ Licences,Phoenix Software Ltd,1293562,OP/I869563,"35,880.00"
Department of Health,London North West Healthcare NHS Trust,22/07/2020,I M & T Support Maintenance,Software Purchases \ Licences,Phoenix Software Ltd,1293849,OP/I869640,"202,635.02"
Department of Health,London North West Healthcare NHS Trust,20/07/2020,I M & T Support Maintenance,Software Purchases \ Licences,Topdesk Uk Ltd,1304337,P2000435,"32,155.20"
Department of Health,London North West Healthcare NHS Trust,29/07/2020,Capital,Software,Jac Computer Services Limited,1298726,P-INV-000620,"27,326.40"
Department of Health,London North West Healthcare NHS Trust,08/07/2020,Capital,I.C.T Hardware,Cdw Ltd,1290716,PSINV02778006,"47,763.72"
Department of Health,London North West Healthcare NHS Trust,15/07/2020,Commercial,Rent Payable,Hayes Cottage Nursing Home Limited,1293548,S-HAYES-INV-006,"40,500.00"
Department of Health,London North West Healthcare NHS Trust,29/07/2020,Commercial,Liability To 3rd Party Ins,Nhs Resolution,1302697,SICX402367,"46,365.90"
