Supplier,Department family,Date,Expense area,Expense type,Transaction Number,amount
Advanced Business Solutions,Balance Sheet,23/10/2020,Balance Sheet,Additions - Information Techno,1447743,"73,802"
Apogee Corporation,It,23/10/2020,It System Support,Photocopying/Xerox,1448174,"49,752"
Brake Bros (Foodservice) Ltd,Facilities,01/10/2020,Catering-Patient Services E&F,Provisions (Food & Drink),1445979,"26,693"
Cerner Ltd,Balance Sheet,01/10/2020,Balance Sheet,Additions - Information Techno,1442048,"86,737"
Cerner Ltd,Balance Sheet,23/10/2020,Balance Sheet,Additions - Information Techno,1446649,"69,154"
Cerner Ltd,It,15/10/2020,Application Support,Cerner Millenium Ann Support,1448500,"209,483"
Communitas Clinics Ltd,Planned Care,01/10/2020,Ent - Medical,Contract External,1445934,"51,664"
Communitas Clinics Ltd,Planned Care,23/10/2020,Ent - Medical,Contract External,1449899,"51,664"
Croydon Gp Collaborative Ltd,Clinical Support Service,01/10/2020,Anti Coagulation,Contract External,1430575,"33,293"
Croydon Gp Collaborative Ltd,Clinical Support Service,01/10/2020,Anti Coagulation,Contract External,1434450,"33,293"
Croydon Gp Collaborative Ltd,Clinical Support Service,01/10/2020,Anti Coagulation,Contract External,1445143,"33,293"
Croydon Gp Collaborative Ltd,Emergency Services,01/10/2020,Adult Ucc,Gp Collaborative,1445144,"118,996"
Croydon Gp Collaborative Ltd,Emergency Services,01/10/2020,Adult Ucc,Gp Collaborative,1445149,"119,237"
Croydon Gp Collaborative Ltd,Emergency Services,28/10/2020,Adult Ucc,Gp Collaborative,1449835,"118,996"
Dr Foster Ltd,It,28/10/2020,"It Hardware,Software&Licensing",Computer - Maint & Licences,1451062,"35,400"
Edf Energy,Facilities,23/10/2020,Energy - Cuh,Electricity,1448532,"30,856"
Edf Energy,Facilities,28/10/2020,Energy - Cuh,Electricity,1450209,"45,468"
Egton Medical Information Systems Ltd,It,15/10/2020,Application Support,Emis / Epex Support Contract,1448469,"67,352"
G4s Facilities Management (Uk) Ltd,Facilities,28/10/2020,Domestic Contract,Contract - Domestic,1450227,"570,836"
