Supplier,Department family,Date,Expense area,Expense type,Transaction Number,amount
Advanced Business Solutions,It,18/03/2021,"It Hardware,Software&Licensing",Computer - Maint & Licences,1476523,"42,895.47"
Ascribe Ltd Trading As Emis Health,It,26/03/2021,Application Support,Emis / Epex Support Contract,1473068,"67,351.60"
Bac Enterprises Ltd,Corona Virus,26/03/2021,Swl Vaccine Programme,Building External Contract,1476251,"51,455.52"
Bencroft Holding Corporation,Facilities,04/03/2021,Leander Road,Nhs Property Rental Charge,1473413,"42,480.00"
Bmm Weston,Facilities,18/03/2021,Sterile & Disinfection Unit,Medical & Surgical Equip Gen,1474959,"59,975.00"
Britplas Commercial Ltd,Balance Sheet,26/03/2021,Balance Sheet,Additions - Assets Under Const,1478510,"33,143.47"
Capsticks,Clinical Support Service,26/03/2021,Swlp Hub,Legal Fees,1476697,"33,552.10"
Carbon Architecture Ltd,Balance Sheet,11/03/2021,Balance Sheet,Additions - Assets Under Const,1474348,"46,848.00"
Cerner Ltd,Balance Sheet,11/03/2021,Balance Sheet,Additions - Information Techno,1465537,"86,737.41"
Cerner Ltd,It,11/03/2021,Application Support,Cerner Millenium Ann Support,1473818,"209,483.40"
Civica Uk Ltd,It,18/03/2021,"It Hardware,Software&Licensing",Computer - Maint & Licences,1476319,"28,786.00"
Communitas Clinics Ltd,Planned Care,18/03/2021,Ent - Medical,Contract External,1476223,"51,664.00"
Compass Services Uk,Corona Virus,18/03/2021,Swl Vaccine Programme,Building External Contract,1476524,"69,219.46"
Croydon Council,Facilities,04/03/2021,General Estate,Nhs Property Service Charge,1473060,"54,144.49"
Croydon Gp Collaborative Ltd,Clinical Support Service,04/03/2021,Anti Coagulation,Contract External,1472364,"33,293.33"
Croydon Gp Collaborative Ltd,Clinical Support Service,04/03/2021,Anti Coagulation,Contract External,1472366,"33,293.33"
Croydon Gp Collaborative Ltd,Clinical Support Service,04/03/2021,Anti Coagulation,Contract External,1472374,"33,293.33"
Croydon Gp Collaborative Ltd,Clinical Support Service,11/03/2021,Anti Coagulation,Contract External,1445148,"33,293.33"
Croydon Gp Collaborative Ltd,Clinical Support Service,11/03/2021,Anti Coagulation,Contract External,1474804,"33,293.33"
Croydon Gp Collaborative Ltd,Clinical Support Service,26/03/2021,Anti Coagulation,Contract External,1472371,"44,654.00"
Croydon Gp Collaborative Ltd,Clinical Support Service,26/03/2021,Anti Coagulation,Contract External,1476220,"33,293.33"
Croydon Gp Collaborative Ltd,Emergency Services,04/03/2021,Adult Ucc,Gp Collaborative,1472365,"118,995.78"
Croydon Gp Collaborative Ltd,Emergency Services,04/03/2021,Adult Ucc,Gp Collaborative,1472367,"118,995.78"
Croydon Gp Collaborative Ltd,Emergency Services,04/03/2021,Adult Ucc,Gp Collaborative,1472375,"118,995.78"
Edf Energy,Facilities,26/03/2021,Energy - Cuh,Electricity,1478029,"30,540.62"
E & F Construction Ltd,Balance Sheet,18/03/2021,Balance Sheet,Additions - Assets Under Const,1476434,"43,136.88"
Egton Medical Information Systems Ltd,It,18/03/2021,Application Support,Emis / Epex Support Contract,1475959,"67,351.60"
Elis Uk Ltd,Facilities,11/03/2021,Linen & Laundry Services,Contract - Laundry,1468576,"56,047.68"
G4s Facilities Management (Uk) Ltd,Facilities,26/03/2021,Domestic Contract,Contract - Domestic,1472782,"569,873.96"
G4s Facilities Management (Uk) Ltd,Facilities,26/03/2021,Domestic Contract,Contract - Domestic,1472784,"52,548.18"
G4s Facilities Management (Uk) Ltd,Facilities,26/03/2021,Domestic Contract,Contract - Domestic,1475990,"567,869.98"
Gdp Projects Ltd,Balance Sheet,11/03/2021,Balance Sheet,Additions - Assets Under Const,1474915,"49,368.00"
Gdp Projects Ltd,Balance Sheet,26/03/2021,Balance Sheet,Additions - Assets Under Const,1477267,"505,188.00"
Gdp Projects Ltd,Balance Sheet,26/03/2021,Balance Sheet,Additions - Assets Under Const,1478353,"135,762.00"
Gdp Projects Ltd,Corona Virus,11/03/2021,Swl Vaccine Programme,Materials - Building,1474917,"38,440.80"
Gdp Projects Ltd,Corona Virus,18/03/2021,Swl Vaccine Programme,Materials - Building,1474913,"57,128.40"
Gdp Projects Ltd,Corona Virus,18/03/2021,Swl Vaccine Programme,Materials - Building,1475655,"28,443.00"
Gdp Projects Ltd,Corona Virus,18/03/2021,Swl Vaccine Programme,Materials - Building,1475656,"27,262.50"
Gdp Projects Ltd,Corona Virus,26/03/2021,Swl Vaccine Programme,Materials - Building,1475659,"52,740.48"
Gdp Projects Ltd,Corona Virus,26/03/2021,Swl Vaccine Programme,Materials - Building,1477274,"53,343.60"
Grundon Waste Management Ltd,Facilities,18/03/2021,Waste Management,Refuse Clinical Waste,1469340,"31,868.29"
Hats Group Ltd,Facilities,04/03/2021,Patient Transport,Patient Non Emerg. Transport,1472797,"156,767.32"
Hats Group Ltd,Facilities,11/03/2021,Patient Transport,Patient Non Emerg. Transport,1474939,"53,643.00"
Hats Group Ltd,Facilities,18/03/2021,Patient Transport,Patient Non Emerg. Transport,1476436,"156,767.32"
Icts Uk Ltd,Facilities,11/03/2021,Security,Contract - Security Services,1474956,"49,060.86"
Inhealth Ltd,Clinical Support Service,26/03/2021,Mri'S & Other Scans,Mri Contract - In Health,1467186,"178,022.28"
Inhealth Ltd,Clinical Support Service,26/03/2021,Mri'S & Other Scans,Mri Contract - In Health,1468601,"190,015.03"
Inhealth Ltd,Clinical Support Service,26/03/2021,Mri'S & Other Scans,Mri Contract - In Health,1477994,"173,385.79"
Insight Direct Uk Ltd,Balance Sheet,11/03/2021,Balance Sheet,Additions - Information Techno,1473304,"60,114.96"
Karl Storz Endoscopy (Uk) Ltd,Balance Sheet,26/03/2021,Balance Sheet,Additions - Plant & Machinery,1477633,"180,876.60"
Keystream Healthcare Resources Limited,Balance Sheet,18/03/2021,Balance Sheet,Additions - Information Techno,1475100,"26,950.00"
Keystream Healthcare Resources Limited,Balance Sheet,18/03/2021,Balance Sheet,Additions - Information Techno,1475106,"25,800.00"
Keystream Healthcare Resources Limited,Balance Sheet,18/03/2021,Balance Sheet,Additions - Information Techno,1475110,"27,000.00"
Keystream Healthcare Resources Limited,Balance Sheet,26/03/2021,Balance Sheet,Additions - Information Techno,1476494,"26,660.00"
Keystream Healthcare Resources Limited,Balance Sheet,26/03/2021,Balance Sheet,Additions - Information Techno,1476497,"36,565.00"
Keystream Healthcare Resources Limited,Balance Sheet,26/03/2021,Balance Sheet,Additions - Information Techno,1476663,"34,675.00"
Kinetic-Id Ltd,Balance Sheet,18/03/2021,Balance Sheet,Additions - Information Techno,1466786,"25,974.00"
Kinetic-Id Ltd,Balance Sheet,18/03/2021,Balance Sheet,Additions - Information Techno,1472750,"25,974.00"
Kinetic-Id Ltd,Balance Sheet,18/03/2021,Balance Sheet,Additions - Information Techno,1474397,"25,974.00"
Kinetic-Id Ltd,Balance Sheet,18/03/2021,Balance Sheet,Additions - Information Techno,1476307,"77,922.00"
"Kingsway Enterprises Ltd, T/A Kingsway Group",Balance Sheet,26/03/2021,Balance Sheet,Additions - Assets Under Const,1478026,"46,388.40"
"Logan Construction (South-East ) Limited			",Balance Sheet,04/03/2021,Balance Sheet,Additions - Assets Under Const,1473894,"112,902.38"
Maguire Brothers,Balance Sheet,04/03/2021,Balance Sheet,Additions - Assets Under Const,1473092,"29,181.07"
Mill Systems Ltd.,It,11/03/2021,"It Hardware,Software&Licensing",Computer - Maint & Licences,1474635,"28,616.00"
Mindray Uk Ltd,Balance Sheet,04/03/2021,Balance Sheet,Additions - Plant & Machinery,1470267,"39,989.40"
Mis Healthcare,Balance Sheet,18/03/2021,Balance Sheet,Additions - Plant & Machinery,1471640,"127,392.00"
Nautilus Consulting Ltd,Balance Sheet,04/03/2021,Balance Sheet,Additions - Software Licen (G),1473923,"28,710.00"
Nhs Professionals Ltd,Emergency Services,04/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1473921,"36,167.69"
Nhs Professionals Ltd,Anaesthetic/Theatres,04/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1473921,"31,249.60"
Nhs Professionals Ltd,Community,04/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1473921,"3,822.34"
Nhs Professionals Ltd,Childrens,04/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1473921,385.66
Nhs Professionals Ltd,Planned Care,04/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1473921,"11,552.39"
Nhs Professionals Ltd,Womens,04/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1473921,"18,053.70"
Nhs Professionals Ltd,Medical,04/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1473921,"30,655.48"
Nhs Professionals Ltd,Emergency Services,11/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1474586,"52,781.62"
Nhs Professionals Ltd,Anaesthetic/Theatres,11/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1474586,"35,661.82"
Nhs Professionals Ltd,Community,11/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1474586,"5,735.11"
Nhs Professionals Ltd,Childrens,11/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1474586,335.53
Nhs Professionals Ltd,Planned Care,11/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1474586,"17,543.62"
Nhs Professionals Ltd,Womens,11/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1474586,"13,877.19"
Nhs Professionals Ltd,Medical,11/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1474586,"39,935.98"
Nhs Professionals Ltd,Corporate Directors,11/03/2021,Day Surgery Unit,Bank A&C - Band 2,1474335,"42,697.37"
Nhs Professionals Ltd,Facilities,11/03/2021,Day Surgery Unit,Bank A&C - Band 2,1474335,"31,270.98"
Nhs Professionals Ltd,Emergency Services,11/03/2021,Day Surgery Unit,Bank A&C - Band 2,1474335,"64,439.75"
Nhs Professionals Ltd,Anaesthetic/Theatres,11/03/2021,Day Surgery Unit,Bank A&C - Band 2,1474335,"15,448.87"
Nhs Professionals Ltd,Community,11/03/2021,Day Surgery Unit,Bank A&C - Band 2,1474335,"21,165.86"
Nhs Professionals Ltd,Clinical Support Service,11/03/2021,Day Surgery Unit,Bank A&C - Band 2,1474335,"7,972.82"
Nhs Professionals Ltd,Childrens,11/03/2021,Day Surgery Unit,Bank A&C - Band 2,1474335,"5,961.53"
Nhs Professionals Ltd,Planned Care,11/03/2021,Day Surgery Unit,Bank A&C - Band 2,1474335,"53,129.90"
Nhs Professionals Ltd,Womens,11/03/2021,Day Surgery Unit,Bank A&C - Band 2,1474335,"44,524.26"
Nhs Professionals Ltd,Medical,11/03/2021,Day Surgery Unit,Bank A&C - Band 2,1474335,"115,325.69"
Nhs Professionals Ltd,Corporate Directors,11/03/2021,Day Surgery Unit,Bank A&C - Band 2,1475123,"26,456.36"
Nhs Professionals Ltd,Facilities,11/03/2021,Day Surgery Unit,Bank A&C - Band 2,1475123,"23,553.11"
Nhs Professionals Ltd,Emergency Services,11/03/2021,Day Surgery Unit,Bank A&C - Band 2,1475123,"61,974.43"
Nhs Professionals Ltd,Anaesthetic/Theatres,11/03/2021,Day Surgery Unit,Bank A&C - Band 2,1475123,"19,726.78"
Nhs Professionals Ltd,Community,11/03/2021,Day Surgery Unit,Bank A&C - Band 2,1475123,"24,207.53"
Nhs Professionals Ltd,Clinical Support Service,11/03/2021,Day Surgery Unit,Bank A&C - Band 2,1475123,"6,981.93"
Nhs Professionals Ltd,Childrens,11/03/2021,Day Surgery Unit,Bank A&C - Band 2,1475123,"7,516.87"
Nhs Professionals Ltd,Planned Care,11/03/2021,Day Surgery Unit,Bank A&C - Band 2,1475123,"46,270.67"
Nhs Professionals Ltd,Womens,11/03/2021,Day Surgery Unit,Bank A&C - Band 2,1475123,"34,412.07"
Nhs Professionals Ltd,Medical,11/03/2021,Day Surgery Unit,Bank A&C - Band 2,1475123,"125,030.18"
Nhs Professionals Ltd,Emergency Services,18/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1476386,"40,743.45"
Nhs Professionals Ltd,Anaesthetic/Theatres,18/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1476386,"40,817.44"
Nhs Professionals Ltd,Community,18/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1476386,"5,831.75"
Nhs Professionals Ltd,Childrens,18/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1476386,"2,059.69"
Nhs Professionals Ltd,Planned Care,18/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1476386,"17,263.02"
Nhs Professionals Ltd,Womens,18/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1476386,"21,022.35"
Nhs Professionals Ltd,Medical,18/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1476386,"33,953.37"
Nhs Professionals Ltd,Corporate Directors,18/03/2021,Day Surgery Unit,Bank A&C - Band 2,1476545,"36,831.43"
Nhs Professionals Ltd,Facilities,18/03/2021,Day Surgery Unit,Bank A&C - Band 2,1476545,"24,482.62"
Nhs Professionals Ltd,Emergency Services,18/03/2021,Day Surgery Unit,Bank A&C - Band 2,1476545,"50,331.74"
Nhs Professionals Ltd,Anaesthetic/Theatres,18/03/2021,Day Surgery Unit,Bank A&C - Band 2,1476545,"18,580.16"
Nhs Professionals Ltd,Community,18/03/2021,Day Surgery Unit,Bank A&C - Band 2,1476545,"18,482.22"
Nhs Professionals Ltd,Clinical Support Service,18/03/2021,Day Surgery Unit,Bank A&C - Band 2,1476545,"9,984.31"
Nhs Professionals Ltd,Childrens,18/03/2021,Day Surgery Unit,Bank A&C - Band 2,1476545,"8,867.23"
Nhs Professionals Ltd,Planned Care,18/03/2021,Day Surgery Unit,Bank A&C - Band 2,1476545,"50,695.29"
Nhs Professionals Ltd,Womens,18/03/2021,Day Surgery Unit,Bank A&C - Band 2,1476545,"35,245.39"
Nhs Professionals Ltd,Medical,18/03/2021,Day Surgery Unit,Bank A&C - Band 2,1476545,"115,179.69"
Nhs Professionals Ltd,Emergency Services,26/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1477234,"59,799.53"
Nhs Professionals Ltd,Anaesthetic/Theatres,26/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1477234,"38,170.58"
Nhs Professionals Ltd,Community,26/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1477234,"6,208.87"
Nhs Professionals Ltd,Childrens,26/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1477234,"2,416.42"
Nhs Professionals Ltd,Planned Care,26/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1477234,"13,083.93"
Nhs Professionals Ltd,Womens,26/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1477234,"19,889.35"
Nhs Professionals Ltd,Medical,26/03/2021,Day Surgery Unit,Agency Nurse - Band 6,1477234,"38,626.06"
Nhs Professionals Ltd,Corporate Directors,26/03/2021,Day Surgery Unit,Bank A&C - Band 2,1478359,"29,524.19"
Nhs Professionals Ltd,Facilities,26/03/2021,Day Surgery Unit,Bank A&C - Band 2,1478359,"26,873.69"
Nhs Professionals Ltd,Emergency Services,26/03/2021,Day Surgery Unit,Bank A&C - Band 2,1478359,"80,079.50"
Nhs Professionals Ltd,Anaesthetic/Theatres,26/03/2021,Day Surgery Unit,Bank A&C - Band 2,1478359,"17,873.44"
Nhs Professionals Ltd,Community,26/03/2021,Day Surgery Unit,Bank A&C - Band 2,1478359,"28,064.33"
Nhs Professionals Ltd,Clinical Support Service,26/03/2021,Day Surgery Unit,Bank A&C - Band 2,1478359,"10,474.50"
Nhs Professionals Ltd,Childrens,26/03/2021,Day Surgery Unit,Bank A&C - Band 2,1478359,"7,119.47"
Nhs Professionals Ltd,Planned Care,26/03/2021,Day Surgery Unit,Bank A&C - Band 2,1478359,"53,349.19"
Nhs Professionals Ltd,Womens,26/03/2021,Day Surgery Unit,Bank A&C - Band 2,1478359,"25,694.16"
Nhs Professionals Ltd,Medical,26/03/2021,Day Surgery Unit,Bank A&C - Band 2,1478359,"129,482.38"
Nhs Professionals Ltd,Corporate Directors,18/03/2021,Ward - Coulsdon 1,Bank Nurse - Band 2,1476547,"5,913.80"
Nhs Professionals Ltd,Facilities,18/03/2021,Ward - Coulsdon 1,Bank Nurse - Band 2,1476547,"3,097.00"
Nhs Professionals Ltd,Emergency Services,18/03/2021,Ward - Coulsdon 1,Bank Nurse - Band 2,1476547,"3,246.34"
Nhs Professionals Ltd,Anaesthetic/Theatres,18/03/2021,Ward - Coulsdon 1,Bank Nurse - Band 2,1476547,254.05
Nhs Professionals Ltd,Community,18/03/2021,Ward - Coulsdon 1,Bank Nurse - Band 2,1476547,"17,399.03"
Nhs Professionals Ltd,Clinical Support Service,18/03/2021,Ward - Coulsdon 1,Bank Nurse - Band 2,1476547,"1,618.50"
Nhs Professionals Ltd,Planned Care,18/03/2021,Ward - Coulsdon 1,Bank Nurse - Band 2,1476547,468.36
Nhs Professionals Ltd,Womens,18/03/2021,Ward - Coulsdon 1,Bank Nurse - Band 2,1476547,"4,253.42"
Nhs Professionals Ltd,Medical,18/03/2021,Ward - Coulsdon 1,Bank Nurse - Band 2,1476547,"7,846.54"
Nhs Professionals Ltd,Corporate Directors,04/03/2021,Macmillan Information Centre,Bank A&C - Band 4,1473879,"9,723.98"
Nhs Professionals Ltd,Facilities,04/03/2021,Macmillan Information Centre,Bank A&C - Band 4,1473879,"4,042.32"
Nhs Professionals Ltd,Emergency Services,04/03/2021,Macmillan Information Centre,Bank A&C - Band 4,1473879,"2,549.48"
Nhs Professionals Ltd,Community,04/03/2021,Macmillan Information Centre,Bank A&C - Band 4,1473879,"24,573.03"
Nhs Professionals Ltd,Clinical Support Service,04/03/2021,Macmillan Information Centre,Bank A&C - Band 4,1473879,355.74
Nhs Professionals Ltd,Planned Care,04/03/2021,Macmillan Information Centre,Bank A&C - Band 4,1473879,"3,071.37"
Nhs Professionals Ltd,Womens,04/03/2021,Macmillan Information Centre,Bank A&C - Band 4,1473879,"1,078.24"
Nhs Professionals Ltd,Medical,04/03/2021,Macmillan Information Centre,Bank A&C - Band 4,1473879,"7,472.99"
Nhs Professionals Ltd,Corporate Directors,11/03/2021,Macmillan Information Centre,Bank Nurse - Band 7,1475125,"6,383.25"
Nhs Professionals Ltd,Facilities,11/03/2021,Macmillan Information Centre,Bank Nurse - Band 7,1475125,"3,112.52"
Nhs Professionals Ltd,Emergency Services,11/03/2021,Macmillan Information Centre,Bank Nurse - Band 7,1475125,"4,245.18"
Nhs Professionals Ltd,Community,11/03/2021,Macmillan Information Centre,Bank Nurse - Band 7,1475125,"16,353.90"
Nhs Professionals Ltd,Clinical Support Service,11/03/2021,Macmillan Information Centre,Bank Nurse - Band 7,1475125,801.97
Nhs Professionals Ltd,Womens,11/03/2021,Macmillan Information Centre,Bank Nurse - Band 7,1475125,"3,142.69"
Nhs Professionals Ltd,Medical,11/03/2021,Macmillan Information Centre,Bank Nurse - Band 7,1475125,"6,352.14"
Nhs Professionals Ltd,Corporate Directors,26/03/2021,Macmillan Information Centre,Bank A&C - Band 4,1478364,"11,286.87"
Nhs Professionals Ltd,Facilities,26/03/2021,Macmillan Information Centre,Bank A&C - Band 4,1478364,"3,621.60"
Nhs Professionals Ltd,Emergency Services,26/03/2021,Macmillan Information Centre,Bank A&C - Band 4,1478364,"2,929.97"
Nhs Professionals Ltd,Community,26/03/2021,Macmillan Information Centre,Bank A&C - Band 4,1478364,"17,345.32"
Nhs Professionals Ltd,Clinical Support Service,26/03/2021,Macmillan Information Centre,Bank A&C - Band 4,1478364,"1,202.52"
Nhs Professionals Ltd,Planned Care,26/03/2021,Macmillan Information Centre,Bank A&C - Band 4,1478364,"1,782.66"
Nhs Professionals Ltd,Womens,26/03/2021,Macmillan Information Centre,Bank A&C - Band 4,1478364,"1,871.56"
Nhs Professionals Ltd,Medical,26/03/2021,Macmillan Information Centre,Bank A&C - Band 4,1478364,"4,840.14"
Nhs Shared Business Services Limited,Corporate Directors,26/03/2021,Financial Systems,Professional Fees,1478438,"187,298.00"
Nhs Shared Business Services Limited,Corporate Directors,26/03/2021,Financial Systems,Professional Fees,1478445,"60,000.00"
Paul Hartmann Ltd,Womens,26/03/2021,Continence Advisor,Professional Fees,1459224,"42,901.32"
Paul Hartmann Ltd,Womens,26/03/2021,Continence Advisor,Professional Fees,1464325,"43,633.98"
Pea Soup Hosting Limited,Balance Sheet,11/03/2021,Balance Sheet,Additions - Information Techno,1474664,"74,592.00"
Pea Soup Hosting Limited,Balance Sheet,11/03/2021,Balance Sheet,Additions - Information Techno,1474665,"88,306.90"
Philips Healthcare,Medical,18/03/2021,Cardiology Dept-Cbu2,Msse Maint Contr Costs - Other,1476022,"30,678.00"
Primary Care Partners Ltd,Emergency Services,11/03/2021,Adult Ucc,At Medics,1469285,"34,047.00"
Ranns Construction Ltd,Balance Sheet,04/03/2021,Balance Sheet,Additions - Assets Under Const,1473891,"38,507.89"
Resuscitation & Medical Consultancy Ltd,Corona Virus,04/03/2021,Swl Vaccine Programme,Professional Fees,1468736,"33,600.00"
Solutions Asset Finance Ltd,Facilities,18/03/2021,Bed & Mattress Maint (Hil-Rom),Bed Hire,1475672,"50,915.58"
Solutions Asset Finance Ltd,Facilities,26/03/2021,Bed & Mattress Maint (Hil-Rom),Bed Hire,1476500,"50,915.58"
Steris Solutions Ltd,Balance Sheet,18/03/2021,Balance Sheet,Additions - Plant & Machinery,1476027,"71,364.00"
Supply Chain Coordination Ltd Consumables 101,Balance Sheet,04/03/2021,Balance Sheet,Mat Man Nhs Sc Reconciliation,1471947,"87,128.05"
Supply Chain Coordination Ltd Consumables 101,Balance Sheet,04/03/2021,Balance Sheet,Mat Man Nhs Sc Reconciliation,1472156,"107,435.24"
Supply Chain Coordination Ltd Consumables 101,Balance Sheet,11/03/2021,Balance Sheet,Increase - Redundancy,1473103,"172,938.38"
Supply Chain Coordination Ltd Consumables 101,Balance Sheet,18/03/2021,Balance Sheet,Mat Man Nhs Sc Reconciliation,1474723,"104,160.09"
Supply Chain Coordination Ltd Consumables 101,Balance Sheet,26/03/2021,Balance Sheet,Mat Man Nhs Sc Reconciliation,1476343,"187,740.96"
Supply Chain Coordination Ltd Consumables 101,Balance Sheet,26/03/2021,Balance Sheet,Mat Man Nhs Sc Reconciliation,1477240,"87,179.70"
