Supplier,Department family,Date,Expense area,Expense type,Transaction Number,amount
6th Dimension Ltd,Corona Virus,14/01/2021,Swl Vaccine Programme,Building External Contract,1464167,"25,999.35"
Adp Architecture Limited,Balance Sheet,14/01/2021,Balance Sheet,Additions - Assets Under Const,1463392,"62,291.66"
Adp Architecture Limited,Balance Sheet,14/01/2021,Balance Sheet,Additions - Assets Under Const,1463393,"57,333.34"
Carbon Architecture Ltd,Balance Sheet,14/01/2021,Balance Sheet,Additions - Assets Under Const,1464227,"27,511.00"
Carbon Architecture Ltd,Balance Sheet,21/01/2021,Balance Sheet,Additions - Assets Under Const,1464930,"33,300.00"
Cerner Ltd,It,27/01/2021,Application Support,Cerner Millenium Ann Support,1466191,"209,483.40"
Communitas Clinics Ltd,Planned Care,21/01/2021,Ent - Medical,Contract External,1464924,"51,664.00"
Elis Uk Ltd,Facilities,07/01/2021,Linen & Laundry Services,Contract - Laundry,1460035,"67,549.88"
Elis Uk Ltd,Facilities,27/01/2021,Linen & Laundry Services,Contract - Laundry,1463208,"63,040.52"
Foley Ltd,Corona Virus,21/01/2021,Swl Vaccine Programme,Engineering External Contract,1465718,"46,020.00"
Gray Dungate Poole Ltd,Balance Sheet,27/01/2021,Balance Sheet,Additions - Assets Under Const,1461739,"159,548.40"
Gray Dungate Poole Ltd,Balance Sheet,14/01/2021,Balance Sheet,Additions - Assets Under Const,1461746,"125,324.40"
Hats Group Ltd,Facilities,21/01/2021,Patient Transport,Patient Non Emerg. Transport,1465154,"83,322.01"
Hats Group Ltd,Facilities,27/01/2021,Patient Transport,Patient Non Emerg. Transport,1466799,"156,767.32"
Hats Group Ltd,Facilities,27/01/2021,Patient Transport,Patient Non Emerg. Transport,1466800,"156,767.32"
Icts Uk Ltd,Facilities,27/01/2021,Security,Contract - Security Services,1464066,"54,618.29"
Insight Direct Uk Ltd,It,14/01/2021,"It Hardware,Software&Licensing",Computer Hardware Purchases,1445081,"25,547.52"
Insight Direct Uk Ltd,Balance Sheet,14/01/2021,Balance Sheet,Additions - Information Techno,1449718,"53,649.79"
Kinetic-Id Ltd,Balance Sheet,27/01/2021,Balance Sheet,Additions - Information Techno,1465490,"25,974.00"
Kingston University,Corporate Directors,27/01/2021,T&E - Mpet,Course Fees,1437517,"40,000.00"
Lloyds Pharmacy Ltd,Clinical Support Service,27/01/2021,Pharmacy- Drugs Issues,Drugs,1464070,"246,173.06"
"Logan Construction (South-East ) Limited			",Balance Sheet,07/01/2021,Balance Sheet,Additions - Assets Under Const,1461485,"84,475.34"
Maguire Brothers,Balance Sheet,07/01/2021,Balance Sheet,Additions - Assets Under Const,1462591,"68,467.21"
Medica Reporting Ltd (Medica Group),Clinical Support Service,07/01/2021,Radiology - Medical,Fees For Medical Reports,1456529,"32,947.20"
Medica Reporting Ltd (Medica Group),Clinical Support Service,07/01/2021,Radiology - Medical,Fees For Medical Reports,1459215,"29,566.36"
Neptunus Ltd,Corona Virus,14/01/2021,Swl Vaccine Programme,Building External Contract,1464711,"121,554.72"
Nhs Professionals Ltd,Corporate Directors,21/01/2021,Corporate Nursing,Professional Fees,1457532,"59,987.84"
Nhs Professionals Ltd,Corporate Directors,27/01/2021,Corporate Nursing,Professional Fees,1462168,"96,556.70"
Nhs Professionals Ltd,Anaesthetic/Theatres,07/01/2021,Day Surgery Unit,Agency Nurse - Band 6,1462187,"46,578.21"
Nhs Professionals Ltd,Childrens,07/01/2021,Day Surgery Unit,Agency Nurse - Band 6,1462187,"3,237.25"
Nhs Professionals Ltd,Community,07/01/2021,Day Surgery Unit,Agency Nurse - Band 6,1462187,"4,386.23"
Nhs Professionals Ltd,Emergency Services,07/01/2021,Day Surgery Unit,Agency Nurse - Band 6,1462187,"35,901.37"
Nhs Professionals Ltd,Medical,07/01/2021,Day Surgery Unit,Agency Nurse - Band 6,1462187,"38,472.24"
Nhs Professionals Ltd,Planned Care,07/01/2021,Day Surgery Unit,Agency Nurse - Band 6,1462187,"2,422.14"
Nhs Professionals Ltd,Womens,07/01/2021,Day Surgery Unit,Agency Nurse - Band 6,1462187,"13,611.89"
Nhs Professionals Ltd,Anaesthetic/Theatres,07/01/2021,Day Surgery Unit,Bank A&C - Band 2,1462197,"13,077.13"
Nhs Professionals Ltd,Childrens,07/01/2021,Day Surgery Unit,Bank A&C - Band 2,1462197,"2,488.02"
Nhs Professionals Ltd,Clinical Support Service,07/01/2021,Day Surgery Unit,Bank A&C - Band 2,1462197,"5,945.05"
Nhs Professionals Ltd,Community,07/01/2021,Day Surgery Unit,Bank A&C - Band 2,1462197,"10,309.46"
Nhs Professionals Ltd,Corporate Directors,07/01/2021,Day Surgery Unit,Bank A&C - Band 2,1462197,"15,683.81"
Nhs Professionals Ltd,Emergency Services,07/01/2021,Day Surgery Unit,Bank A&C - Band 2,1462197,"42,614.70"
Nhs Professionals Ltd,Facilities,07/01/2021,Day Surgery Unit,Bank A&C - Band 2,1462197,"14,674.01"
Nhs Professionals Ltd,It,07/01/2021,Day Surgery Unit,Bank A&C - Band 2,1462197,412.17
Nhs Professionals Ltd,Medical,07/01/2021,Day Surgery Unit,Bank A&C - Band 2,1462197,"60,484.92"
Nhs Professionals Ltd,Planned Care,07/01/2021,Day Surgery Unit,Bank A&C - Band 2,1462197,"23,042.44"
Nhs Professionals Ltd,Womens,07/01/2021,Day Surgery Unit,Bank A&C - Band 2,1462197,"30,549.75"
Nhs Professionals Ltd,Anaesthetic/Theatres,07/01/2021,Day Surgery Unit,Agency Nurse - Band 6,1462932,"17,635.34"
Nhs Professionals Ltd,Community,07/01/2021,Day Surgery Unit,Agency Nurse - Band 6,1462932,461.72
Nhs Professionals Ltd,Emergency Services,07/01/2021,Day Surgery Unit,Agency Nurse - Band 6,1462932,"31,663.45"
Nhs Professionals Ltd,Medical,07/01/2021,Day Surgery Unit,Agency Nurse - Band 6,1462932,"32,923.42"
Nhs Professionals Ltd,Planned Care,07/01/2021,Day Surgery Unit,Agency Nurse - Band 6,1462932,"4,550.33"
Nhs Professionals Ltd,Womens,07/01/2021,Day Surgery Unit,Agency Nurse - Band 6,1462932,"4,563.50"
Nhs Professionals Ltd,Anaesthetic/Theatres,14/01/2021,Day Surgery Unit,Bank A&C - Band 2,1463485,"17,507.66"
Nhs Professionals Ltd,Childrens,14/01/2021,Day Surgery Unit,Bank A&C - Band 2,1463485,"7,312.51"
Nhs Professionals Ltd,Clinical Support Service,14/01/2021,Day Surgery Unit,Bank A&C - Band 2,1463485,"7,760.24"
Nhs Professionals Ltd,Community,14/01/2021,Day Surgery Unit,Bank A&C - Band 2,1463485,"24,427.36"
Nhs Professionals Ltd,Corporate Directors,14/01/2021,Day Surgery Unit,Bank A&C - Band 2,1463485,"31,925.56"
Nhs Professionals Ltd,Emergency Services,14/01/2021,Day Surgery Unit,Bank A&C - Band 2,1463485,"62,279.52"
Nhs Professionals Ltd,Facilities,14/01/2021,Day Surgery Unit,Bank A&C - Band 2,1463485,"46,045.36"
Nhs Professionals Ltd,It,14/01/2021,Day Surgery Unit,Bank A&C - Band 2,1463485,274.78
Nhs Professionals Ltd,Medical,14/01/2021,Day Surgery Unit,Bank A&C - Band 2,1463485,"126,881.28"
Nhs Professionals Ltd,Planned Care,14/01/2021,Day Surgery Unit,Bank A&C - Band 2,1463485,"36,999.92"
Nhs Professionals Ltd,Womens,14/01/2021,Day Surgery Unit,Bank A&C - Band 2,1463485,"51,379.53"
Nhs Professionals Ltd,Clinical Support Service,14/01/2021,Macmillan Information Centre,Bank Nurse - Band 7,1463486,680.74
Nhs Professionals Ltd,Community,14/01/2021,Macmillan Information Centre,Bank Nurse - Band 7,1463486,"16,580.91"
Nhs Professionals Ltd,Corporate Directors,14/01/2021,Macmillan Information Centre,Bank Nurse - Band 7,1463486,"3,460.59"
Nhs Professionals Ltd,Emergency Services,14/01/2021,Macmillan Information Centre,Bank Nurse - Band 7,1463486,"7,005.41"
Nhs Professionals Ltd,Facilities,14/01/2021,Macmillan Information Centre,Bank Nurse - Band 7,1463486,"1,184.53"
Nhs Professionals Ltd,It,14/01/2021,Macmillan Information Centre,Bank Nurse - Band 7,1463486,274.78
Nhs Professionals Ltd,Medical,14/01/2021,Macmillan Information Centre,Bank Nurse - Band 7,1463486,"2,269.76"
Nhs Professionals Ltd,Planned Care,14/01/2021,Macmillan Information Centre,Bank Nurse - Band 7,1463486,"17,018.78"
Nhs Professionals Ltd,Womens,14/01/2021,Macmillan Information Centre,Bank Nurse - Band 7,1463486,"1,591.21"
Nhs Professionals Ltd,Anaesthetic/Theatres,14/01/2021,Day Surgery Unit,Agency Nurse - Band 6,1464141,"34,099.90"
Nhs Professionals Ltd,Childrens,14/01/2021,Day Surgery Unit,Agency Nurse - Band 6,1464141,"6,195.92"
Nhs Professionals Ltd,Community,14/01/2021,Day Surgery Unit,Agency Nurse - Band 6,1464141,"5,884.83"
Nhs Professionals Ltd,Emergency Services,14/01/2021,Day Surgery Unit,Agency Nurse - Band 6,1464141,"36,254.88"
Nhs Professionals Ltd,Medical,14/01/2021,Day Surgery Unit,Agency Nurse - Band 6,1464141,"46,685.15"
Nhs Professionals Ltd,Planned Care,14/01/2021,Day Surgery Unit,Agency Nurse - Band 6,1464141,"6,615.63"
Nhs Professionals Ltd,Womens,14/01/2021,Day Surgery Unit,Agency Nurse - Band 6,1464141,"29,453.20"
Nhs Professionals Ltd,Anaesthetic/Theatres,14/01/2021,Day Surgery Unit,Bank A&C - Band 2,1464644,"19,794.62"
Nhs Professionals Ltd,Childrens,14/01/2021,Day Surgery Unit,Bank A&C - Band 2,1464644,"8,783.87"
Nhs Professionals Ltd,Clinical Support Service,14/01/2021,Day Surgery Unit,Bank A&C - Band 2,1464644,"9,111.98"
Nhs Professionals Ltd,Community,14/01/2021,Day Surgery Unit,Bank A&C - Band 2,1464644,"18,413.99"
Nhs Professionals Ltd,Corporate Directors,14/01/2021,Day Surgery Unit,Bank A&C - Band 2,1464644,"26,854.20"
Nhs Professionals Ltd,Emergency Services,14/01/2021,Day Surgery Unit,Bank A&C - Band 2,1464644,"48,031.45"
Nhs Professionals Ltd,Facilities,14/01/2021,Day Surgery Unit,Bank A&C - Band 2,1464644,"25,402.74"
Nhs Professionals Ltd,Medical,14/01/2021,Day Surgery Unit,Bank A&C - Band 2,1464644,"99,135.45"
