Supplier,Department family,Date,Expense area,Expense type,Transaction Number,amount
3m United Kingdom Plc,It,29/12/2020,"It Hardware,Software&Licensing",Computer Software - Purchases,1460931,"64,200.88"
Abbvie Ltd,Clinical Support Service,10/12/2020,Pharmacy- Drugs Issues,Drugs,1458797,"27,643.20"
Bencroft Holding Corporation,Facilities,29/12/2020,Leander Road,Nhs Property Rental Charge,1458842,"42,480.00"
Brake Bros (Foodservice) Ltd,Facilities,10/12/2020,Catering-Patient Services E&F,Provisions (Food & Drink),1458630,"27,014.05"
Cerner Ltd,It,29/12/2020,Application Support,Cerner Millenium Ann Support,1458133,"209,483.40"
Communitas Clinics Ltd,Planned Care,17/12/2020,Ent - Medical,Contract External,1459429,"51,664.00"
Edf Energy,Facilities,03/12/2020,Energy - Cuh,Electricity,1457254,"26,846.63"
Elis Uk Ltd,Facilities,17/12/2020,Linen & Laundry Services,Contract - Laundry,1460034,"62,052.43"
Elis Uk Ltd,Facilities,29/12/2020,Linen & Laundry Services,Bedding & Linen,1433814,"26,972.00"
Exponential-E Limited,It,17/12/2020,It System Support,Computer - Maint & Licences,1439281,"29,327.75"
G4s Facilities Management (Uk) Ltd,Facilities,29/12/2020,Domestic Contract,Contract - Domestic,1459782,"589,348.41"
Galliford Try Hps Ltd,Balance Sheet,03/12/2020,Balance Sheet,Additions - Assets Under Const,1456763,"4,310,820.09"
Ge Medical Systems Ltd,Balance Sheet,03/12/2020,Balance Sheet,Additions - Furnit & Fittings,1456744,"50,959.20"
Gray Dungate Poole Ltd,Balance Sheet,03/12/2020,Balance Sheet,Additions - Assets Under Const,1455561,"52,062.00"
Hats Group Ltd,Facilities,10/12/2020,Patient Transport,Patient Non Emerg. Transport,1459315,"94,128.74"
Hats Group Ltd,Facilities,17/12/2020,Patient Transport,Patient Non Emerg. Transport,1460471,"95,306.73"
Icts Uk Ltd,Facilities,17/12/2020,Security,Contract - Security Services,1458584,"53,087.00"
Inhealth Ltd,Clinical Support Service,29/12/2020,Mri'S & Other Scans,Mri Contract - In Health,1458171,"181,235.53"
Inhealth Ltd,Clinical Support Service,29/12/2020,Mri'S & Other Scans,Mri Contract - In Health,1458180,"188,912.12"
Keystream Healthcare Resources Limited,Corona Virus,03/12/2020,Swl Vaccine Programme,Professional Fees,1457351,"100,900.00"
Keystream Healthcare Resources Limited,It,29/12/2020,It Management,Professional Fees,1461335,"25,480.00"
Lloyds Pharmacy Ltd,Clinical Support Service,17/12/2020,Pharmacy- Drugs Issues,Drugs,1459432,"237,226.63"
"Logan Construction (South-East ) Limited			",Balance Sheet,03/12/2020,Balance Sheet,Additions - Assets Under Const,1457245,"148,480.55"
Maguire Brothers,Balance Sheet,10/12/2020,Balance Sheet,Additions - Furnit & Fittings,1458942,"28,515.60"
Maguire Brothers,Balance Sheet,17/12/2020,Balance Sheet,Additions - Assets Under Const,1458874,"81,173.62"
Medica Reporting Ltd (Medica Group),Clinical Support Service,03/12/2020,Radiology - Medical,Fees For Medical Reports,1442449,"35,843.64"
Medica Reporting Ltd (Medica Group),Clinical Support Service,03/12/2020,Radiology - Medical,Fees For Medical Reports,1448468,"44,555.04"
Nhs Professionals Ltd,Emergency Services,03/12/2020,Day Surgery Unit,Agency Nurse - Band 6,1457100,"164,292.12"
Nhs Professionals Ltd,Anaesthetic/Theatres,03/12/2020,Day Surgery Unit,Agency Nurse - Band 6,1457100,"40,178.27"
Nhs Professionals Ltd,Community,03/12/2020,Day Surgery Unit,Agency Nurse - Band 6,1457100,"5,484.71"
Nhs Professionals Ltd,Childrens,03/12/2020,Day Surgery Unit,Agency Nurse - Band 6,1457100,"3,647.39"
Nhs Professionals Ltd,Planned Care,03/12/2020,Day Surgery Unit,Agency Nurse - Band 6,1457100,"8,557.42"
Nhs Professionals Ltd,Womens,03/12/2020,Day Surgery Unit,Agency Nurse - Band 6,1457100,"12,257.30"
Nhs Professionals Ltd,Medical,03/12/2020,Day Surgery Unit,Agency Nurse - Band 6,1457100,"31,168.60"
Nhs Professionals Ltd,Corporate Directors,03/12/2020,Day Surgery Unit,Bank A&C - Band 2,1457974,"23,984.20"
Nhs Professionals Ltd,Facilities,03/12/2020,Day Surgery Unit,Bank A&C - Band 2,1457974,"26,102.46"
Nhs Professionals Ltd,Emergency Services,03/12/2020,Day Surgery Unit,Bank A&C - Band 2,1457974,"53,273.56"
Nhs Professionals Ltd,Anaesthetic/Theatres,03/12/2020,Day Surgery Unit,Bank A&C - Band 2,1457974,"29,999.34"
Nhs Professionals Ltd,Community,03/12/2020,Day Surgery Unit,Bank A&C - Band 2,1457974,"20,497.50"
Nhs Professionals Ltd,Clinical Support Service,03/12/2020,Day Surgery Unit,Bank A&C - Band 2,1457974,"9,033.87"
Nhs Professionals Ltd,Childrens,03/12/2020,Day Surgery Unit,Bank A&C - Band 2,1457974,"9,095.89"
Nhs Professionals Ltd,Planned Care,03/12/2020,Day Surgery Unit,Bank A&C - Band 2,1457974,"43,367.73"
Nhs Professionals Ltd,Womens,03/12/2020,Day Surgery Unit,Bank A&C - Band 2,1457974,"46,390.57"
Nhs Professionals Ltd,Medical,03/12/2020,Day Surgery Unit,Bank A&C - Band 2,1457974,"99,349.52"
Nhs Professionals Ltd,Emergency Services,10/12/2020,Day Surgery Unit,Agency Nurse - Band 6,1458885,"40,837.91"
