Supplier,Department family,Date,Expense area,Expense type,Transaction Number,amount
A1r Services Ltd,Balance Sheet,26/11/2020,Balance Sheet,Bv B/F - Assets Under Construc,1456179,"27,000"
Adp Architecture Limited,Balance Sheet,26/11/2020,Balance Sheet,Additions - Assets Under Const,1456545,"39,875"
Advanced Business Solutions,It,12/11/2020,"It Hardware,Software&Licensing",Computer - Maint & Licences,1436455,"58,581"
Bender Uk Ltd,Balance Sheet,26/11/2020,Balance Sheet,Additions - Plant & Machinery,1407321,"28,402"
Cerner Ltd,It,12/11/2020,Application Support,Cerner Millenium Ann Support,1452376,"209,483"
Charterhouse Voice & Data Ltd,Balance Sheet,05/11/2020,Balance Sheet,Additions - Information Techno,1447793,"34,760"
Cinos Ltd,Corona Virus,19/11/2020,Corona Virus,Computer - Maint & Licences,1445023,"36,192"
Clinisys Solutions Ltd,It,05/11/2020,Application Support,Pc Software Maintenance,1452059,"79,548"
Communitas Clinics Ltd,Planned Care,19/11/2020,Ent - Medical,Contract External,1454972,"51,664"
Croydon Gp Collaborative Ltd,Clinical Support Service,12/11/2020,Anti Coagulation,Contract External,1449831,"33,293"
Croydon Gp Collaborative Ltd,Clinical Support Service,26/11/2020,Anti Coagulation,Contract External,1455551,"33,293"
Croydon Gp Collaborative Ltd,Emergency Services,26/11/2020,Adult Ucc,Gp Collaborative,1455552,"118,996"
Elis Uk Ltd,Facilities,05/11/2020,Linen & Laundry Services,Bedding & Linen,1452463,"61,457"
Elis Uk Ltd,Facilities,05/11/2020,Linen & Laundry Services,Staff Uniforms & Clothing,1452464,"60,863"
Foley Ltd,Balance Sheet,19/11/2020,Balance Sheet,Additions - Assets Under Const,1453815,"25,000"
G4s Facilities Management (Uk) Ltd,Corona Virus,26/11/2020,Corona Virus,Contract - Domestic,1454394,"69,932"
G4s Facilities Management (Uk) Ltd,Facilities,26/11/2020,Domestic Contract,Contract - Domestic,1454395,"584,172"
Hats Group Ltd,Facilities,26/11/2020,Patient Transport,Patient Non Emerg. Transport,1456322,"156,767"
Icts Uk Ltd,Facilities,19/11/2020,Security,Contract - Security Services,1453438,"55,189"
Inhealth Ltd,Clinical Support Service,12/11/2020,Mri'S & Other Scans,Mri Contract - In Health,1451228,"207,633"
Keystream Healthcare Resources Limited,Balance Sheet,05/11/2020,Balance Sheet,Additions - Information Techno,1448792,"35,280"
Keystream Healthcare Resources Limited,Balance Sheet,19/11/2020,Balance Sheet,Additions - Information Techno,1453868,"43,344"
Lloyds Pharmacy Ltd,Clinical Support Service,12/11/2020,Pharmacy- Drugs Issues,Drugs,1448453,"248,878"
Lloyds Pharmacy Ltd,Clinical Support Service,12/11/2020,Pharmacy- Drugs Issues,Drugs,1453721,"266,874"
Lloyds Tsb Commercial Finance,Balance Sheet,26/11/2020,Balance Sheet,Additions - Assets Under Const,1456241,"32,300"
"Logan Construction (South-East ) Limited			",Balance Sheet,12/11/2020,Balance Sheet,Additions - Assets Under Const,1452430,"130,203"
Maguire Brothers,Balance Sheet,19/11/2020,Balance Sheet,Additions - Assets Under Const,1453186,"49,751"
Nhs Professionals Ltd,Emergency Services,05/11/2020,Day Surgery Unit,Agency Nurse - Band 6,1451647,"38,913"
Nhs Professionals Ltd,Anaesthetic/Theatres,05/11/2020,Day Surgery Unit,Agency Nurse - Band 6,1451647,"43,801"
Nhs Professionals Ltd,Community,05/11/2020,Day Surgery Unit,Agency Nurse - Band 6,1451647,"3,119"
Nhs Professionals Ltd,Childrens,05/11/2020,Day Surgery Unit,Agency Nurse - Band 6,1451647,"3,331"
Nhs Professionals Ltd,Planned Care,05/11/2020,Day Surgery Unit,Agency Nurse - Band 6,1451647,"9,582"
Nhs Professionals Ltd,Womens,05/11/2020,Day Surgery Unit,Agency Nurse - Band 6,1451647,"15,901"
Nhs Professionals Ltd,Medical,05/11/2020,Day Surgery Unit,Agency Nurse - Band 6,1451647,"31,342"
Nhs Professionals Ltd,Corporate Directors,05/11/2020,Day Surgery Unit,Bank A&C - Band 3,1451266,"29,739"
Nhs Professionals Ltd,Facilities,05/11/2020,Day Surgery Unit,Bank A&C - Band 3,1451266,"26,693"
Nhs Professionals Ltd,Emergency Services,05/11/2020,Day Surgery Unit,Bank A&C - Band 3,1451266,"53,814"
Nhs Professionals Ltd,Anaesthetic/Theatres,05/11/2020,Day Surgery Unit,Bank A&C - Band 3,1451266,"14,022"
Nhs Professionals Ltd,Community,05/11/2020,Day Surgery Unit,Bank A&C - Band 3,1451266,"22,696"
Nhs Professionals Ltd,Clinical Support Service,05/11/2020,Day Surgery Unit,Bank A&C - Band 3,1451266,"6,448"
Nhs Professionals Ltd,Childrens,05/11/2020,Day Surgery Unit,Bank A&C - Band 3,1451266,"8,759"
Nhs Professionals Ltd,Planned Care,05/11/2020,Day Surgery Unit,Bank A&C - Band 3,1451266,"32,745"
Nhs Professionals Ltd,Womens,05/11/2020,Day Surgery Unit,Bank A&C - Band 3,1451266,"39,646"
Nhs Professionals Ltd,Medical,05/11/2020,Day Surgery Unit,Bank A&C - Band 3,1451266,"90,811"
Nhs Professionals Ltd,Corporate Directors,05/11/2020,Day Surgery Unit,Bank A&C - Band 3,1451514,"1,593"
Nhs Professionals Ltd,Facilities,05/11/2020,Day Surgery Unit,Bank A&C - Band 3,1451514,676
