Department Family,Entity,Date Paid,Expense Type ,Expense Area,Supplier Name,Transaction Reference,amount
Department of Health,Chelsea & Westminster NHS Foundation Trust,03/08/2020,Other Expenses,C-Virus - Preparatory Spend,Beijing Easymonitor,1499791,"1,218,818.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/08/2020,Agency Nurse - Band 5,Chelsea Site,Care Providers Ltd,1495410,"49,356.66"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/08/2020,Agency Nurse - Band 5,Chelsea Site,Care Providers Ltd,1498781,"54,552.38"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/08/2020,Electricty,Chelsea Site,Edf Energy 1 Ltd,1489965,"247,798.25"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/08/2020,General Maintenance Contracts,Chelsea Site,Jca Engineering Limited,1499153,"376,665.60"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/08/2020,General Maintenance Contracts,Path Central Purchasing,Nhs Supply Chain Maintenance (201),1498468,"42,348.45"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/08/2020,General Maintenance Contracts,Radiology Department,Nhs Supply Chain Maintenance (201),1499600,"32,319.22"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/08/2020,I.T. Expenditure,Procurement,Apira Limited,1461828,"52,056.36"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/08/2020,Procurement Consultancy,Trust-wide,Procurement Nous,1495662,"36,000.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/08/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Mi Hub Limited T/A Alexandra,1498434,"175,000.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/08/2020,M.S.S.E. - Routine Purchases,Burns Unit,Integra Neurosciences Ltd,1493291,"25,518.84"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/08/2020,Other Expenses,Urology,Kebomed Uk Ltd,1494931,"28,210.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/08/2020,P.T.S. - Main Contract,Trust-wide,Hats Group Ltd,1486154,"230,642.12"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/08/2020,Drugs,Chelsea Pharmacy,Aah Pharmaceuticals Ltd,1499897,"32,387.34"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/08/2020,Drugs,Chelsea Pharmacy,Bayer Plc,1498874,"45,622.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/08/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1499451,"66,271.31"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/08/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1499452,"104,555.23"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/08/2020,Water,West Middlesex Site,Castle Water Ltd,1492009,"31,818.51"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/08/2020,Radiology Maintenance Contract,Radiology Department,Nhs Supply Chain Maintenance (201),1498436,"113,754.98"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/08/2020,Insurance Premiums,Trust-wide,Willis Ltd,1473850,"117,600.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/08/2020,Soft Service Miscellaneous,Resourcing,Softcat Ltd,1497404,"211,672.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,06/08/2020,Agency Nurse - Band 5,Chelsea site,Care Providers Ltd,1500807,"79,327.12"
Department of Health,Chelsea & Westminster NHS Foundation Trust,06/08/2020,Catering Equipment,Chelsea Main Kitchen ,Airedale Catering Equipment Ltd,1500715,"142,774.80"
