Department Family,Entity,Date Paid,Expense Type,Expense Area,Supplier Name,Transaction Reference,amount
Department of Health,Chelsea & Westminster NHS Foundation Trust,26/11/2020,Insurance Contributions,Legal Services,Nhs Resolution C/O Nhs Litigation Authority,1530829,"2,906,792.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/12/2020,Agency Nurse - Band 5,Chelsea Site,Care Providers Ltd,1534913,"106,197.61"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/12/2020,Appliances - Other,Surgical Appliances Department,Opcare Ltd,1492890,"34,008.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/12/2020,Appliances - Other,Surgical Appliances Department,Opcare Ltd,1504240,"34,008.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/12/2020,Drugs,Hiv Drugs - Harlow,The Princess Alexandra Hospital Nhs Trust,1534721,"49,618.72"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/12/2020,Image Exchange Portal,Radiology,Medica Reporting Ltd (Medica Group),1528504,"49,858.73"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/12/2020,Soft Services,Facilities-Covid-19,Nhs East And North Hertfordshire Ccg,1533800,"31,869.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/12/2020,Drugs,Chelsea Pharmacy,Aah Pharmaceuticals Ltd,1535456,"55,012.32"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/12/2020,Drugs,Chelsea Pharmacy,Gilead Sciences Ltd,1534972,"29,587.32"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/12/2020,Surgical Appliances - Other,Orthopaedic Medical Staff,Opcare Ltd,1515031,"34,008.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,02/12/2020,Soft Services,Facilities-Covid-19,Iss Mediclean Limited,1526196,"25,335.83"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/12/2020,NWLK Fluids Service Implementation,Radiology Department,Medica Reporting Ltd (Medica Group),1528289,"64,427.57"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/12/2020,Drugs,Chelsea Pharmacy,Mawdsley- Brooks & Co Ltd,1536249,"27,211.20"
Department of Health,Chelsea & Westminster NHS Foundation Trust,04/12/2020,Drugs,Chelsea Pharmacy,Alloga Uk Limited,1535622,"54,000.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,08/12/2020,General Computer Hardware,Epr Cross Site Project,Cerner Limited,1535651,"33,267.19"
Department of Health,Chelsea & Westminster NHS Foundation Trust,08/12/2020,Cardiology Managed Services,Cardiac Cath Lab,Medtronic Limited,1535398,"122,476.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,08/12/2020,Rent Rates & Service Charge,Chelsea Harbour,Chelsea Harbour Ltd,1536078,"40,425.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,08/12/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1534969,"84,406.57"
Department of Health,Chelsea & Westminster NHS Foundation Trust,08/12/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1534970,"128,623.16"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/12/2020,Recharges – Pay and non-pay costs,I.T Management,Imperial College Healthcare Nhs Trust,Various,"1,541,935.57"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/12/2020,M.S.S.E. - Other,Trust-wide,Respiratory Protective Assessment Ltd,1537119,"115,020.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/12/2020,Soft Services,Estates And Facilities - Recharges,Bywest Ltd,1533968,"-38,382.14"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/12/2020,Nw London Pathology Contract,Imperial Pathology (Central),North West London Pathology,1535317,"178,520.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/12/2020,Nw London Pathology Contract,Imperial Pathology (Central),North West London Pathology,1535318,"1,808,593.00"
