Department Family,Entity,Date Paid,Expense Type ,Expense Area,Supplier Name,Transaction Reference,amount
Department of Health,Chelsea & Westminster NHS Foundation Trust,03/11/2020,Agency Nurse - Band 5,Chelsea Site,Care Providers Ltd,1525143,"112,152.32"
Department of Health,Chelsea & Westminster NHS Foundation Trust,03/11/2020,Non-Nhs Contracts,Radiology Department,Medica Reporting Ltd (Medica Group),1511028,"82,045.61"
Department of Health,Chelsea & Westminster NHS Foundation Trust,03/11/2020,Services From N.H.S. Bodies,Imperial Gum Contract,Imperial College Healthcare Nhs Trust,1524273,"658,434.62"
Department of Health,Chelsea & Westminster NHS Foundation Trust,03/11/2020,Drugs,Chelsea Pharmacy,Alloga Uk Limited,1526126,"54,000.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,03/11/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1524169,"82,219.46"
Department of Health,Chelsea & Westminster NHS Foundation Trust,03/11/2020,Transport Charges,C-Virus - Preparatory Spend,Iss Mediclean Limited,1525392,"41,379.30"
Department of Health,Chelsea & Westminster NHS Foundation Trust,03/11/2020,It Shared Service,I.T Management,Netconnection Systems Ltd,1525432,"216,113.25"
Department of Health,Chelsea & Westminster NHS Foundation Trust,03/11/2020,It Shared Service,Ict - Shared Services Project,Sphere Systems Powering Healthcare Ltd,1519775,"574,587.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/11/2020,General Computer Hardware,Epr Cross Site Project,Cerner Limited,1525912,"33,267.19"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/11/2020,General Maintenance Contracts,Management - Hiv/Gum,Genmed Me Ltd,1526087,"202,302.58"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/11/2020,Minor Works,The Mortuary Department,Bywest Ltd,1516607,"59,815.97"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/11/2020,Service Charge - Core Pfi,Pfi Unitary Payment,Bywest Ltd,1525946,"1,512,108.16"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/11/2020,Service Charge - Core Pfi,Pfi Unitary Payment,Bywest Ltd,1525947,"222,885.64"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/11/2020,Drugs,Chelsea Pharmacy,Boots Uk Ltd,1518543,"944,798.26"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/11/2020,Drugs,Chelsea Pharmacy,Boots Uk Ltd,1518544,"1,222,256.68"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/11/2020,Drugs,Chelsea Pharmacy,Boots Uk Ltd,1519259,"845,105.12"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/11/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1525995,"73,694.97"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/11/2020,Clinical Supplies,Divisional Areas,Nhs Supply Chain Roarp (101),1525996,"105,037.52"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/11/2020,It Shared Service,Ict - Shared Services Project,Sphere Systems Powering Healthcare Ltd,1526832,"574,587.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/11/2020,Building Expenditure,Facilities Directorate - Chelsea Calorifier Refurbishment,Jca Engineering Limited,1524505,"42,000.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,10/11/2020,Drugs,Chelsea Pharmacy,Boots Uk Ltd,1527490,"1,038,298.89"
