Department Family,Entity,Date Paid,Expense Type ,Expense Area,Supplier Name,Transaction Reference,amount
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/07/2020,Agency Nurse - Band 5,Central Nursing Agency,Care Providers Ltd,1487076,"39,243.04"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/07/2020,Appliances - Other,Surgical Appliances Department,Opcare Ltd,1472350,"25,000.91"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/07/2020,Appliances - Other,Surgical Appliances Department,Opcare Ltd,1484290,"34,008.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/07/2020,Building Expenditure,Double Bowl Unit,Airedale Catering Equipment Ltd,1487116,"78,327.60"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/07/2020,Drugs,Hiv - Herts,West Hertfordshire Hospitals Nhs Trust,1484730,"164,106.72"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/07/2020,General Maintenance Contracts,Hard Fm Non Pay,Jca Engineering Limited,1488571,"376,665.60"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/07/2020,Soft Services,Trust-wide,Iss Mediclean Limited,1485979,"145,931.74"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/07/2020,M.R.I. Scans,Radiology:- Other Scanning,Alliance Medical Limited,1482008,"54,963.30"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/07/2020,M.S.S.E. - Other,Sexual Health - Sutton,The Doctors Laboratory,1481587,"26,053.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/07/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Hayley Group Ltd,1488073,"1,004,194.80"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/07/2020,Research & Development Exp,Prep Study,Public Health England,1482678,"51,870.74"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/07/2020,Soft Services,Trust-wide,Iss Mediclean Limited,1486875,"45,141.91"
