Department Family,Entity,Date Paid,Expense Type,Expense Area,Supplier Name,Transaction Reference,amount
Department of Health,Chelsea & Westminster NHS Foundation Trust,01/05/2020,Drugs,Chelsea Site,Boots Uk Ltd,1462161,"1,874,708.40"
Department of Health,Chelsea & Westminster NHS Foundation Trust,01/05/2020,Pension Administration Service,Trust-wide,Nhs Business Servic.Authority- Ea Code Ea4049,1467699,"57,283.74"
Department of Health,Chelsea & Westminster NHS Foundation Trust,01/05/2020,Soft Services,Trust-wide,Iss Mediclean Limited,1456940,"45,141.91"
Department of Health,Chelsea & Westminster NHS Foundation Trust,01/05/2020,Drugs,West Middlesex Site,Dialachemist Ltd T/A Springmed Solutions,1468697,"29,160.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,01/05/2020,Clinical Supplies,Divisional areas,Nhs Supply Chain Roarp (101),1470758,"132,876.52"
Department of Health,Chelsea & Westminster NHS Foundation Trust,01/05/2020,Other,C-Virus - Preparatory Spend,Emmo Holdings Ltd,1466929,"-117,450.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,01/05/2020,Fetal Care Service,Queen Mary Maternity Unit,Imperial College Healthcare Nhs Trust,906682,"42,344.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/05/2020,Electricty,Hard Fm Non Pay,Edf Energy 1 Ltd,1466287,"259,734.90"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/05/2020,General Maintenance Contracts,Hard Fm Non Pay,Jca Engineering Limited,1470788,"376,665.60"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/05/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Philips Healthcare,1470196,"26,901.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/05/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Philips Healthcare,1470197,"31,815.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/05/2020,M.S.S.E. - Routine Purchases,Respiratory - Management,Baywater Healthcare Uk Ltd,1440686,"27,428.90"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/05/2020,M.S.S.E. - Routine Purchases,Respiratory - Management,Baywater Healthcare Uk Ltd,1462874,"27,996.25"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/05/2020,Nw London Pathology Contract,Imperial Pathology (Central),North West London Pathology,1469656,"1,808,593.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/05/2020,Nw London Pathology Contract,Imperial Pathology (Central),North West London Pathology,1469657,"178,520.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/05/2020,P.T.S. - Main Contract,C-Virus - Preparatory Spend,Hats Group Ltd,1467468,"236,039.96"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/05/2020,Services From - Foundation Tru,Chief Executives Office,Care Quality Commission,1470529,"443,423.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/05/2020,Drugs,Chelsea Site,Bayer Plc,1470336,"36,708.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/05/2020,Clinical Supplies,Divisional areas,Nhs Supply Chain Roarp (101),1469170,"130,990.33"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/05/2020,Clinical Supplies,Divisional areas,Nhs Supply Chain Roarp (101),1469171,"118,703.65"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/05/2020,Telephone Rental-Computer,Telephones: Rental & Calls,Bt Payment Services Ltd,1453586,"48,231.23"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/05/2020,Telephones - Private Circuits,Trust General Services,Imperial College Healthcare Nhs Trust,1465914,"57,322.43"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/05/2020,Leases - Buildings,34-35 Dean Street,Dalness Estates Ltd,1469211,"48,000.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,05/05/2020,Nuclear Medicine Tests,Nuclear Med Scans (Elective),Imperial College Healthcare Nhs Trust,1464651,"30,462.00"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/05/2020,Agency Nurse - Band 5,Central Nursing Agency,Care Providers Ltd,1471708,"84,105.55"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/05/2020,Building Expenditure,AEC Remodelling,Bywest Ltd,1472810,"132,405.49"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/05/2020,Computer Maintenance Contracts,I.T Management,Ascribe Ltd T/A Emis Health,1466957,"39,238.50"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/05/2020,General Computer Hardware,Epr Cross Site Project,Cerner Limited,1471053,"33,267.19"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/05/2020,General Maintenance Contracts,Clinical Engineering,Nhs Supply Chain Maintenance (201),1471533,"29,472.90"
Department of Health,Chelsea & Westminster NHS Foundation Trust,07/05/2020,General Maintenance Contracts,Management - Hiv/Gum,Genmed Me Ltd,1471617,"202,302.58"
