Date Paid,9AN - Level 9 Account Name,Cost Centre Name,Supplier Name,Transaction Reference,amount
18/06/2020,Agency Nurse - Band 5,Central Nursing Agency,Care Providers Ltd,1484971,29412.25
18/06/2020,Furniture & Furnishing-Routine,A & E Nursing,Anetic Aid,1483704,26959.8
18/06/2020,General Computer Hardware,Epr Cross Site Project,Cerner Limited,1481217,33267.19
18/06/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Nanjing Jusha Display Technology Co.Ltd,1482277,150500
18/06/2020,Nw London Pathology Contract,Imperial Pathology (Central),North West London Pathology,1483842,1808593
18/06/2020,Nw London Pathology Contract,Imperial Pathology (Central),North West London Pathology,1483843,1808593
18/06/2020,Nw London Pathology Contract,Imperial Pathology (Central),North West London Pathology,1483844,178520
18/06/2020,Nw London Pathology Contract,Imperial Pathology (Central),North West London Pathology,1483845,178520
18/06/2020,Stock - Drug Purchases (Candw),Candw Balance Sheet,Gilead Sciences Ltd,1484392,25800
18/06/2020,Stores Control Account (Candw),Candw Balance Sheet,Nhs Supply Chain Roarp (101),1484445,84788.06
18/06/2020,Telephone Rental-Computer,Telephones: Rental & Calls,Bt Payment Services Ltd,1482328,84780.6
11/06/2020,Agency Nurse - Band 5,Central Nursing Agency,Care Providers Ltd,1482653,28724
11/06/2020,General Maintenance Contracts,Information Technology Dept,Nhs Supply Chain Maintenance (201),1480564,54087.56
11/06/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Hayley Group Ltd,1482098,1005200
11/06/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Emmo Holdings Ltd,1481862,3280
11/06/2020,M.S.S.E. - Routine Purchases,Estates And Facilities (Transa,Ensigna Construction Ltd,1479924,59614.1
11/06/2020,Stock - Drug Purchases (Wmuh),Current Assets,Janssen-Cilag Ltd,1483085,31368.86
11/06/2020,Recharge External Non Nhs Org,Clahrc Delivery Early Years,London School Of Hygiene & Tropical,1453812,41804.12
02/06/2020,Agency Nurse - Band 5,Central Nursing Agency,Care Providers Ltd,1478733,28551.23
02/06/2020,Cw Drugs,Candw Balance Sheet,Boots Uk Ltd,1472558,819748.59
02/06/2020,Cw Drugs,Candw Balance Sheet,Boots Uk Ltd,1474415,883761.12
02/06/2020,General Maintenance Contracts,Hard Fm Non Pay,Jca Engineering Limited,1479890,376665.6
02/06/2020,M.R.I. Scans,Radiology:- Other Scanning,Alliance Medical Limited,1462846,166954.43
02/06/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Emmo Holdings Ltd,1468963,54000
02/06/2020,Non-Nhs Contracts,Cardiac Cath Lab,Medtronic Limited,1471591,75903.6
02/06/2020,Non-Nhs Contracts,Radiology Department,Medica Reporting Ltd (Medica Group),1453186,55186.67
02/06/2020,Nw London Pathology Contract,Imperial Pathology (Central),North West London Pathology,1470785,73482.49
02/06/2020,P.T.S. - Main Contract,Trust General Services,Hats Group Ltd,1477653,230642.12
02/06/2020,Service Charge - Core Pfi,Pfi Unitary Payment,Bywest Ltd,1473257,238403.5
02/06/2020,Service Charge - Core Pfi,Pfi Unitary Payment,Bywest Ltd,1473258,1223228.82
02/06/2020,Service Charge - Core Pfi,Pfi Unitary Payment,Bywest Ltd,1473259,353283.69
02/06/2020,Services From - Foundation Tru,Radiology,Imperial College Healthcare Nhs Trust,1455783,93477.9
02/06/2020,Services From Non Nhs Org,Pharmacy Outpatients,Boots Uk Ltd,1474416,36174.08
02/06/2020,Stock - Drug Purchases (Candw),Candw Balance Sheet,St George'S University Hospitals Nhs Ft,1479383,92182.22
02/06/2020,Stock - Drug Purchases (Candw),Candw Balance Sheet,St George'S University Hospitals Nhs Ft,1479391,27766.78
02/06/2020,Stock - Drug Purchases (Wmuh),Current Assets,Roche Products Ltd,1479425,27755.76
02/06/2020,Stores Control Account (Candw),Candw Balance Sheet,Nhs Supply Chain Roarp (101),1476959,57446.63
02/06/2020,Stores Control Account (Candw),Candw Balance Sheet,Nhs Supply Chain Roarp (101),1476961,75091.14
02/06/2020,Stores Control Account (Candw),Candw Balance Sheet,Nhs Supply Chain Roarp (101),1477893,49491.09
02/06/2020,Stores Control Account (Candw),Candw Balance Sheet,Nhs Supply Chain Roarp (101),1477894,97992.92
02/06/2020,Water,Estate Management Department,Castle Water Ltd,1431017,27849.29
02/06/2020,Other,C-Virus - Preparatory Spend,Emmo Holdings Ltd,1466929,156600
02/06/2020,Specialty Registrar Ft (Str1),Madel,Royal Free London Nhs Foundation Trust,1478090,176306.68
16/06/2020,Cw Drugs,Candw Balance Sheet,Boots Uk Ltd,1481373,759634.28
16/06/2020,Cw Drugs,Candw Balance Sheet,Boots Uk Ltd,1481378,795084.32
16/06/2020,Cw Payroll Ded Court Orders,Candw Balance Sheet,Nhs Supply Chain Roarp (101),1483463,79777.48
16/06/2020,Equipment Expenditure,Capital Expenditure,Parity Computers Ltd (T/A Parity Medical),1479970,62670
16/06/2020,General Maintenance Contracts,Hard Fm Non Pay,Jca Engineering Limited,1479469,129767.02
16/06/2020,General Maintenance Contracts,Management - Hiv/Gum,Genmed Me Ltd,1479574,-377796.35
16/06/2020,General Maintenance Contracts,Radiology,Nhs Supply Chain Maintenance (201),1451378,30600
16/06/2020,M.S.S.E. - Other,C-Virus - Preparatory Spend,Emmo Holdings Ltd,1482456,3280
16/06/2020,Non-Nhs Contracts,Cardiac Cath Lab,Medtronic Limited,1481246,75903.6
16/06/2020,Service Charge - Core Pfi,Pfi Unitary Payment,Bywest Ltd,1482750,346236.28
16/06/2020,Service Charge - Core Pfi,Pfi Unitary Payment,Bywest Ltd,1482752,1521726.4
16/06/2020,Services From - Foundation Tru,Cardiology Management,Royal Brompton & Harefield Nhs Ft,1462873,36953.95
16/06/2020,Stores Control Account (Candw),Candw Balance Sheet,Nhs Supply Chain Roarp (101),1473541,73104.5
16/06/2020,Stores Control Account (Candw),Candw Balance Sheet,Nhs Supply Chain Roarp (101),1483233,118598.21
16/06/2020,Stores Control Account (Candw),Candw Balance Sheet,Nhs Supply Chain Roarp (101),1483462,56499.73
