Department Family,Entuty,Financial Year,Financial Period,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
NHS,King's College Hospital NHS Foundation Trust,2021,3,03-May-20,Assets Under Construction,Fixed Asset,A & G PIPEWORK & WELDING,2116,"28,300.51",Fixed Assets - Auc Pur Adds Bld
NHS,King's College Hospital NHS Foundation Trust,2021,3,01-Jun-20,PHARMACY INVOICES,PHARMACY INVOICES, AAH PHARMACEUTICA KINGS COLL HOSP ,,"500,000.00",PHARMACY INVOICES
NHS,King's College Hospital NHS Foundation Trust,2021,3,04-Jun-20,Stock,Stock,AAH PHARMACEUTICALS LIMITED,15534399D,"26,880.00",Pharmacy Stock
NHS,King's College Hospital NHS Foundation Trust,2021,3,18-May-20,Stock,Stock,ALEXION PHARMA UK,90904468,"113,400.00",Pharmacy Stock
NHS,King's College Hospital NHS Foundation Trust,2021,3,09-Jun-20,Stock,Stock,ALEXION PHARMA UK,90912831,"45,360.00",Pharmacy Stock
NHS,King's College Hospital NHS Foundation Trust,2021,3,15-May-20,Stock,Stock,ALEXION PHARMA UK,90904272,"45,360.00",Pharmacy Stock
NHS,King's College Hospital NHS Foundation Trust,2021,3,19-May-20,Stock,Stock,ALLIANCE HEALTHCARE LTD (UNICHEM),B05W03842,"26,686.56",Pharmacy Stock
NHS,King's College Hospital NHS Foundation Trust,2021,3,30-Apr-20,External Contract staffing and Consultan,Radiology Department,ALLIANCE MEDICAL,AML-152225,"35,672.74",Contracted out services
NHS,King's College Hospital NHS Foundation Trust,2021,3,31-May-20,Net Pay-247Time,Net Pay-247Time,ALLOCATE SOFTWARE LIMITED,KCH-31052020CORR,"165,177.11",Net Pay-247Time
NHS,King's College Hospital NHS Foundation Trust,2021,3,14-Jun-20,Net Pay-247Time,Net Pay-247Time,ALLOCATE SOFTWARE LIMITED,KCH-14062020,"153,576.16",Net Pay-247Time
NHS,King's College Hospital NHS Foundation Trust,2021,3,07-Jun-20,Net Pay-247Time,Net Pay-247Time,ALLOCATE SOFTWARE LIMITED,KCH-07062020S,"109,425.58",Net Pay-247Time
NHS,King's College Hospital NHS Foundation Trust,2021,3,28-Jun-20,Net Pay-247Time,Net Pay-247Time,ALLOCATE SOFTWARE LIMITED,KCH-28062020S,"128,626.12",Net Pay-247Time
