Department Family,Entuty,Financial Year,Financial Period,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
NHS,King's College Hospital NHS Foundation Trust,2021,1,05-Apr-20,Net Pay-247Time,Net Pay-247Time,247 Time Ltd,KCH-05042020S,"91,065.19"
NHS,King's College Hospital NHS Foundation Trust,2021,1,19-Apr-20,Net Pay-247Time,Net Pay-247Time,247 Time Ltd,KCH-19042020,"160,998.54"
NHS,King's College Hospital NHS Foundation Trust,2021,1,19-Apr-20,Net Pay-247Time,Net Pay-247Time,247 Time Ltd,KCH-19042020Fri,"123,035.13"
NHS,King's College Hospital NHS Foundation Trust,2021,1,05-Apr-20,Net Pay-247Time,Net Pay-247Time,247 Time Ltd,KCH-05042020,"147,421.06"
NHS,King's College Hospital NHS Foundation Trust,2021,1,26-Apr-20,Net Pay-247Time,Net Pay-247Time,247 Time Ltd,KCH-26042020S,"106,785.57"
NHS,King's College Hospital NHS Foundation Trust,2021,1,12-Apr-20,Net Pay-247Time,Net Pay-247Time,247 Time Ltd,KCH-12042020Fri,"122,131.95"
NHS,King's College Hospital NHS Foundation Trust,2021,1,26-Apr-20,Net Pay-247Time,Net Pay-247Time,247 Time Ltd,KCH-26042020,"225,127.06"
NHS,King's College Hospital NHS Foundation Trust,2021,1,12-Apr-20,Net Pay-247Time,Net Pay-247Time,247 Time Ltd,KCH-12042020S,"76,894.75"
NHS,King's College Hospital NHS Foundation Trust,2021,1,05-Apr-20,Net Pay-247Time,Net Pay-247Time,247 Time Ltd,KCH-05042020Fri,"118,587.86"
NHS,King's College Hospital NHS Foundation Trust,2021,1,19-Apr-20,Net Pay-247Time,Net Pay-247Time,247 Time Ltd,KCH-19042020S,"96,652.47"
NHS,King's College Hospital NHS Foundation Trust,2021,1,29-Mar-20,Net Pay-247Time,Net Pay-247Time,247 Time Ltd,KCH-29032020Fri,"111,753.79"
NHS,King's College Hospital NHS Foundation Trust,2021,1,12-Apr-20,Net Pay-247Time,Net Pay-247Time,247 Time Ltd,KCH-12042020,"97,843.51"
NHS,King's College Hospital NHS Foundation Trust,2021,1,09-Apr-20,Agency,Agency,247 TIME LTD     1-9400-92406,,"118,587.86"
NHS,King's College Hospital NHS Foundation Trust,2021,1,01-Apr-20,Agency,Agency,247 TIME LTD    1-9400-92406,,"331,192.47"
NHS,King's College Hospital NHS Foundation Trust,2021,1,15-Apr-20,Agency,Agency,247 TIME LTD    1-9400-92406,,"174,738.26"
NHS,King's College Hospital NHS Foundation Trust,2021,1,01-Apr-20,PHARMACY INVOICES,PHARMACY INVOICES,AAH PHARMACEUTICA KINGS COLL HOSP,,"500,000.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,01-Apr-20,Clinical Supplies and Services,Clinical Supplies and Services,ACQUISITION SYSTEM LTD / PHARMAGRAPH,12713,"36,994.80"
NHS,King's College Hospital NHS Foundation Trust,2021,1,02-Mar-20,Drugs,Drugs,ALEXION PHARMA UK,90875763,"45,360.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,20-Apr-20,Drugs,Drugs,ALEXION PHARMA UK,90894473,"45,360.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,11-Apr-20,Drugs,Drugs,ALLIANCE HEALTHCARE LTD (UNICHEM),B04905679,"49,104.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,02-Mar-20,Premises and Fixed Plant,Premises and Fixed Plant,ALLIANCE MEDICAL,AML-149264,"77,704.78"
NHS,King's College Hospital NHS Foundation Trust,2021,1,11-Mar-20,Drugs,Drugs,ALLOGA UK LTD,SIN102853104,"27,120.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,06-Apr-20,Drugs,Drugs,ALLOGA UK LTD,SIN102874208,"40,680.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,31-Mar-20,ICT,Fixed Asset,ALLSCRIPTS HEALTHCARE (IT) UK LTD,4000005625,"459,200.24"
NHS,King's College Hospital NHS Foundation Trust,2021,1,15-Apr-20,Premises and Fixed Plant,ICT - Systems Delivery,ALLSCRIPTS HEALTHCARE (IT) UK LTD,4000005706,"56,347.20"
NHS,King's College Hospital NHS Foundation Trust,2021,1,20-Mar-20,Premises and Fixed Plant,ICT - Management and Security,ALLSCRIPTS HEALTHCARE (IT) UK LTD,4000005784,"738,024.12"
NHS,King's College Hospital NHS Foundation Trust,2021,1,31-Mar-20,ICT,Fixed Asset,ALLSCRIPTS HEALTHCARE (IT) UK LTD,7000000482,"73,824.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,31-Mar-20,Equipment,Fixed Asset,AMERCARE LTD,33782,"89,560.80"
NHS,King's College Hospital NHS Foundation Trust,2021,1,30-Mar-20,Clinical Supplies and Services,Haematology OPD,ANTHONY NOLAN,622758,"24,779.54"
NHS,King's College Hospital NHS Foundation Trust,2021,1,16-Apr-20,Clinical Supplies and Services,Haematology OPD,ANTHONY NOLAN,623055,"39,780.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,14-Apr-20,Clinical Supplies and Services,Haematology OPD,ANTHONY NOLAN,623044,"38,645.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,30-Mar-20,Clinical Supplies and Services,Haematology OPD,ANTHONY NOLAN,622731,"20,982.99"
NHS,King's College Hospital NHS Foundation Trust,2021,1,24-Feb-20,Premises and Fixed Plant,Huntleigh,ARJO UK LTD,3392007103,"50,595.59"
NHS,King's College Hospital NHS Foundation Trust,2021,1,27-Jan-20,Premises and Fixed Plant,Huntleigh,ARJO UK LTD,3391955070,"50,595.59"
NHS,King's College Hospital NHS Foundation Trust,2021,1,31-Mar-20,Premises and Fixed Plant,Facilities Estates / Maintenance,ARTIC BUILDING SERVICES LTD,60946,"29,515.17"
NHS,King's College Hospital NHS Foundation Trust,2021,1,04-Jan-20,Professional and Technical,Cardiac Surgery & Perfusion Service,ASSURED PERFUSION & MEDICAL SERVICES,475,"28,675.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,17-Mar-20,Sub Contracted Healthcare - NHS bodies,Womens Central,BARTS AND THE LONDON NHS TRUST,400987,"29,500.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,09-Mar-20,Drugs,Drugs,BAYER PLC,824C268108,"76,562.40"
NHS,King's College Hospital NHS Foundation Trust,2021,1,16-Mar-20,Drugs,Drugs,BAYER PLC,824C269292,"26,220.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,22-Mar-20,Drugs,Drugs,BAYER PLC,824C271643,"26,220.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,23-Mar-20,Drugs,Drugs,BAYER PLC,824C71643,"26,220.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,03-Mar-20,Drugs,Drugs,BAYER PLC,824C267100,"26,220.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,15-Apr-20,COVID - 19,Facilities Estates / Maintenance,BESPOKE DETECTION SERVICES LTD,14923,"46,500.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,15-Apr-20,COVID - 19,Facilities Estates / Maintenance,BESPOKE DETECTION SERVICES LTD,14924,"46,500.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,21-Jan-20,Sub Contracted Healthcare - NHS bodies,General Surgery I,BMI HEALTHCARE,023_S1111_1219,"44,942.98"
NHS,King's College Hospital NHS Foundation Trust,2021,1,03-Apr-20,Clinical Supplies and Services,S&T A&E Management,BMI HEALTHCARE,030_S1101_0220,"29,927.53"
NHS,King's College Hospital NHS Foundation Trust,2021,1,03-Apr-20,Clinical Supplies and Services,S&T A&E Management,BMI HEALTHCARE,023_S1101_0220,"29,061.93"
NHS,King's College Hospital NHS Foundation Trust,2021,1,20-Feb-20,Clinical Supplies and Services,Orthopaedic Clerks,BMI HEALTHCARE,023_S1091_0120,"34,335.15"
NHS,King's College Hospital NHS Foundation Trust,2021,1,03-Feb-20,Assets Under Construction,Fixed Asset,BMJ ARCHITECTS,13309,"25,000.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,14-Jan-20,Assets Under Construction,Fixed Asset,BMJ ARCHITECTS,13297,"25,000.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,04-Mar-20,Assets Under Construction,Fixed Asset,BMJ ARCHITECTS,13332,"25,000.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,16-Mar-20,Sub Contracted Healthcare - NHS bodies,Dermatology Services PRUH,BROMLEY GP ALLIANCE LTD,BGPA0495,"30,837.59"
NHS,King's College Hospital NHS Foundation Trust,2021,1,09-Apr-20,Premises and Fixed Plant,ICT - Management and Security,BYTES SOFTWARE SERVICES LIMITED,627299,"1,083,837.97"
NHS,King's College Hospital NHS Foundation Trust,2021,1,16-Mar-20,External Contract staffing and Consultan,Workforce Operations,CAPITA BUSINESS SERVICE LTD,6003973926,"241,967.76"
NHS,King's College Hospital NHS Foundation Trust,2021,1,26-Mar-20,Assets Under Construction,Fixed Asset,CAPITA PROPERTY & INFRASTRUCTURE LTD,6017125484,"53,702.12"
NHS,King's College Hospital NHS Foundation Trust,2021,1,30-Jun-19,External Contract staffing and Consultan,Facilities Estates / Maintenance,CAPITEC,CAP001630,"25,272.28"
NHS,King's College Hospital NHS Foundation Trust,2021,1,23-Apr-20,Legal,Legal,CAPSTICS       1-9400-95206,,"27,500.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,18-Mar-20,Drugs,Drugs,CSL BEHRING UK LTD,994022254,"126,000.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,31-Mar-20,ICT,ICT,DAISY CORPORATE SERVICES,3/I453092,"86,298.48"
NHS,King's College Hospital NHS Foundation Trust,2021,1,30-Mar-20,ICT,ICT,DAISY CORPORATE SERVICES,3/I452996,"66,258.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,30-Mar-20,ICT,ICT,DAISY CORPORATE SERVICES,632373,"46,440.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,09-Apr-20,ICT,ICT,DELL COMPUTERS LTD,7402610862,"33,600.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,25-Feb-20,Audit commission expenses,Audit commission expenses,DELOITTE,8001028256,"72,000.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,16-Apr-20,Audit commission expenses,Audit commission expenses,DELOITTE,8001126982,"144,000.00"
NHS,King's College Hospital NHS Foundation Trust,2021,1,25-Feb-20,Audit commission expenses,Audit commission expenses,DELOITTE,8001028255,"72,000.00"
