Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Laboratory Reagents,Molecular Lab,CHRYSTAL CONSULTING LTD,33290227,"207,713.94"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Hospital Car Services,New Transport,ERS TRANSITION LTD,33902465,"134,757.57"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Vaccines,COVID-19,MY LAUNDRESS COMMERCIAL LTD,34092319,"22,540.00"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Hospital Car Services,New Transport,ERS TRANSITION LTD,34156079,"134,757.57"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,X-Ray Equip Maint/Repair,Medical Electronics,SUPPLY CHAIN COORDINATION LIMITED,34226549,"116,235.70"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,34230854,"93,112.74"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,NonNHS Trade Pybls Curr,Balance Sheet,BUNZL HEALTHCARE,34230875,"29,664.85"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,NonNHS Trade Pybls Curr,Balance Sheet,BUNZL HEALTHCARE,34230888,"96,723.01"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,34230890,"81,017.82"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,NonNHS Trade Pybls Curr,Balance Sheet,BUNZL HEALTHCARE,34230891,"28,727.75"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,34230894,"31,903.85"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,34230902,"67,445.83"
Department of Health,Homerton University Hospital NHS FT,5/31/2020,Computer Maintenance,It Client Support,APOGEE CORPORATION LTD,34231006,"76,875.67"
