Department,CCG,Date,Expense Type,Exepense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,FEATHERSTONE ROAD HEALTH CENTRE,34516352,"-70,157.50"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,34516364,"-54,442.37"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,34516346,"-45,477.67"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CUCKOO LANE HEALTH CARE LTD,34516362,"-45,413.66"
Department of Health,NHS Ealing CCG,30/11/2020,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,GENERAL RESERVE - PROGRAMME,FRIMLEY HEALTH NHS FOUNDATION TRUST,34752776,"-41,795.50"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WATERSIDE MEDICAL CENTRE SOUTHALL,34516360,"-37,746.61"
Department of Health,NHS Ealing CCG,30/11/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR S GUHA,34614602,"-22,149.98"
Department of Health,NHS Ealing CCG,30/11/2020,ME-GMS GP Prior Year AVCs,PRC DELEGATED CO-COMMISSIONING,DR S GUHA,34614602,"-11,192.01"
Department of Health,NHS Ealing CCG,30/11/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,34614610,"-10,143.00"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,FEATHERSTONE ROAD HEALTH CENTRE,34516352,"-5,684.28"
Department of Health,NHS Ealing CCG,30/11/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,34614610,"-4,690.83"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,DR R SIVANESAN,34516364,"-4,501.20"
Department of Health,NHS Ealing CCG,30/11/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,34614610,"-4,375.00"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,CUCKOO LANE HEALTH CARE LTD,34516362,"-4,289.12"
Department of Health,NHS Ealing CCG,30/11/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,WATERSIDE MEDICAL CENTRE SOUTHALL,34516360,"-3,843.29"
Department of Health,NHS Ealing CCG,30/11/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,34614610,"-3,595.00"
Department of Health,NHS Ealing CCG,30/11/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,WATERSIDE MEDICAL CENTRE SOUTHALL,34516360,"-3,571.71"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,WATERSIDE MEDICAL CENTRE SOUTHALL,34516360,"-3,437.42"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,34516346,"-3,360.10"
Department of Health,NHS Ealing CCG,30/11/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,34614610,"-3,335.00"
Department of Health,NHS Ealing CCG,30/11/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR PERINPANAYAGAM & PARTNERS,34614610,"-3,125.00"
Department of Health,NHS Ealing CCG,30/11/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,BROADMEAD SURGERY,34516346,"-2,470.39"
