Date,Expense Type,Expense Area,Supplier,Transaction Date, Amount 
16/06/2020,NHSLA (AAPV7044ST1150),Risk Management,NHS Litigation Authority,,"1,014,642.50"
25/06/2020,Main Works Contract,Capital,Erith Contractors Ltd,1168648,"309,983.38"
04/06/2020,X-Ray Equip Purchase (01/05/2020 - 31/05/2020),Trust Finance,Assetco Healthcare Whittington Ltd,1165124,"284,602.60"
04/06/2020,X-Ray Equip Purchase (01/04/2020 - 30/04/2020),Trust Finance,Assetco Healthcare Whittington Ltd,1159698,"284,460.46"
11/06/2020,Nhs Clinical Services,Dir Nur & Clin Dev,Care Quality Commission,1169200,"225,255.00"
18/06/2020,Consultant Fees 15/06/2020,Capital,Forest Gate Construction Co Ltd,1170225,"222,514.18"
11/06/2020,Consultant Fees 07/05/2020,Capital,Forest Gate Construction Co Ltd,1163295,"199,529.10"
18/06/2020,Main Works Contract,Capital,Hanevo Ltd,1168533,"195,538.80"
25/06/2020,Computer Hardware,Capital,Insight Direct (Uk) Ltd,1165064,"183,295.74"
11/06/2020,Main Works Contract,Capital,Erith Contractors Ltd,1168649,"155,361.61"
18/06/2020,Transport Maint & Exps,Med Front Of House& Transp,Dhl Supply Chain - Uk&I,1140776,"151,222.22"
25/06/2020,Consultants,Better Care - Icat Islington,The Ucl Hospitals Nhs Foundation Trust,1132740,"150,305.64"
25/06/2020,Transport Maint & Exps,Med Front Of House& Transp,Dhl Supply Chain - Uk&I,1170458,"141,765.76"
25/06/2020,Electricity,Environment,Edf Energy,1171081,"132,642.75"
25/06/2020,Electricity,Environment,Edf Energy,1171098,"127,949.82"
25/06/2020,Building Lease,Estates-Holloway Hc Hornsey St,Community Health Partnerships Ltd,1163686,"102,126.88"
25/06/2020,Sla-Liaison Psychiatry M01 19/20,Accident & Emergency,Camden & Islington Nhs Foundation Trust,1069030,"94,924.75"
25/06/2020,Sla-Liaison Psychiatry M02 19/20,Accident & Emergency,Camden & Islington Nhs Foundation Trust,1090259,"94,924.75"
25/06/2020,Sla-Liaison Psychiatry M03 19/20,Accident & Emergency,Camden & Islington Nhs Foundation Trust,1090261,"94,924.75"
