time_index,AccountingYear,OHE_2011_GDP at market prices (£bn),OHE_2011_GDP per capita,OHE_2011_NHS Expenditure (Public £m),OHE_2011_NHS Expenditure (Patients £m),OHE_2011_NHS Expenditure (Total £m),OHE_2011_Total NHS as % of GDP,OHE_2011_Total NHS cost per head,nominal spending PESA,real spending billions from PESA,Percent of GDP PESA,OHE_2013_NHS Expenditure (Total £m),OHE_2013_Private healthcare (£m),OHE_2013_Other medical products(£m),OHE_2013_Total health expenditure,OHE_2013_privatehealthcare_as_%gdp,OHE_2013_totalhealthcare_%_gdp,
1950,1949/50,12.75,253,447,-,447,3.5,9,,,,,,,,,,
1951,1950/51,13.54,269,474,8,482,3.56,10,,,,,,,,,,
1961,1960/61,26.29,501,839,45,883,3.36,17,,,,,,,,,,
1971,1970/71,53.07,953,1983,64,2046,3.86,37,,,,,,,,,,
1975,1974/75,,,,,,,,,,,4158,124,282,4563,4.6,0.5,5.1
1980,1979/80,,,,,,,,,,,9456,286,603,10345,4.5,0.4,4.9
1981,1980/81,238.96,4242,11396,281,11677,4.89,207,,,,,,,,,,
1985,1984/85,,,,,,,,,,,16349,652,1263,18263,4.9,0.6,5.4
1990,1989/90,,,,,,,,,,,26169,1421,2124,29714,4.8,0.7,5.5
1991,1990/91,576.8,10068,27980,1198,29178,5.06,509,,,,,,,,,,
1992,1991/92,607.33,10567,31757,1287,33044,5.44,575,,,,,,,,,,
1993,1992/93,627.22,10886,34961,1272,36233,5.78,629,,,,,,,,,,
1994,1993/94,664.98,11515,36431,1132,37563,5.65,650,,,,,,,,,,
1995,1994/95 ,703.11,12143,39515,917,40432,5.75,698,,,,40432,2426,3825,46684,5.7,0.9,6.6
1996,1995-96,744.1,12816,41407,919,42326,5.69,729,41.4,63.8,4.8,,,,,,,
1997,1996-97,792.36,13614,43056,865,43921,5.54,755,42.8,63.8,4.7,,,,,,,
1998,1997-98,843.15,14449,45321,919,46240,5.48,792,44.5,65.9,4.6,,,,,,,
1999,1998-99,890.27,15211,47825,945,48770,5.48,833,46.9,68.5,4.7,,,,,,,
2000,1999-00,944.63,16083,52403,1026,53429,5.66,910,49.4,71.9,4.7,53429,4474,5297,63200,5.7,1,6.7
2001,2000-01,989.55,16788,57210,1069,58279,5.89,989,54.2,77.2,4.9,58279,5322,5797,69398,5.9,1.1,7
2002,2001-02,1031.46,17433,63232,1198,64430,6.25,1089,59.8,84.3,5.2,64430,5974,6116,76520,6.3,1.2,7.4
2003,2002-03,1092.07,18391,73457,1284,74741,6.84,1259,66.2,91,5.5,74741,6871,6572,88185,6.9,1.2,8.1
2004,2003-04,1157.4,19410,80846,1371,82217,7.1,1379,74.9,100.9,5.9,82217,7528,6782,96527,7.1,1.2,8.4
2005,2004-05,1214.7,20264,88247,1290,89537,7.37,1494,82.9,108.8,6.2,89537,8261,6796,104595,7.4,1.2,8.6
2006,2005-06,1273.64,21113,97668,1264,98932,7.77,1640,89.8,114.8,6.4,98932,8978,6922,114832,7.7,1.2,8.9
2007,2006-07,1348.38,22220,103271,1348,104619,7.76,1724,94.7,117.6,6.4,104619,9505,7407,121531,7.7,1.3,9
2008,2007-08,,,,,,,,101.1,122.5,6.5,114640,9861,7713,132214,8,1.2,9.2
2009,2008-09,,,,,,,,108.7,128.2,7,120455,10250,7691,138396,8.5,1.3,9.7
2010,2009-10,,,,,,,,116.9,136,7.6,128780,10542,7958,147280,9.1,1.3,10.4
2011,2010-11,,,,,,,,119.9,136.9,7.5,131187,10920,8225,150332,8.9,1.3,10.2
2012,2011-12,,,,,,,,121.3,136.6,7.3,133545,9663,8492,151700,8.8,1.2,10
2013,2012-13,,,,,55.6470904448327,,,124.3,137.3,7.3,,,,,,,
2014,2013-14,,,,,,,,129.4,140.4,7.3,,,,,,,
2015,2014-15,,,,,,,,134.1,143.6,7.2,,,,,,,
2016,2015-16,,,,,,,,138.5,147.2,7.2,,,,,,,
2017,2016-17,,,,,,,,142.6,148.1,7.2,,,,,,,
2018,2017-18,,,,,,,,147.3,150,7.1,,,,,,,
2019,2018-19,,,,,,,,152.9,152.9,7.2,,,,,,,
