trustname,plan,actual
Barking Havering and Redbridge University Hospitals NHS Trust ,-52500,-60334
Barnet Enfield And Haringey Mental Health NHS Trust ,-3346,-182
Barts Health NHS Trust ,-1900,-84243
Camden and Islington NHS Foundation Trust,6644,6244
Central and North West London NHS Foundation Trust,2746,4966
Central London Community Healthcare NHS Trust ,7186,9434
Chelsea and Westminster Hospital NHS Foundation Trust,26784,40464
Croydon Health Services NHS Trust ,-2842,1507
East London NHS Foundation Trust,9032,13083
Epsom and St Helier University Hospitals NHS Trust,-13663,-2891
Great Ormond Street Hospital for Children NHS Foundation Trust ,12066,17373
Guy's and St Thomas' NHS Foundation Trust ,27738,55128
Homerton University Hospital NHS Foundation Trust,11653,17095
Hounslow and Richmond Community Healthcare NHS Trust ,1965,3742
Imperial College Healthcare NHS Trust,13603,28165
Kingston Hospital NHS Foundation Trust,17074,22701
Lewisham and Greenwich NHS Trust ,-35470,-30601
London Ambulance Service NHS Trust,4472,6958
London North West University Healthcare NHS Trust,-31369,-20998
Moorfields Eye Hospital NHS Foundation Trust,6697,11422
North East London NHS Foundation Trust ,3503,8195
North Middlesex University Hospital NHS Trust,-9549,-3184
Oxleas NHS Foundation Trust,2965,5933
Royal Brompton and Harefield NHS Foundation Trust ,-217,-30092
Royal Free London NHS Foundation Trust,-65826,-67081
Royal National Orthopaedic Hospital NHS Trust,-7012,-13370
South London and Maudsley NHS Foundation Trust,2506,5757
South West London and St George's Mental Health NHS Trust,2476,25888
St George's University Hospitals NHS Foundation Trust,-16376,-45134
Tavistock and Portman NHS Foundation Trust ,1034,2716
The Hillingdon Hospitals NHS Foundation Trust ,-7619,-25633
The Royal Marsden NHS Foundation Trust,33221,65615
The Whittington Health NHS Trust,22675,28190
University College London Hospitals NHS Foundation Trust,14525,79589
West London NHS Trust ,7457,10909
Basildon and Thurrock University Hospitals NHS Foundation Trust,-26818,-31546
Bedford Hospital NHS Trust ,-6670,-14151
Birmingham and Solihull Mental Health NHS Foundation Trust ,1938,3694
Birmingham Community Healthcare NHS Foundation Trust ,4351,6742
Birmingham Women’s and Children's NHS Foundation Trust,15125,21467
Black Country Partnership NHS Foundation Trust,-684,4849
Burton Hospitals NHS Foundation Trust ,-4200,-9381
Cambridge University Hospitals NHS Foundation Trust ,-93791,-93955
