Department,CCG,Date,Expense Area,Expense Type,Supplier,Transaction Number,Amount
Department of Health,NHS Brent CCG,30-Apr-20,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,CONNECT HEALTH LTD,31861055,"-129,792.00"
Department of Health,NHS Brent CCG,30-Apr-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,HILLINGDON HOSPITALS NHS FOUNDATION TRUST,32031571,"-72,998.45"
Department of Health,NHS Brent CCG,30-Apr-20,Clinical&Medical-Commercial Sector,GENERAL RESERVE - PROGRAMME,BMI HEALTHCARE LTD,32031438,"-62,235.00"
Department of Health,NHS Brent CCG,30-Apr-20,Hcare Srv Rec NHS Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,WEST LONDON NHS TRUST,31825576,"-47,653.00"
Department of Health,NHS Brent CCG,30-Apr-20,Clinical&Medical-Commercial Sector,LONG TERM CONDITIONS,CONNECT HEALTH LTD,31861057,"-45,833.00"
Department of Health,NHS Brent CCG,30-Apr-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,31836764,"-44,898.00"
Department of Health,NHS Brent CCG,30-Apr-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,31951312,"-9,819.27"
Department of Health,NHS Brent CCG,30-Apr-20,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,31867718,"-5,983.19"
Department of Health,NHS Brent CCG,30-Apr-20,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,31951312,"-5,820.01"
Department of Health,NHS Brent CCG,30-Apr-20,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,31951311,"-3,100.69"
Department of Health,NHS Brent CCG,30-Apr-20,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,31951312,"-3,076.13"
Department of Health,NHS Brent CCG,30-Apr-20,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,31951312,"-2,695.31"
Department of Health,NHS Brent CCG,30-Apr-20,ME-GMS GP Pension AVCs,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,31951312,"-1,961.37"
Department of Health,NHS Brent CCG,30-Apr-20,ME-GMS GP Prior Year AVCs,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,31951312,"-1,718.53"
Department of Health,NHS Brent CCG,30-Apr-20,Statutory Paternity Pay < 1 yr,BALANCE SHEET,HMRC,31867718,-547.16
Department of Health,NHS Brent CCG,30-Apr-20,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,DR T PRADHAN & PARTNERS,31951312,-344
Department of Health,NHS Brent CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,PARK ROYAL MEDICAL PRACTICE,31951339,10.35
Department of Health,NHS Brent CCG,30-Apr-20,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,PARK ROYAL MEDICAL PRACTICE,31951339,25.98
Department of Health,NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR J KELLERMANN & PARTNERS,31951276,28.97
Department of Health,NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,STAG - HOLLYROOD PRACTICE,31951323,33.67
Department of Health,NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR P CHATLANI,31951297,45.52
Department of Health,NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR REDRADO & PARTNERS,31951305,80.69
Department of Health,NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,PRESTON MEDICAL CENTRE,31974996,86.9
Department of Health,NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR TATE & PARTNERS,31974994,101.38
Department of Health,NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,LANCELOT MEDICAL CENTRE,31974995,105.52
Department of Health,NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,BRAMPTON HEALTH CENTRE,31951325,107.58
Department of Health,NHS Brent CCG,30-Apr-20,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,DR AM BURCH & PARTNERS,31951267,117.93
Department of Health,NHS Brent CCG,30-Apr-20,C&M-APMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,WEMBLEY PRACTICE (THE),31951337,124.4
Department of Health,NHS Brent CCG,30-Apr-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CHALKHILL FAMILY PRACTICE,31951326,128.28
