Department,Date,Expense Area,Expense Type,Supplier,Transaction Number,Amount
Department of Health,,External Consultancy Fees,IM&T PROJECTS,ADVANCED HEALTH & CARE LTD,,"36,140.80"
Department of Health,30-Jun-20,Clinical&Medical-Commercial Sector,WHEELCHAIR SERVICE,AJ MOBILITY LTD,32551032,"81,478.56"
Department of Health,30-Jun-20,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,AT MEDICS LTD,32648709,"433,736.00"
Department of Health,30-Jun-20,Hcare Srv Rec NHS Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,32863242,"61,910.00"
Department of Health,30-Jun-20,Hcare Srv Rec NHS Trust-Over/ Under Performance,GENERAL RESERVE - PROGRAMME,BARTS HEALTH NHS TRUST,32719890,"-53,255.00"
Department of Health,30-Jun-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,32715947,"119,365.71"
Department of Health,30-Jun-20,Audit Fees: Statutory,EQUALITY AND DIVERSITY,BDO LLP,32719898,"28,084.80"
Department of Health,30-Jun-20,Computer Software/License,GP COMPLAINTS - (P),BLUETEQ LTD,32716028,"38,400.00"
Department of Health,30-Jun-20,Clinical&Medical-Commercial Sector,GENERAL RESERVE - PROGRAMME,BMI HEALTHCARE LTD,32894179,"232,796.35"
Department of Health,30-Jun-20,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,BMI HEALTHCARE LTD,32557793,"107,769.37"
Department of Health,30-Jun-20,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,BMI HEALTHCARE LTD,32735708,"107,769.37"
Department of Health,30-Jun-20,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,BMI HEALTHCARE LTD,32735710,"-26,627.12"
Department of Health,30-Jun-20,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,BMI HEALTHCARE LTD,32761939,"107,769.37"
Department of Health,30-Jun-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BRAMPTON HEALTH CENTRE,32863089,18.5
Department of Health,30-Jun-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BRAMPTON HEALTH CENTRE,32823457,"1,936.88"
Department of Health,30-Jun-20,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BRAMPTON HEALTH CENTRE,32823457,"36,342.27"
Department of Health,30-Jun-20,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BRAMPTON HEALTH CENTRE,32823457,655.63
Department of Health,30-Jun-20,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BRAMPTON HEALTH CENTRE,32823457,"2,445.83"
Department of Health,30-Jun-20,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,BRAMPTON HEALTH CENTRE,32823457,13.82
Department of Health,30-Jun-20,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,BRAMPTON HEALTH CENTRE,32823457,"14,672.19"
Department of Health,30-Jun-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRAMPTON HEALTH CENTRE,32823457,"8,035.79"
Department of Health,30-Jun-20,Clinical&Medical-Voluntary Sector,CHILD AND ADOLESCENT MENTAL HEALTH,BRENT CENTRE FOR YOUNG PEOPLE,32823457,"33,500.00"
Department of Health,30-Jun-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,32827718,"32,211.61"
Department of Health,30-Jun-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BURNLEY PRACTICE (AT MEDICS LTD),32719901,"-152,560.90"
Department of Health,30-Jun-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,BURNLEY PRACTICE (AT MEDICS LTD),32823464,"-9,515.43"
Department of Health,30-Jun-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BURNLEY PRACTICE (AT MEDICS LTD),32823464,"-7,604.96"
Department of Health,30-Jun-20,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BURNLEY PRACTICE (AT MEDICS LTD),32823464,"230,167.20"
Department of Health,30-Jun-20,C&M-APMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BURNLEY PRACTICE (AT MEDICS LTD),32823465,140
Department of Health,30-Jun-20,C&M-APMS OOH Opt Outs,PRC DELEGATED CO-COMMISSIONING,BURNLEY PRACTICE (AT MEDICS LTD),32823465,"6,307.08"
Department of Health,30-Jun-20,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BURNLEY PRACTICE (AT MEDICS LTD),32823465,"1,217.31"
Department of Health,30-Jun-20,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,BURNLEY PRACTICE (AT MEDICS LTD),32823465,"25,829.75"
Department of Health,30-Jun-20,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BURNLEY PRACTICE (AT MEDICS LTD),32823465,"13,163.39"
Department of Health,30-Jun-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CAMDEN & ISLINGTON NHS FOUNDATION TRUST,32823465,"81,329.00"
Department of Health,30-Jun-20,Hcare Srv Rec Fdtn Trust-CQUIN,GENERAL RESERVE - PROGRAMME,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,32719906,"108,505.50"
Department of Health,30-Jun-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,32557756,"3,647,291.00"
Department of Health,30-Jun-20,Hlthcre-Foundation Trsts,GENERAL RESERVE - PROGRAMME,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,32719916,"85,751.00"
Department of Health,30-Jun-20,Hcare Srv Rec NHS Trust-Contract Baseline,PALLIATIVE CARE,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,32863063,"270,029.00"
Department of Health,30-Jun-20,Hcare Srv Rec NHS Trust-Non Contract,GENERAL RESERVE - PROGRAMME,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,32719919,"27,451.22"
Department of Health,30-Jun-20,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHALKHILL FAMILY PRACTICE,32927435,"-8,461.86"
Department of Health,30-Jun-20,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CHALKHILL FAMILY PRACTICE,32823458,"-13,818.72"
Department of Health,30-Jun-20,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,CHALKHILL FAMILY PRACTICE,32823458,"-1,081.09"
Department of Health,30-Jun-20,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,CHALKHILL FAMILY PRACTICE,32823458,"-1,081.09"
Department of Health,30-Jun-20,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,CHALKHILL FAMILY PRACTICE,32823458,"-2,303.12"
Department of Health,30-Jun-20,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CHALKHILL FAMILY PRACTICE,32823458,"-12,973.08"
Department of Health,30-Jun-20,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CHALKHILL FAMILY PRACTICE,32823458,777.85
Department of Health,30-Jun-20,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,CHALKHILL FAMILY PRACTICE,32823459,"1,820.00"
Department of Health,30-Jun-20,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CHALKHILL FAMILY PRACTICE,32823459,"1,452.66"
