Department,CCG,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS Brent CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Non Contract,GENERAL RESERVE - PROGRAMME,LONDON NORTH WEST HEALTHCARE NHS TRUST,33730726,"211,288.00"
Department of Health,NHS Brent CCG,30-Sep-20,Clinical&Medical-Commercial Sector,ACUTE COMMISSIONING,INHEALTH LTD,33730792,"45,730.56"
Department of Health,NHS Brent CCG,30-Sep-20,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,AT MEDICS LTD,33730919,"75,000.00"
Department of Health,NHS Brent CCG,30-Sep-20,Cont Care- Children,CHC CHILDREN,CHILDRENS TRUST (THE),33743449,"32,426.00"
Department of Health,NHS Brent CCG,30-Sep-20,Clinical&Medical-Commercial Sector,URGENT CARE,GREENBROOK HEALTHCARE (HOUNSLOW) LTD,33804109,"302,025.83"
Department of Health,NHS Brent CCG,30-Sep-20,Clinical&Medical-Commercial Sector,URGENT CARE,GREENBROOK HEALTHCARE (HOUNSLOW) LTD,33804118,"173,011.00"
Department of Health,NHS Brent CCG,30-Sep-20,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,LONDON BOROUGH OF BRENT,33804129,"323,534.00"
Department of Health,NHS Brent CCG,30-Sep-20,Clinical&Medical-Voluntary Sector,MENTAL HEALTH CONTRACTS,HESTIA HOUSING & SUPPORT,33804147,"30,000.00"
Department of Health,NHS Brent CCG,30-Sep-20,Clinical&Medical-Voluntary Sector,MENTAL HEALTH CONTRACTS,HESTIA HOUSING & SUPPORT,33804162,"35,000.00"
Department of Health,NHS Brent CCG,30-Sep-20,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,CONNECT HEALTH LTD,33804180,"175,625.00"
Department of Health,NHS Brent CCG,30-Sep-20,Clinical&Medical-Commercial Sector,WHEELCHAIR SERVICE,AJ MOBILITY LTD,33804198,"81,478.56"
Department of Health,NHS Brent CCG,30-Sep-20,Clinical&Medical-Voluntary Sector,HOSPICES,ST LUKES HOSPICE,33804226,"57,916.66"
Department of Health,NHS Brent CCG,30-Sep-20,Clinical&Medical-Commercial Sector,GENERAL RESERVE - PROGRAMME,NHS HOUNSLOW CCG,33804230,"27,921.20"
Department of Health,NHS Brent CCG,30-Sep-20,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,DMC HEALTHCARE LTD,33830275,"36,166.67"
Department of Health,NHS Brent CCG,30-Sep-20,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,SHARDA CARE LTD,33830343,"43,851.63"
Department of Health,NHS Brent CCG,30-Sep-20,Clinical&Medical-Voluntary Sector,HOSPICES,MARIE CURIE,33847992,"27,500.00"
Department of Health,NHS Brent CCG,30-Sep-20,Clinical&Medical-Voluntary Sector,PLANNED CARE,MARIE STOPES INTERNATIONAL,33848008,"34,816.00"
Department of Health,NHS Brent CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS,33857252,"61,910.00"
Department of Health,NHS Brent CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,"TRUST
BARTS HEALTH NHS TRUST",33857305,"119,365.71"
Department of Health,NHS Brent CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,33857313,"32,211.61"
Department of Health,NHS Brent CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CAMDEN & ISLINGTON NHS FOUNDATION TRUST,33857321,"81,329.00"
Department of Health,NHS Brent CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,CENTRAL & NORTH WEST LONDON NHS FOUNDATION,33857330,"3,647,291.00"
Department of Health,NHS Brent CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Contract Baseline,PALLIATIVE CARE,"TRUST
CENTRAL LONDON COMMUNITY HEALTHCARE NHS",33857339,"270,029.00"
Department of Health,NHS Brent CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,"TRUST
CHELSEA AND WESTMINSTER HOSPITAL NHS",33857345,"335,023.55"
Department of Health,NHS Brent CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,"FOUNDATION TRUST
EAST AND NORTH HERTFORDSHIRE NHS TRUST",33857353,"38,265.56"
Department of Health,NHS Brent CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS,33857358,"41,920.78"
Department of Health,NHS Brent CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,"FOUNDATION TRUST
GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST",33857368,"227,080.40"
Department of Health,NHS Brent CCG,30-Sep-20,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,33857373,"6,176,290.01"
Department of Health,NHS Brent CCG,30-Sep-20,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,33857385,"51,287.27"
