Department,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,"31-Jul-20
",Hcare Srv Rec NHS Trust-Over/ Under Performance,GENERAL RESERVE - PROGRAMME,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,33018075,"-235,085.00"
Department of Health,"31-Jul-20
",Non-PFI Oprtng Lease-Bldgs-Lease Rent,EQUALITY AND DIVERSITY,NHS CENTRAL LONDON (WESTMINSTER) CCG,33015483,"-223,820.18"
Department of Health,"31-Jul-20
",Cont Care- Children,GENERAL RESERVE - PROGRAMME,LONDON BOROUGH OF BRENT,32989847,"-109,800.00"
Department of Health,"31-Jul-20
",Non-PFI Oprtng Lease-Bldgs-Lease Rent,GENERAL RESERVE - PROGRAMME,NHS CENTRAL LONDON (WESTMINSTER) CCG,33015500,"-68,984.49"
Department of Health,"31-Jul-20
",Healthcare Srv Rec CCG,GENERAL RESERVE - PROGRAMME,NHS CENTRAL LONDON (WESTMINSTER) CCG,32969318,"-61,556.00"
Department of Health,"31-Jul-20
",Clinical&Medical-Commercial Sector,GENERAL RESERVE - PROGRAMME,CYGNET HEALTHCARE LTD,33055002,"-47,842.99"
Department of Health,"31-Jul-20
",Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,BARCHESTER HEALTHCARE LTD,32969036,"-34,785.52"
Department of Health,"31-Jul-20
",Cont Care-Funded Nursing Care Allow,GENERAL RESERVE - PROGRAMME,SHARDA CARE LTD,33054995,"1,206.22"
Department of Health,"31-Jul-20
",Cont Care-Funded Nursing Care Allow,GENERAL RESERVE - PROGRAMME,SHARDA CARE LTD,33018075,"2,369.79"
Department of Health,"31-Jul-20
",Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,COPLANDS (MMCG) LTD,33054995,"3,914.86"
Department of Health,"31-Jul-20
",Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,COPLANDS (MMCG) LTD,33055002,"8,070.00"
Department of Health,"31-Jul-20
",Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,COPLANDS (MMCG) LTD,33054997,"9,188.57"
Department of Health,"31-Jul-20
",Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,COPLANDS (MMCG) LTD,33054996,"12,577.00"
Department of Health,"31-Jul-20
",Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,COPLANDS (MMCG) LTD,33055002,"19,978.57"
Department of Health,"31-Jul-20
",Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,COPLANDS (MMCG) LTD,33054996,"22,861.14"
Department of Health,"31-Jul-20
",Clinical&Medical-Commercial Sector,LONG TERM CONDITIONS,KILBURN PBC CLUSTER,33015352,"25,000.00"
