Department family,Entity,Date of payment,Expense type,Expense area,Supplier,Transaction number,amount
Department of Health,Guys and St Thomas NHS Foundation Trust,10/07/2020,(81200) Medical Surgical Supplies & Equipment,(id:2455419) Cancer Supportive Services and R&D,MHRA,id:9041831   ,3060
Department of Health,Guys and St Thomas NHS Foundation Trust,03/07/2020,(50200) Consultants,(id:4060419) Cancer Supportive Services and R&D,KINGS COLLEGE LONDON:03529700,id:13003345   ,4110.58
Department of Health,Guys and St Thomas NHS Foundation Trust,24/07/2020,(81900) Lab Equipment Purchase,(id:42276) Cancer Supportive Services and R&D,VIAPATH ANALYTICS LLP,id:13162135  ,4097.92
Department of Health,Guys and St Thomas NHS Foundation Trust,03/07/2020,(83410) Office Equipment,(id:42277) Cancer Supportive Services and R&D,RICOH UK LTD,id:13114845  ,229.69
Department of Health,Guys and St Thomas NHS Foundation Trust,03/07/2020,(89280) Other - Consultancy costs,(id:42277) Cancer Supportive Services and R&D,BEVERLEY THOMAS,id:13140314,1080
Department of Health,Guys and St Thomas NHS Foundation Trust,03/07/2020,(81200) Medical Surgical Supplies & Equipment,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13050854   ,645.69
Department of Health,Guys and St Thomas NHS Foundation Trust,30/07/2020,(81700) Lab Equipment Purchase,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13132074   ,58.43
Department of Health,Guys and St Thomas NHS Foundation Trust,30/07/2020,(82000) Provisions & Kitchens,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13132074    ,85.8
Department of Health,Guys and St Thomas NHS Foundation Trust,03/07/2020,(82000) Provisions & Kitchens,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13036234    ,41.78
Department of Health,Guys and St Thomas NHS Foundation Trust,03/07/2020,(83410) Office Equipment,(id:42268) Haematology,RICOH UK LTD,id:13114845,39.16
Department of Health,Guys and St Thomas NHS Foundation Trust,03/07/2020,(83410) Office Equipment,(id:42267) Haematology,RICOH UK LTD,id:13114845,400.33
Department of Health,Guys and St Thomas NHS Foundation Trust,10/07/2020,(89595) Non-Healthcare from Foundation Trusts,(id:42267) Haematology,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,id:13021354   ,792.24
Department of Health,Guys and St Thomas NHS Foundation Trust,17/07/2020,(82800) Bedding & Linen,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13075043,118.79
Department of Health,Guys and St Thomas NHS Foundation Trust,03/07/2020,(81100) Dressings,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13036234 ,3.26
