Department family,Entity,Date of payment,Expense type,Expense area,Supplier,Transaction number,Amount in Sterling
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(84500) Establishment,(id:42277) Cancer Supportive Services and R&D,CDP  PRINT MANAGEMENT,id:13041994 ,9.3
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81200) Medical Surgical Supplies & Equipment,(id:42270) Haematology,TERUMO BCT EUROPE NV/SA  (PREVIOUSLY CARIDIAN),id:12995852,4169.38
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(81700) Lab Equipment Purchase,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257   ,39.54
Department of Health,Guys and St Thomas NHS Foundation Trust,07/05/2020,(82000) Provisions & Kitchens,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:12997837    ,39
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82600) Uniforms & Clothing,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:12976194 ,511.34
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82800) Bedding & Linen,(id:42270) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941,561.81
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82700) Uniforms & Clothing,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:12945257 ,31.68
Department of Health,Guys and St Thomas NHS Foundation Trust,01/05/2020,(82700) Uniforms & Clothing,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:12984936 ,31.68
Department of Health,Guys and St Thomas NHS Foundation Trust,18/05/2020,(82700) Uniforms & Clothing,(id:42265) Haematology,NHS SUPPLY CHAIN (MAIDSTONE),id:13003941 ,63.36
Department of Health,Guys and St Thomas NHS Foundation Trust,22/05/2020,(84500) Establishment,(id:42265) Haematology,CDP  PRINT MANAGEMENT,id:13040917    ,9
