Department family,Entity,Date of payment,Expense type,Expense area,Supplier,Transaction number,amount
Department of Health,Guys and St Thomas NHS Foundation Trust,19/03/2021,(81100) Dressings,(id:4621419) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13815654  ,121.41
Department of Health,Guys and St Thomas NHS Foundation Trust,19/03/2021,(83400) Office Equipment,(id:4621419) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13795595,13.4
Department of Health,Guys and St Thomas NHS Foundation Trust,12/03/2021,(83410) Office Equipment,(id:41898) TAP,RICOH UK LTD,id:13863444   ,15.38
Department of Health,Guys and St Thomas NHS Foundation Trust,19/03/2021,(83400) Office Equipment,(id:41897) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13815654  ,978.44
Department of Health,Guys and St Thomas NHS Foundation Trust,05/03/2021,(81200) Medical Surgical Supplies & Equipment,(id:41897) TAP,WL GORE & ASSOCIATES (UK) LTD,id:13815637,1398
Department of Health,Guys and St Thomas NHS Foundation Trust,19/03/2021,(81100) Dressings,(id:41897) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13815654    ,258.45
Department of Health,Guys and St Thomas NHS Foundation Trust,19/03/2021,(81100) Dressings,(id:41897) TAP,ELIS UK LIMITED,id:13841349  ,444.06
Department of Health,Guys and St Thomas NHS Foundation Trust,19/03/2021,(82800) Bedding & Linen,(id:41894) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13815654   ,3.38
Department of Health,Guys and St Thomas NHS Foundation Trust,12/03/2021,(82600) Uniforms & Clothing,(id:41894) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13735674    ,17.64
Department of Health,Guys and St Thomas NHS Foundation Trust,12/03/2021,(82600) Uniforms & Clothing,(id:41883) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13735674    ,55.08
Department of Health,Guys and St Thomas NHS Foundation Trust,19/03/2021,(81200) Medical Surgical Supplies & Equipment,(id:41883) TAP,JOHNSON & JOHNSON MEDICAL LTD,id:13816380,265.72
Department of Health,Guys and St Thomas NHS Foundation Trust,12/03/2021,(83400) Office Equipment,(id:41883) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13735674  ,1303.75
Department of Health,Guys and St Thomas NHS Foundation Trust,19/03/2021,(89640) Non-Healthcare from NHS Trusts,(id:41909) TAP,LEWISHAM AND GREENWICH NHS TRUST,id:12562437    ,3882
Department of Health,Guys and St Thomas NHS Foundation Trust,12/03/2021,(82800) Bedding & Linen,(id:41907) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13735674   ,7.44
Department of Health,Guys and St Thomas NHS Foundation Trust,12/03/2021,(81200) Medical Surgical Supplies & Equipment,(id:41906) TAP,FANNIN UK LTD,id:13843054 ,1068.96
Department of Health,Guys and St Thomas NHS Foundation Trust,12/03/2021,(82800) Bedding & Linen,(id:41905) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13735674   ,3.72
Department of Health,Guys and St Thomas NHS Foundation Trust,19/03/2021,(81200) Medical Surgical Supplies & Equipment,(id:41905) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13815654 ,3220.4
Department of Health,Guys and St Thomas NHS Foundation Trust,05/03/2021,(81200) Medical Surgical Supplies & Equipment,(id:41905) TAP,KARL STORZ ENDOSCOPY UK LTD,id:13807719  ,768
Department of Health,Guys and St Thomas NHS Foundation Trust,19/03/2021,(81100) Dressings,(id:41905) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13815654    ,64.38
Department of Health,Guys and St Thomas NHS Foundation Trust,19/03/2021,(82000) Provisions & Kitchens,(id:2549419) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13795595,9.22
Department of Health,Guys and St Thomas NHS Foundation Trust,05/03/2021,(81200) Medical Surgical Supplies & Equipment,(id:41913) TAP,FISHER & PAYKEL HEALTHCARE LTD,id:13794174    ,1103.76
Department of Health,Guys and St Thomas NHS Foundation Trust,12/03/2021,(82800) Bedding & Linen,(id:41913) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13735674   ,285.88
Department of Health,Guys and St Thomas NHS Foundation Trust,12/03/2021,(82000) Provisions & Kitchens,(id:41916) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13735674  ,43.05
Department of Health,Guys and St Thomas NHS Foundation Trust,05/03/2021,(83610) IT Costs,(id:41916) TAP,OFFICE DEPOT UK LTD,id:13762442    ,675.84
Department of Health,Guys and St Thomas NHS Foundation Trust,12/03/2021,(81700) Lab Equipment Purchase,(id:41922) TAP,NHS SUPPLY CHAIN (MAIDSTONE),id:13735674 ,73.77
Department of Health,Guys and St Thomas NHS Foundation Trust,12/03/2021,(83410) Office Equipment,(id:41959) Gastrointestinal Medicine & Surgery,RICOH UK LTD,id:13863444 ,157.75
Department of Health,Guys and St Thomas NHS Foundation Trust,12/03/2021,(50552) Qualified Nursing Staff,(id:41958) Gastrointestinal Medicine & Surgery,CONTINENTAL NURSE LTD,id:13861438,923.83
Department of Health,Guys and St Thomas NHS Foundation Trust,12/03/2021,(81100) Dressings,(id:41954) Gastrointestinal Medicine & Surgery,NHS SUPPLY CHAIN (MAIDSTONE),id:13735674  ,369.91
